"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","FASTmrMLM","NsiI.TP586387","4","58541190","0.8101","3.4775","4.2015","6.0958","0.4508","C","6.5131","9.4385"
"1","Trait1","FASTmrMLM","PstI.TP52859","4","59863827","-1.1532","4.0083","4.7603","11.875","0.3156","A","",""
"1","Trait1","FASTmrMLM","PstI.TP102317","11","839","-0.8932","3.4108","4.131","6.7956","0.2582","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP801851","11","18948","0.8723","5.6972","6.5197","7.4411","0.418","A","",""
"1","Trait1","pLARmEB","NsiI.TP738234","6","57506161","0.9192","3.3175","4.0323","6.0416","0.2418","A","6.93","9.4385"
"1","Trait1","pLARmEB","PstI.TP1105907","7","53011045","-2.2486","3.3365","4.0524","17.1424","0.0574","A","",""
"1","Trait1","pLARmEB","NsiI.TP666789","11","17294","0.926","3.0995","3.8011","3.903","0.25","G","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP697615","2","13689231","-1.3403","3.6882","4.4237","5.4299","0.1025","A","6.5254","9.4385"
"1","Trait1","ISIS EM-BLASSO","PstI.TP1105907","7","53011045","-2.1188","4.1612","4.9206","20.5495","0.0574","A","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP666789","11","17294","1.1751","5.1927","5.9964","8.486","0.25","G","",""
