"","Name","Chromosome","Position","OWA","rrBLUP.OWA"
"34","GFSSContig17137_1860",1,35412,0,1
"35","GFSSContig17137_940",1,36536,0.256601390310571,0.553858225203533
"3420","PstI.TP506588",1,80675,0,1
"4421","PstI.TP863331",1,161269,0.0821766084522419,0.827605544521304
"1178","NsiI.TP611047",1,185165,1.26132124244334,0.0547871560950354
"2767","PstI.TP271714",1,262844,0.346071309717385,0.450742688006571
"3215","PstI.TP424788",1,263370,0,1
"4634","PstI.TP931820",1,284314,0,1
"678","NsiI.TP426085",1,284999,0,1
"158","NsiI.TP148773",1,285352,0.174214669581862,0.669553570639648
"159","NsiI.TP148774",1,285397,0,1
"1126","NsiI.TP579900",1,335878,0,1
"3217","PstI.TP425356",1,569039,0,1
"4832","PstI.TP999740",1,569491,0.0357407625520776,0.920999167105241
"1494","NsiI.TP802651",1,754114,0,1
"1135","NsiI.TP585976",1,829048,0.226616230692326,0.59344950141733
"1979","PstI.TP1152021",1,865447,0,1
"3957","PstI.TP716618",1,918921,0,1
"2236","PstI.TP1246584",1,1015480,0.640392847104241,0.228879635357381
"3024","PstI.TP354591",1,1050082,0.0485663605246845,0.894197887380906
"4404","PstI.TP856852",1,1153760,0.504907265882543,0.312674694448399
"4129","PstI.TP775725",1,1175417,0.568429196599079,0.270128746563423
"2379","PstI.TP136460",1,1229717,0.0240863386458657,0.946049066148442
"1362","NsiI.TP72077",1,1422420,0,1
"2380","PstI.TP13650",1,1521127,0,1
"2940","PstI.TP329515",1,1537490,1.37967564207693,0.0417180843548772
"1388","NsiI.TP735901",1,1547162,0.717295780496263,0.191736245747434
"1666","PstI.TP1031399",1,1661159,0.389237796734371,0.408095873387109
"1487","NsiI.TP796534",1,1682668,0,1
"1349","NsiI.TP709976",1,1682685,0.465150663670696,0.342648895567459
"4749","PstI.TP973765",1,1850824,0.617306164725478,0.241375860629708
"4625","PstI.TP929619",1,1952038,0,1
"3197","PstI.TP417865",1,2030761,0.415691862405176,0.383979587387231
"1279","NsiI.TP666080",1,2031570,0.0955821899027709,0.802449683505056
"4492","PstI.TP885267",1,2084430,0.423450514383801,0.377180720360595
"302","NsiI.TP224834",1,2135892,0,1
"56","GFSSContig18743_720",1,2267526,0.998502242128255,0.100345466860798
"2347","PstI.TP1294018",1,2280325,2.01172480440275,0.00973363811360996
"3570","PstI.TP56795",1,2315051,0,1
"1131","NsiI.TP581618",1,2360930,0,1
"1816","PstI.TP108989",1,2588793,0,1
"4728","PstI.TP966432",1,2596832,0,1
"890","NsiI.TP486649",1,2601704,0.0120621263344346,0.972608081099479
"3259","PstI.TP441536",1,2816855,1.0321981735435,0.0928542585483733
"1805","PstI.TP1085601",1,2820903,0.160403470093816,0.691188541650774
"3462","PstI.TP525202",1,2884119,0.174321688757569,0.669388599067861
"2301","PstI.TP1268585",1,2988383,0.391601694076445,0.405880611417937
