"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"FM_50","mrMLM","NsiI.TP30868",1,51136397,0.0000000209024406991353
"2",2,"FM_50","mrMLM","PstI.TP622176",3,65129470,0.0000000066535588113945
"3",3,"FM_50","mrMLM","NsiI.TP825923",6,52448208,0.0000511044831067374
"4",4,"FM_50","mrMLM","NsiI.TP810192",8,2563502,0.0000766369125285064
"5",5,"FM_50","FASTmrMLM","PstI.TP187918",11,1532,0.0000365763193009452
"6",6,"FM_50","FASTmrMLM","NsiI.TP828738",11,19298,0.0000483058802039773
"7",7,"FM_50","ISIS EM-BLASSO","PstI.TP1009395",11,6997,0.0000894128627502953
"8",8,"FM_50","ISIS EM-BLASSO","PstI.TP1159423",11,8140,0.0000150938489665495
"9",9,"FM_50","FarmCPU","NsiI.TP632002",1,70863814,0.00000000000587395231292864
"10",10,"FM_50","FarmCPU","NsiI.TP728788",11,18071,0.000000000000747706158230916
