SNP,Chromosome,Position,DF,t Value,std Error,effect
PstI.TP506588,1,   80675,108,-1.02309188863271,0.552810067673396,-0.565575496191149
PstI.TP863331,1,  161269,108,0.52476177532222,0.309283875406298,0.162300355536745
PstI.TP424788,1,  263370,108,-0.157591399931795,0.499782110452227,-0.0787613624470334
PstI.TP931820,1,  284314,108,0.15057722194346,0.584182784209655,0.0879646207534854
NsiI.TP148773,1,  285352,108,0.281941147517827,0.244554611571964,0.0689500078173761
PstI.TP1106845,1,  416796,108,-1.15836609873621,0.675957098249829,-0.783005786812706
PstI.TP999740,1,  569491,108,0.503718605381943,0.29824956691717,0.150233855903286
PstI.TP1152021,1,  865447,108,0.784083909535373,0.467370693924388,0.366457840894495
PstI.TP716618,1,  918921,108,1.5267469749305,0.50897541560934,0.777076676095556
PstI.TP1246584,1, 1015480,108,-1.1907849105658,0.144778722750859,-0.172400318422713
PstI.TP354591,1, 1050082,108,0.727364673362876,0.209365175689165,0.152284832628711
PstI.TP856852,1, 1153760,108,0.52073290326345,0.292482313496674,0.152305164260333
PstI.TP775725,1, 1175417,108,-0.0299206500219193,0.329554126270502,-0.00986047367541909
NsiI.TP72077,1, 1422420,108,-1.2388608586094,0.325666518724991,-0.403455503007977
PstI.TP929619,1, 1952038,108,0.61591437355042,0.53863145470045,0.331750854996379
PstI.TP417865,1, 2030761,108,-0.222191254450479,0.264162536855698,-0.0586946054427884
PstI.TP885267,1, 2084430,108,-0.971246328307182,0.478330504195749,-0.464576745917444
PstI.TP56795,1, 2315051,108,-0.171054535578438,0.693434968635228,-0.118615196513748
PstI.TP966432,1, 2596832,108,1.04255107426161,0.420282510220073,0.438165982523305
PstI.TP441536,1, 2816855,108,0.537189448513859,0.148984942614766,0.0800331391600951
PstI.TP1085601,1, 2820903,108,0.86339897407412,0.375682239479483,0.324363660144454
PstI.TP525202,1, 2884119,108,-0.48386210753744,0.31181803199949,-0.15087693013145
PstI.TP1268585,1, 2988383,108,-1.54807952312956,0.31099110814,-0.481438966386905
PstI.TP59735,1, 3027630,108,0.437590211652791,0.712391687021282,0.311735629103332
PstI.TP849876,1, 3050119,108,0.661804632790298,0.245699516783719,0.162605078481803
PstI.TP209693,1, 3305106,108,-0.873836522724386,0.388199372187806,-0.339222789516382
PstI.TP626124,1, 3342723,108,0.252452858105079,0.53420125555172,0.134860633767353
PstI.TP1059573,1, 3357749,108,-0.0993463569267602,0.316675208792667,-0.0314605283225726
NsiI.TP504485,1, 3381640,108,-1.12325467684391,0.466316328492236,-0.523791996867586
PstI.TP1244443,1, 3397749,108,-0.648426910653448,0.246425526868062,-0.159788943093206
PstI.TP1199997,1, 3471828,108,-0.267047226376347,0.589182032622055,-0.157339427642498
PstI.TP757375,1, 3471897,108,-1.75864158081122,0.488932704351035,-0.859857384090207
PstI.TP726521,1, 3535515,108,-0.349551236192087,0.418088256772524,-0.14614326699223
PstI.TP374511,1, 3576636,108,1.18094132244419,0.287950348811278,0.340052465723455
PstI.TP1267977,1, 3576713,108,-0.272615564011652,0.274255815977019,-0.0747664039560509
PstI.TP1155202,1, 3620639,108,-0.499596020513843,0.467940992688066,-0.233781457782255
PstI.TP961085,1, 3705536,108,0.596423392626862,0.17545533609075,0.104645666805731
PstI.TP21889,1, 3705780,108,1.24819754992839,0.189908193722387,0.23704294211561
PstI.TP1053336,1, 3955998,108,-0.0214571971324802,0.302629342680867,-0.00649357746397627
NsiI.TP403662,1, 3957731,108,-0.422421723135341,0.228038550931419,-0.0963284376257363
PstI.TP891020,1, 4033768,108,1.12582421279747,0.306433089730331,0.344989792020746
PstI.TP629259,1, 4276027,108,0.284587885437437,0.188404273336883,0.0536175737563205
PstI.TP629254,1, 4276045,108,-1.87267256526672,0.484382561838867,-0.907089934649257
PstI.TP140451,1, 4460094,108,0.846837772125805,0.215220357233177,0.182256727835463
PstI.TP403850,1, 4535788,108,-0.274577487794535,0.591011826199994,-0.162278542494855
NsiI.TP468762,1, 4620729,108,-1.12706937718142,0.390333992634113,-0.439933489970866
PstI.TP307588,1, 4762662,108,0.0788404775940812,0.367655632492347,0.0289861456558507
PstI.TP920636,1, 4777048,108,-1.2264729757378,0.278476282290639,-0.341543634613401
PstI.TP947391,1, 4891496,108,-0.755508120746474,0.471854241835482,-0.356489711515377
PstI.TP683907,1, 4900973,108,-1.28708640057417,0.221068204863157,-0.284533880078714
PstI.TP402429,1, 4990016,108,-0.614908276812187,0.324285011159453,-0.19940553740808
PstI.TP1126882,1, 5115206,108,-1.38344222808564,0.459203829508885,-0.63528196904123
PstI.TP684655,1, 5379329,108,-0.296861968240383,0.180759720190682,-0.0536606863143867
NsiI.TP556033,1, 5459542,108,-0.111710911445969,0.205979451088515,-0.0230101522202383
NsiI.TP367540,1, 5460609,108,0.744945550277394,0.627082112465624,0.467142029339815
PstI.TP928135,1, 5502147,108,0.63156478125678,0.412145671873129,0.260296691102482
PstI.TP476949,1, 5536792,108,0.0815527006436026,0.153364871199395,0.0125073194301689
PstI.TP677745,1, 5751851,108,0.679640871345526,0.199866991571183,0.135837776304647
PstI.TP739422,1, 5776555,108,0.650067258067841,0.777519378914793,0.50543989074575
PstI.TP705967,1, 5858828,108,-1.93051278991787,0.358693490486282,-0.692462371044051
PstI.TP1252197,1, 5912854,108,0.909886676758598,0.306869002448386,0.279216016837988
PstI.TP116123,1, 5967108,108,1.39256294812062,0.351928159918182,0.490082115902329
PstI.TP804275,1, 5979740,108,0.540969478301767,0.48571823022679,0.262758737607444
PstI.TP523933,1, 6018181,108,-1.76596344069982,0.176948760838343,-0.31248504251765
PstI.TP722242,1, 6187691,108,0.568537734232014,0.614202446430916,0.349197267253593
NsiI.TP488601,1, 6409370,108,1.88943606177799,0.175024045173731,0.330696742629509
PstI.TP1015835,1, 6514843,108,-0.27885679586714,0.242486758461757,-0.0676190805048547
PstI.TP547229,1, 6574881,108,-0.261918539181048,0.338727406802173,-0.0887189875702097
PstI.TP272307,1, 6679965,108,-0.0245892669645962,0.210144585551809,-0.00516730131529786
PstI.TP841428,1, 6731433,108,-1.28929738702581,0.799147332442071,-1.03033856756621
PstI.TP1136661,1, 6752030,108,-0.876040255646983,0.500474316783837,-0.438435648420062
PstI.TP444825,1, 6930877,108,0.252452858105079,0.53420125555172,0.134860633767353
NsiI.TP350497,1, 6933742,108,-0.0496302072417765,0.640462430876428,-0.0317862831749691
NsiI.TP800074,1, 6979429,108,0.734847347120322,0.505861230535548,0.371730783270069
PstI.TP806450,1, 7007771,108,-1.08664495418621,0.238868248070111,-0.259564976480686
PstI.TP443586,1, 7215893,108,0.604230722142722,0.1682033470683,0.101633629865902
PstI.TP488378,1, 7260223,108,1.12598625943198,1.08490853860201,1.22159210720629
NsiI.TP375218,1, 7321465,108,-0.13048452852529,0.265020511887843,-0.0345810765432162
PstI.TP712786,1, 7449325,108,-0.717771715579184,0.282660569136108,-0.202885761635413
PstI.TP1173447,1, 7571007,108,0.370769233822084,0.350378531489944,0.129909579668233
PstI.TP614866,1, 7824409,108,2.34678589707173,0.420738505927449,0.987383192065568
PstI.TP973605,1, 7933170,108,0.660566525221582,0.262259381410597,0.17323976828516
PstI.TP972953,1, 7984963,108,1.67190172526973,0.163401767703879,0.273191697336239
PstI.TP36329,1, 8029204,108,-1.40803378232943,0.486098684292719,-0.684443369030038
PstI.TP308053,1, 8330660,108,-1.25242100184964,0.325276722947189,-0.407383399231886
PstI.TP424566,1, 8533790,108,-0.0407737765041421,0.276710915501142,-0.0112825490249001
PstI.TP302093,1, 8923298,108,0.251950261484803,0.292449499373376,0.0736827278382217
PstI.TP461927,1, 9014162,108,0.725251827316389,0.307962653120971,0.223350476921188
PstI.TP443245,1, 9039678,108,0.199802239149542,0.367177311678302,0.0733628490382339
PstI.TP550784,1, 9140137,108,-0.47104317808039,0.451458366252708,-0.212656383610657
PstI.TP581769,1, 9144035,108,1.92669965428372,0.450846379965926,0.868645564415416
PstI.TP745827,1, 9270379,108,-0.39129239093231,0.31156186336987,-0.121911786441322
PstI.TP456141,1, 9284445,108,-1.90572845652353,0.330562190278763,-0.629961772664983
PstI.TP974726,1, 9504539,108,0.980084121283896,0.268695840775335,0.263344526998932
