SNP,Chromosome,Position,P.value,maf,effect
PstI.TP301133,1,12137712,0.00263631050579951,NA,0.357050078676452
NsiI.TP758763,1,57499558,0.00100943887411056,NA,-0.261845072739452
PstI.TP457393,1,60097068,0.00388595669920306,NA,-0.10267314197449
PstI.TP961110,1,65184135,4.48272356720938e-07,NA,0.216639196910775
PstI.TP339412,1,72911521,0.00106429759142778,NA,0.394472347542752
PstI.TP229147,2, 3390758,0.00256717480079601,NA,0.258101506312374
PstI.TP1148558,2,62049812,1.86991579673919e-05,NA,0.426482151632861
PstI.TP426528,2,75226780,1.19857338440489e-06,NA,0.197396304081513
PstI.TP370692,3,55164432,4.00066750544975e-06,NA,0.310008098780583
PstI.TP504809,4, 5155593,0.000540552976429043,NA,-0.183889976966367
PstI.TP673282,4,65067106,0.00778151997872056,NA,-0.177785527529106
PstI.TP710636,6,45894338,0.000150910331391382,NA,0.181500599876871
PstI.TP83264,6,56897554,0.00668282340011772,NA,-0.199851678647027
PstI.TP10996,6,57974096,2.91564935899015e-08,NA,-0.321955487578911
PstI.TP1155086,9,50004653,0.00757182756643817,NA,0.112079823715274
NsiI.TP415930,10,20420558,0.00633538608104504,NA,-0.182411628828184
PstI.TP282598,10,55748349,0.00924610021336704,NA,-0.273107394553935
PstI.TP288834,11,    2294,1.01669076745481e-05,NA,-0.712493764588179
PstI.TP433234,11,    3320,3.64553615831471e-06,NA,-0.196718158785486
