SNP,Chromosome,Position,P.value,effect,maf,nobs
PstI.TP506588,1,80675,0.400787701884358,NA,0.0211864406779661,118
PstI.TP863331,1,161269,0.369701812415048,NA,0.0677966101694916,118
PstI.TP424788,1,263370,0.125193000470751,NA,0.0254237288135593,118
PstI.TP931820,1,284314,0.471233057026856,NA,0.0296610169491526,118
NsiI.TP148773,1,285352,0.658871581564858,NA,0.127118644067797,118
PstI.TP1106845,1,416796,0.0210486487904635,NA,0.0127118644067797,118
PstI.TP999740,1,569491,0.7365386142946,NA,0.0889830508474576,118
PstI.TP1152021,1,865447,0.918766462091908,NA,0.0296610169491525,118
PstI.TP716618,1,918921,0.205878390514794,NA,0.0254237288135593,118
PstI.TP1246584,1,1015480,0.161486900956866,NA,0.436440677966102,118
PstI.TP354591,1,1050082,0.049885046089328,NA,0.309322033898305,118
PstI.TP856852,1,1153760,0.168351052244424,NA,0.186440677966102,118
PstI.TP775725,1,1175417,0.544802903106681,NA,0.0635593220338984,118
NsiI.TP72077,1,1422420,0.471673504289844,NA,0.0423728813559322,118
PstI.TP929619,1,1952038,0.219891737623024,NA,0.0254237288135594,118
PstI.TP417865,1,2030761,0.414787467863312,NA,0.355932203389831,118
PstI.TP885267,1,2084430,0.272890499319936,NA,0.0720338983050848,118
PstI.TP56795,1,2315051,0.724718406123532,NA,0.0127118644067796,118
PstI.TP966432,1,2596832,0.744219454396695,NA,0.038135593220339,118
PstI.TP441536,1,2816855,0.768820582315259,NA,0.364406779661017,118
PstI.TP1085601,1,2820903,0.449446522382254,NA,0.0508474576271186,118
PstI.TP525202,1,2884119,0.174022230520195,NA,0.0677966101694916,118
PstI.TP1268585,1,2988383,0.903973559230633,NA,0.372881355932203,118
PstI.TP59735,1,3027630,0.715018279173408,NA,0.0127118644067796,118
PstI.TP849876,1,3050119,0.788137755353056,NA,0.0932203389830508,118
PstI.TP209693,1,3305106,0.688523400957031,NA,0.0423728813559322,118
PstI.TP626124,1,3342723,0.981625043354215,NA,0.0550847457627119,118
PstI.TP1059573,1,3357749,0.136871828125213,NA,0.156779661016949,118
NsiI.TP504485,1,3381640,0.177571592299383,NA,0.0466101694915254,118
PstI.TP1244443,1,3397749,0.204497771710691,NA,0.139830508474576,118
PstI.TP1199997,1,3471828,0.229391812508647,NA,0.0169491525423729,118
PstI.TP757375,1,3471897,0.719124028910756,NA,0.0338983050847458,118
PstI.TP726521,1,3535515,0.682641507080149,NA,0.0677966101694916,118
PstI.TP374511,1,3576636,0.337496441030289,NA,0.13135593220339,118
PstI.TP1267977,1,3576713,0.840986680519656,NA,0.110169491525424,118
PstI.TP1155202,1,3620639,0.8995940410722,NA,0.0423728813559322,118
PstI.TP961085,1,3705536,0.206611040958414,NA,0.377118644067797,118
PstI.TP21889,1,3705780,0.428495379085147,NA,0.224576271186441,118
