SNP,Chromosome,Position,P.value,effect,maf,nobs
PstI.TP506588,1,80675,0.767965237625662,NA,0.0211864406779661,118
PstI.TP863331,1,161269,0.84835970882694,NA,0.0677966101694916,118
PstI.TP424788,1,263370,0.93597582121105,NA,0.0254237288135593,118
PstI.TP931820,1,284314,0.678491226305143,NA,0.0296610169491526,118
NsiI.TP148773,1,285352,0.977788002379385,NA,0.127118644067797,118
PstI.TP1106845,1,416796,0.758031374092593,NA,0.0127118644067797,118
PstI.TP999740,1,569491,0.90464743638505,NA,0.0889830508474576,118
PstI.TP1152021,1,865447,0.762253471941984,NA,0.0296610169491525,118
PstI.TP716618,1,918921,0.417944656047038,NA,0.0254237288135593,118
PstI.TP1246584,1,1015480,0.236564641890232,NA,0.436440677966102,118
PstI.TP354591,1,1050082,0.96491780660925,NA,0.309322033898305,118
PstI.TP856852,1,1153760,0.786127530105788,NA,0.186440677966102,118
PstI.TP775725,1,1175417,0.914734559936574,NA,0.0635593220338984,118
NsiI.TP72077,1,1422420,0.357048518749105,NA,0.0423728813559322,118
PstI.TP929619,1,1952038,0.711955670361259,NA,0.0254237288135594,118
PstI.TP417865,1,2030761,0.972009397154633,NA,0.355932203389831,118
PstI.TP885267,1,2084430,0.690665299417453,NA,0.0720338983050848,118
PstI.TP56795,1,2315051,0.684217348225729,NA,0.0127118644067796,118
PstI.TP966432,1,2596832,0.718660740661009,NA,0.038135593220339,118
PstI.TP441536,1,2816855,0.324086445564111,NA,0.364406779661017,118
PstI.TP1085601,1,2820903,0.415812090096991,NA,0.0508474576271186,118
PstI.TP525202,1,2884119,0.821490570884941,NA,0.0677966101694916,118
PstI.TP1268585,1,2988383,0.261327488363586,NA,0.372881355932203,118
PstI.TP59735,1,3027630,0.586564856702938,NA,0.0127118644067796,118
PstI.TP849876,1,3050119,0.82848685181026,NA,0.0932203389830508,118
PstI.TP209693,1,3305106,0.278940431202453,NA,0.0423728813559322,118
PstI.TP626124,1,3342723,0.268181759009753,NA,0.0550847457627119,118
PstI.TP1059573,1,3357749,0.0734424220828222,NA,0.156779661016949,118
NsiI.TP504485,1,3381640,0.697448236540125,NA,0.0466101694915254,118
PstI.TP1244443,1,3397749,0.664573218438427,NA,0.139830508474576,118
PstI.TP1199997,1,3471828,0.32039008268355,NA,0.0169491525423729,118
PstI.TP757375,1,3471897,0.526990927877407,NA,0.0338983050847458,118
PstI.TP726521,1,3535515,0.805461286919107,NA,0.0677966101694916,118
PstI.TP374511,1,3576636,0.128732830043243,NA,0.13135593220339,118
PstI.TP1267977,1,3576713,0.83484341468095,NA,0.110169491525424,118
PstI.TP1155202,1,3620639,0.537308087440412,NA,0.0423728813559322,118
PstI.TP961085,1,3705536,0.0897718203409244,NA,0.377118644067797,118
PstI.TP21889,1,3705780,0.0989319190096189,NA,0.224576271186441,118
PstI.TP1053336,1,3955998,0.625493477829623,NA,0.0889830508474576,118
NsiI.TP403662,1,3957731,0.159778360321014,NA,0.097457627118644,118
PstI.TP891020,1,4033768,0.570487124010332,NA,0.0635593220338983,118
PstI.TP629259,1,4276027,0.862971375132345,NA,0.364406779661017,118
PstI.TP629254,1,4276045,0.746090666956227,NA,0.0296610169491526,118
PstI.TP140451,1,4460094,0.821300514082596,NA,0.211864406779661,118
PstI.TP403850,1,4535788,0.489821138941027,NA,0.0169491525423728,118
NsiI.TP468762,1,4620729,0.50404005670202,NA,0.0805084745762712,118
PstI.TP307588,1,4762662,0.963363474123801,NA,0.0677966101694916,118
PstI.TP920636,1,4777048,0.227540314019513,NA,0.105932203389831,118
PstI.TP947391,1,4891496,0.562162420004696,NA,0.038135593220339,118
PstI.TP683907,1,4900973,0.509829663727041,NA,0.169491525423729,118
PstI.TP402429,1,4990016,0.448480925732906,NA,0.0720338983050848,118
PstI.TP1126882,1,5115206,0.186727298062054,NA,0.0338983050847458,118
PstI.TP684655,1,5379329,0.503119148666371,NA,0.38135593220339,118
NsiI.TP556033,1,5459542,0.474889456167886,NA,0.148305084745763,118
NsiI.TP367540,1,5460609,0.589167160451544,NA,0.0169491525423728,118
PstI.TP928135,1,5502147,0.718928580076496,NA,0.0338983050847458,118
PstI.TP476949,1,5536792,0.72990644057564,NA,0.470338983050847,118
PstI.TP677745,1,5751851,0.587406365302151,NA,0.207627118644068,118
PstI.TP739422,1,5776555,0.227346661868125,NA,0.0127118644067797,118
PstI.TP705967,1,5858828,0.904564933129652,NA,0.0889830508474576,118
PstI.TP1252197,1,5912854,0.150956865014866,NA,0.0720338983050847,118
PstI.TP116123,1,5967108,0.467415895328905,NA,0.0508474576271186,118
PstI.TP804275,1,5979740,0.286092583341536,NA,0.0254237288135594,118
PstI.TP523933,1,6018181,0.0863463092246703,NA,0.266949152542373,118
PstI.TP722242,1,6187691,0.43443916578338,NA,0.0254237288135593,118
NsiI.TP488601,1,6409370,0.149670935236102,NA,0.305084745762712,118
PstI.TP1015835,1,6514843,0.926561659291932,NA,0.186440677966102,118
PstI.TP547229,1,6574881,0.0361298847170484,NA,0.0550847457627118,118
PstI.TP272307,1,6679965,0.749208550834848,NA,0.275423728813559,118
PstI.TP841428,1,6731433,0.0290386428680247,NA,0.0169491525423729,118
