SNP,Chromosome,Position,P.value,effect,SNP,maf,nobs
PstI.TP506588,1,80675,0.232990077546753,-8.78108018778312,PstI.TP506588,0.0171232876712329,146
PstI.TP863331,1,161269,0.971711078886382,0.17455906094278,PstI.TP863331,0.0547945205479452,146
PstI.TP424788,1,263370,0.120402444944767,12.0225722589589,PstI.TP424788,0.023972602739726,146
PstI.TP931820,1,284314,0.398418001224878,6.42520008885327,PstI.TP931820,0.0273972602739726,146
NsiI.TP148773,1,285352,0.714434427464706,1.42601319047904,NsiI.TP148773,0.123287671232877,146
PstI.TP1106845,1,416796,0.360310022049187,-9.33712707418909,PstI.TP1106845,0.0102739726027397,146
PstI.TP999740,1,569491,0.306425504081488,4.55046250528038,PstI.TP999740,0.0856164383561644,146
PstI.TP1152021,1,865447,0.0889677080005694,12.1468454256251,PstI.TP1152021,0.023972602739726,146
PstI.TP716618,1,918921,0.111785295035573,11.824192356382,PstI.TP716618,0.0205479452054795,146
PstI.TP1246584,1,1015480,0.376745778067382,-2.11576916304155,PstI.TP1246584,0.410958904109589,146
PstI.TP354591,1,1050082,0.605856918783969,1.69836734549812,PstI.TP354591,0.328767123287671,146
PstI.TP856852,1,1153760,0.441749702450462,3.07608591870069,PstI.TP856852,0.171232876712329,146
PstI.TP775725,1,1175417,0.619516237806138,-2.50137796788967,PstI.TP775725,0.0582191780821918,146
NsiI.TP72077,1,1422420,0.0066302878903202,-13.5065568246139,NsiI.TP72077,0.0376712328767124,146
PstI.TP929619,1,1952038,0.961844089578337,0.36386971967255,PstI.TP929619,0.0273972602739726,146
PstI.TP417865,1,2030761,0.726030285310464,-1.36810583697716,PstI.TP417865,0.366438356164384,146
PstI.TP885267,1,2084430,0.899317378835605,0.855576953638398,PstI.TP885267,0.0616438356164384,146
PstI.TP56795,1,2315051,0.615196978881001,-5.07980535337825,PstI.TP56795,0.0102739726027398,146
PstI.TP966432,1,2596832,0.399036208078841,5.36541286584205,PstI.TP966432,0.041095890410959,146
PstI.TP441536,1,2816855,0.727650154193297,0.816109548798383,PstI.TP441536,0.386986301369863,146
PstI.TP1085601,1,2820903,0.748107995105293,-1.80010682405239,PstI.TP1085601,0.0547945205479452,146
PstI.TP525202,1,2884119,0.467905298758907,3.28808773705406,PstI.TP525202,0.0684931506849316,146
PstI.TP1268585,1,2988383,0.745159779686077,-1.25733423956735,PstI.TP1268585,0.376712328767123,146
PstI.TP59735,1,3027630,0.265537608691097,13.4735329094904,PstI.TP59735,0.0102739726027398,146
PstI.TP849876,1,3050119,0.686265182049639,1.59511967436218,PstI.TP849876,0.0924657534246575,146
PstI.TP209693,1,3305106,0.284727283586512,6.73277055462188,PstI.TP209693,0.0376712328767124,146
PstI.TP626124,1,3342723,0.773067377311651,2.22796781225155,PstI.TP626124,0.0445205479452055,146
PstI.TP1059573,1,3357749,0.114001845562312,-6.71915156654272,PstI.TP1059573,0.147260273972603,146
NsiI.TP504485,1,3381640,0.667991474969295,-2.84798516208978,NsiI.TP504485,0.0376712328767123,146
PstI.TP1244443,1,3397749,0.314226942305715,-3.85177635335755,PstI.TP1244443,0.157534246575342,146
PstI.TP1199997,1,3471828,0.962914424124416,0.424906475692802,PstI.TP1199997,0.0136986301369863,146
PstI.TP757375,1,3471897,0.942818521228566,-0.476849818156329,PstI.TP757375,0.0308219178082192,146
PstI.TP726521,1,3535515,0.962734171255794,-0.289477812537023,PstI.TP726521,0.0582191780821918,146
PstI.TP374511,1,3576636,0.856536060424649,0.696781707321127,PstI.TP374511,0.116438356164384,146
PstI.TP1267977,1,3576713,0.404921228819117,-3.71764806884512,PstI.TP1267977,0.11986301369863,146
PstI.TP1155202,1,3620639,0.694772075138,-2.3386625716184,PstI.TP1155202,0.0445205479452054,146
PstI.TP961085,1,3705536,0.355825876456329,-2.50485379736126,PstI.TP961085,0.383561643835616,146
PstI.TP21889,1,3705780,0.939922110694806,-0.222374239041339,PstI.TP21889,0.229452054794521,146
PstI.TP1053336,1,3955998,0.192341255184288,-4.72790402115489,PstI.TP1053336,0.0719178082191781,146
NsiI.TP403662,1,3957731,0.175951821086896,-4.60807078805147,NsiI.TP403662,0.116438356164384,146
PstI.TP891020,1,4033768,0.842960790998496,0.949593407015594,PstI.TP891020,0.0719178082191781,146
PstI.TP629259,1,4276027,0.0668430454586421,4.7711706969936,PstI.TP629259,0.356164383561644,146
PstI.TP629254,1,4276045,0.965916456775498,0.318678472850408,PstI.TP629254,0.0273972602739726,146
PstI.TP140451,1,4460094,0.801116166981117,0.942587463590847,PstI.TP140451,0.202054794520548,146
PstI.TP403850,1,4535788,0.792947691020801,2.32882078980397,PstI.TP403850,0.0171232876712328,146
NsiI.TP468762,1,4620729,0.336685968919618,-4.94902212106861,NsiI.TP468762,0.0684931506849316,146
PstI.TP307588,1,4762662,0.448757426372347,-3.6580742967303,PstI.TP307588,0.0616438356164384,146
PstI.TP920636,1,4777048,0.746293663339642,-1.37977661051965,PstI.TP920636,0.116438356164384,146
PstI.TP947391,1,4891496,0.48372687994608,4.12300447202942,PstI.TP947391,0.0308219178082192,146
PstI.TP683907,1,4900973,0.582409296758706,-1.85083051352277,PstI.TP683907,0.184931506849315,146
PstI.TP402429,1,4990016,0.373752339289774,-4.16197818313648,PstI.TP402429,0.0856164383561644,146
PstI.TP1126882,1,5115206,0.797321327702241,-1.72461326315755,PstI.TP1126882,0.0342465753424658,146
PstI.TP684655,1,5379329,0.379275802807616,-2.14697662569704,PstI.TP684655,0.366438356164384,146
NsiI.TP556033,1,5459542,0.704441444646823,1.20463281177006,NsiI.TP556033,0.160958904109589,146
NsiI.TP367540,1,5460609,0.437595903772787,-7.13579930798475,NsiI.TP367540,0.0171232876712328,146
PstI.TP928135,1,5502147,0.110043143517132,9.37319135401064,PstI.TP928135,0.0410958904109589,146
PstI.TP476949,1,5536792,0.861074406725342,0.397379153745087,PstI.TP476949,0.445205479452055,146
PstI.TP677745,1,5751851,0.516622792768557,-1.83545940574808,PstI.TP677745,0.191780821917808,146
PstI.TP739422,1,5776555,0.424441633219274,-8.24700587191302,PstI.TP739422,0.0102739726027397,146
PstI.TP705967,1,5858828,0.869997418032004,0.664479717639976,PstI.TP705967,0.0856164383561644,146
PstI.TP1252197,1,5912854,0.891284334842109,0.638449364253979,PstI.TP1252197,0.0719178082191781,146
PstI.TP116123,1,5967108,0.787933588525077,1.38725069035581,PstI.TP116123,0.0479452054794521,146
PstI.TP804275,1,5979740,0.821992700924534,1.6384490533112,PstI.TP804275,0.023972602739726,146
PstI.TP523933,1,6018181,0.31906846412402,2.72188414450151,PstI.TP523933,0.284246575342466,146
PstI.TP722242,1,6187691,0.742298386702124,-2.49141406383048,PstI.TP722242,0.023972602739726,146
NsiI.TP488601,1,6409370,0.00492523510201788,6.9686688103135,NsiI.TP488601,0.318493150684932,146
PstI.TP1015835,1,6514843,0.956748528121153,-0.193036177279907,PstI.TP1015835,0.184931506849315,146
PstI.TP547229,1,6574881,0.084621882127049,-8.77150905231613,PstI.TP547229,0.047945205479452,146
PstI.TP272307,1,6679965,0.762164889830657,0.902309180887666,PstI.TP272307,0.26027397260274,146
PstI.TP841428,1,6731433,0.378094112030052,-8.64917347901829,PstI.TP841428,0.0136986301369863,146
PstI.TP1136661,1,6752030,0.750727701359338,2.52095740304545,PstI.TP1136661,0.0273972602739726,146
PstI.TP444825,1,6930877,0.773067377311651,2.22796781225155,PstI.TP444825,0.0479452054794521,146
NsiI.TP350497,1,6933742,0.837636329481069,-1.88109809500812,NsiI.TP350497,0.0136986301369863,146
NsiI.TP800074,1,6979429,0.812149905924065,1.33926019287184,NsiI.TP800074,0.0513698630136986,146
PstI.TP806450,1,7007771,0.317560915624071,-2.68659741254056,PstI.TP806450,0.452054794520548,146
PstI.TP443586,1,7215893,0.417805663484738,1.98840711436685,PstI.TP443586,0.349315068493151,146
PstI.TP488378,1,7260223,0.804481148312525,2.113798581867,PstI.TP488378,0.0171232876712329,146
NsiI.TP375218,1,7321465,0.627584708105517,-2.0313417422771,NsiI.TP375218,0.13013698630137,146
PstI.TP712786,1,7449325,0.790633244375147,-1.15301045805767,PstI.TP712786,0.0787671232876712,146
PstI.TP1173447,1,7571007,0.472672068553476,-3.76386691419036,PstI.TP1173447,0.0958904109589041,146
PstI.TP614866,1,7824409,0.0720975150717991,12.3984761689476,PstI.TP614866,0.0376712328767124,146
PstI.TP973605,1,7933170,0.315209612262224,3.84701130576475,PstI.TP973605,0.0821917808219178,146
PstI.TP972953,1,7984963,0.0850372028800484,4.10791817787637,PstI.TP972953,0.428082191780822,146
PstI.TP36329,1,8029204,0.432826531988484,-5.83927354575889,PstI.TP36329,0.0273972602739726,146
PstI.TP308053,1,8330660,0.672665953660756,1.9315556134429,PstI.TP308053,0.0924657534246575,146
PstI.TP424566,1,8533790,0.973540581281442,-0.116186815842084,PstI.TP424566,0.136986301369863,146
PstI.TP302093,1,8923298,0.194734322528111,-6.95580108041139,PstI.TP302093,0.0787671232876712,146
PstI.TP461927,1,9014162,0.246492373376111,-5.24100639826041,PstI.TP461927,0.113013698630137,146
PstI.TP443245,1,9039678,0.37792089735415,-4.64759481819279,PstI.TP443245,0.0821917808219178,146
PstI.TP550784,1,9140137,0.500253661558434,4.5611182087159,PstI.TP550784,0.0342465753424658,146
PstI.TP581769,1,9144035,0.856447077949364,1.17675678680493,PstI.TP581769,0.0376712328767124,146
PstI.TP745827,1,9270379,0.0573229840023781,-9.53101256208109,PstI.TP745827,0.0787671232876712,146
PstI.TP456141,1,9284445,0.612795590250412,-2.55878910470396,PstI.TP456141,0.0513698630136986,146
PstI.TP974726,1,9504539,0.186735290388087,5.25864632922819,PstI.TP974726,0.0684931506849316,146
NsiI.TP134750,1,9511955,0.579892226741042,-3.23120773955016,NsiI.TP134750,0.0547945205479452,146
PstI.TP701371,1,9558859,0.970143600212795,-0.225823199258144,PstI.TP701371,0.0582191780821918,146
PstI.TP336334,1,9630139,0.46068954911837,-1.91498049106201,PstI.TP336334,0.267123287671233,146
PstI.TP390724,1,9756005,0.23049786024032,5.03686740867081,PstI.TP390724,0.113013698630137,146
PstI.TP258967,1,9761381,0.722535999036427,-2.85960427029699,PstI.TP258967,0.0171232876712329,146
PstI.TP1278278,1,9821711,0.0467781276270225,4.77670082841522,PstI.TP1278278,0.287671232876712,146
PstI.TP377612,1,9851429,0.299840083416792,3.10837899370908,PstI.TP377612,0.212328767123288,146
PstI.TP377610,1,9851445,0.306158676457621,5.95082405124691,PstI.TP377610,0.0616438356164384,146
PstI.TP1001875,1,9929490,0.545472677538399,-5.43439282859329,PstI.TP1001875,0.0136986301369863,146
PstI.TP120265,1,9929566,0.0800528749793133,7.35227420789231,PstI.TP120265,0.0753424657534246,146
PstI.TP145867,1,9990979,0.383115573649786,-9.03318211690961,PstI.TP145867,0.0136986301369864,146
PstI.TP498398,1,10010021,0.512316053278624,-3.09338726573635,PstI.TP498398,0.0753424657534246,146
PstI.TP1106149,1,10181736,0.924979557622851,0.331249186536251,PstI.TP1106149,0.171232876712329,146
PstI.TP593918,1,10465079,0.752679957173179,-1.72525470952026,PstI.TP593918,0.0376712328767124,146
NsiI.TP360999,1,10465743,0.443557765169276,4.74966246016719,NsiI.TP360999,0.0719178082191781,146
PstI.TP323026,1,10477035,0.683445111568216,4.3513939158363,PstI.TP323026,0.0102739726027398,146
PstI.TP91211,1,10530796,0.343041810850637,-3.24384683178328,PstI.TP91211,0.167808219178082,146
PstI.TP488889,1,10576905,0.844431225476833,0.825486887518649,PstI.TP488889,0.0856164383561644,146
PstI.TP948493,1,10639570,0.978387954061814,-0.143987274892027,PstI.TP948493,0.0547945205479452,146
PstI.TP980214,1,10687788,0.303099586639683,-2.55524391472088,PstI.TP980214,0.407534246575342,146
PstI.TP667320,1,10965394,0.4012017773028,6.27989338434861,PstI.TP667320,0.023972602739726,146
PstI.TP869093,1,11187262,0.72269302229021,-1.06154140114175,PstI.TP869093,0.191780821917808,146
PstI.TP835148,1,11456164,0.748516477920718,-1.61735480882129,PstI.TP835148,0.089041095890411,146
PstI.TP319571,1,11815150,0.101910925709049,-4.71081748782284,PstI.TP319571,0.270547945205479,146
PstI.TP1288084,1,11935767,0.277579659532464,4.05151807160412,PstI.TP1288084,0.14041095890411,146
PstI.TP939213,1,11990855,0.947395671120587,0.485507671857093,PstI.TP939213,0.0308219178082192,146
PstI.TP301133,1,12137712,0.624331502927936,-4.3124036969289,PstI.TP301133,0.0136986301369863,146
PstI.TP181460,1,12172878,0.212610733470489,-4.2541791484617,PstI.TP181460,0.154109589041096,146
PstI.TP308387,1,12249163,0.605705486592934,-1.39008719533418,PstI.TP308387,0.332191780821918,146
PstI.TP419952,1,13194145,0.921393604563993,-0.569628083242804,PstI.TP419952,0.0376712328767124,146
PstI.TP770895,1,13263569,0.510584290279785,2.624106916844,PstI.TP770895,0.147260273972603,146
PstI.TP726878,1,13263594,0.169695366683018,-5.28799869500677,PstI.TP726878,0.147260273972603,146
PstI.TP775845,1,13537099,0.153480560454718,-10.9725907168721,PstI.TP775845,0.023972602739726,146
NsiI.TP819777,1,14025316,0.447981019320561,-1.88558129679249,NsiI.TP819777,0.191780821917808,146
PstI.TP473065,1,14979768,0.269372672858359,-2.76004766597854,PstI.TP473065,0.304794520547945,146
PstI.TP994295,1,15000089,0.52772427619726,2.50849304796188,PstI.TP994295,0.267123287671233,146
NsiI.TP258606,1,15160092,0.772287341735868,-0.8679512951844,NsiI.TP258606,0.150684931506849,146
PstI.TP745600,1,15174350,0.313743065206188,9.4871165481478,PstI.TP745600,0.0136986301369864,146
PstI.TP37494,1,15597809,0.400248418110553,6.91615310307944,PstI.TP37494,0.023972602739726,146
PstI.TP364469,1,15807512,0.640390294518197,1.64957175000258,PstI.TP364469,0.089041095890411,146
PstI.TP548596,1,16432580,0.164775802741306,-12.5606557049731,PstI.TP548596,0.0205479452054795,146
PstI.TP1150194,1,16733554,0.269624981496575,-6.64168379389224,PstI.TP1150194,0.0547945205479452,146
PstI.TP1062903,1,16796019,0.704400065518732,-2.87174647920838,PstI.TP1062903,0.0410958904109589,146
PstI.TP875497,1,17132096,0.21395682394771,-9.02252287603763,PstI.TP875497,0.0136986301369863,146
PstI.TP270063,1,17132801,0.912266530612728,-0.687092785358551,PstI.TP270063,0.0376712328767124,146
PstI.TP155582,1,17577155,0.97364743263999,-0.171968703605216,PstI.TP155582,0.0445205479452054,146
PstI.TP311967,1,17610629,0.370096681052769,-7.88309208402391,PstI.TP311967,0.0205479452054794,146
PstI.TP907404,1,18035898,0.679283859950219,3.04942299484517,PstI.TP907404,0.0136986301369864,146
PstI.TP353784,1,18167193,0.882931604422675,0.688887922104445,PstI.TP353784,0.0650684931506849,146
PstI.TP510832,1,18167351,0.25599789931404,-5.9083075024766,PstI.TP510832,0.047945205479452,146
NsiI.TP20060,1,18191763,0.270188323595673,5.08254263923653,NsiI.TP20060,0.0856164383561644,146
PstI.TP1183011,1,18308062,0.425058004480123,8.92189346941344,PstI.TP1183011,0.0136986301369863,146
PstI.TP460935,1,18308167,0.333988415915197,-7.02203339620847,PstI.TP460935,0.0136986301369864,146
PstI.TP533117,1,18662889,0.382623373669805,5.30415996853616,PstI.TP533117,0.0856164383561644,146
PstI.TP166501,1,18793961,0.115269423484612,-5.70566535178538,PstI.TP166501,0.164383561643836,146
PstI.TP298371,1,19099334,0.0917763587316155,-6.01817248656755,PstI.TP298371,0.102739726027397,146
PstI.TP458499,1,19100550,0.119317525232924,4.67162751910914,PstI.TP458499,0.202054794520548,146
PstI.TP579186,1,19637965,0.797459083747364,1.79640805725546,PstI.TP579186,0.469178082191781,146
PstI.TP574132,1,19943823,0.0549358489215492,11.9405918847059,PstI.TP574132,0.0513698630136986,146
PstI.TP890955,1,20013544,0.678035550857493,1.43776263205328,PstI.TP890955,0.160958904109589,146
PstI.TP890977,1,20013575,0.0728026618702167,5.62095934749775,PstI.TP890977,0.171232876712329,146
