"","SNP","Chromosome","Position","GLM.Lg","MLM.Lg","CMLM.Lg","SUPER.Lg","rrBLUP.Lg","Adj.P.GLM.Lg","Adj.P.MLM.Lg","Adj.P.CMLM.Lg","Adj.P.SUPER.Lg","Adj.P.rrBLUP.Lg"
"600","PstI.TP706227",1,6336683,0.0000416925896834992,0.000681440854462357,0.000681440854462357,0.0000000000250653862247152,0.541348323833019,0.0104257537854256,0.117103988361131,0.117103988361131,0.0000000170671633599532,1
"4395","PstI.TP852620",10,6797132,0.000537401608096754,0.000404552716340689,0.000404552716340689,0.0000000000104386854959821,1,0.0501130471136839,0.0876176430355511,0.0876176430355511,0.00000000753422564358004,1
"5439","NsiI.TP521066",10,56914882,0.00000376683389106325,0.000586700680798622,0.000586700680798622,0.00000000000000791513633369904,0.167697258550205,0.00271875002921381,0.108578739326465,0.108578739326465,0.0000000000158689688894739,1
"6383","PstI.TP86865",11,732,0.0000232847550845816,0.000230227960297999,0.000230227960297999,0.00000000000052045855795932,1,0.00770917652745304,0.0610916664061337,0.0610916664061337,0.000000000481597652298357,1
"6449","PstI.TP99018",11,812,0.0000143571425449955,0.0000486956270612271,0.0000486956270612271,0.0000000000000184573408834484,1,0.00595540873751491,0.0278137130992969,0.0278137130992969,0.0000000000317185008477089,1
"6582","PstI.TP118720",11,980,0.000000372306255983873,0.000357831621986792,0.000357831621986792,0.0000000000000566005081894016,0.688056602070729,0.00053743152663784,0.082194911428289,0.082194911428289,0.0000000000851082974807969,1
"7009","PstI.TP186444",11,1527,0.0000000000590342837826542,0.00000000798965221399826,0.00000000798965221399826,0.00000000000000000000162880883586671,0.626284733751013,0.00000106521461657421,0.000144165284549385,0.000144165284549385,0.0000000000000000293902266343789,1
"7079","PstI.TP198603",11,1615,0.00000361908263208709,0.000155201602373792,0.000155201602373792,0.00000000000387520627010273,0.0494191573577609,0.00266541742911753,0.049130837074258,0.049130837074258,0.00000000297549880586101,1
"8168","PstI.TP381085",11,2985,0.00000525599211900074,0.000027260211942282,0.000027260211942282,0.00000000000000026545985774812,1,0.00338711149268748,0.0228782913621645,0.0228782913621645,0.000000000000736916565108781,1
"8914","PstI.TP522119",11,3902,0.000000000000434334086345624,0.000000000015752868867176,0.000000000015752868867176,0.00000000000000000000000127243173528444,0.859901950021728,0.0000000156742485080409,0.000000568489531678647,0.000000568489531678647,0.0000000000000000000459195164629449,1
