"","SNP","Chromosome","Position","GLM.Lg","MLM.Lg","CMLM.Lg","SUPER.Lg","rrBLUP.Lg","Adj.P.GLM.Lg","Adj.P.MLM.Lg","Adj.P.CMLM.Lg","Adj.P.SUPER.Lg","Adj.P.rrBLUP.Lg"
"461","NsiI.TP732230",1,5223682,0.0000292318320802522,0.0000775848323439123,0.0000775848323439123,0.000006540497148989,1,0.00879098630093451,0.0318168344275808,0.0318168344275808,0.000754100514737109,1
"476","NsiI.TP556033",1,5459542,0.811668871085295,0.621568617425394,0.621568617425394,0.0000245338385904115,0.565945786621306,0.971226510479091,0.99990690322193,0.99990690322193,0.00223580092689588,1
"494","PstI.TP1113834",1,5559012,0.00112096982770861,0.00885141285631661,0.00885141285631661,0.0000204322060525985,0.146623182053905,0.0735976682628016,0.397067051529588,0.397067051529588,0.00191946157912982,1
"600","PstI.TP706227",1,6336683,0.0000416925896834992,0.000681440854462357,0.000681440854462357,0.0000000000250653862247152,0.541348323833019,0.0104257537854256,0.117103988361131,0.117103988361131,0.0000000170671633599532,1
"770","PstI.TP158030",1,8374092,0.00343793780997053,0.00485322637404809,0.00485322637404809,0.00000103322089351525,0.690939097940554,0.134646391738373,0.300301764467459,0.300301764467459,0.000157328589051385,1
"884","PstI.TP336334",1,9630139,0.0032702791616387,0.00772129193306149,0.00772129193306149,0.00000210209562226467,0.769657598022337,0.131060876115301,0.374674647091545,0.374674647091545,0.000289543613802624,1
"1223","PstI.TP1070412",1,14662120,0.031733259732954,0.0205781164387942,0.0205781164387942,0.0000490613404659162,0.739949334724706,0.411980057619826,0.52968834953153,0.52968834953153,0.0038742355683457,1
"1270","PstI.TP364469",1,15807512,0.0000705337925225734,0.00263025369316853,0.00263025369316853,0.000000158948134480969,0.183401454410425,0.0147989738636897,0.234602905144906,0.234602905144906,0.0000316912722494431,1
"1303","GFSSContig19978_2050",1,16994300,0.0000110038689846173,0.00176127316880748,0.00176127316880748,0.00000645726358207552,0.0630632896403907,0.00506804344071837,0.193171196887967,0.193171196887967,0.000746890154326735,1
"1321","PstI.TP1129496",1,17451041,0.0609419768448902,0.000405457392677262,0.000405457392677262,0.0000524989093194357,1,0.550782384267067,0.0876176430355511,0.0876176430355511,0.00409196682401684,1
"1405","PstI.TP902375",1,18570894,0.045439206136181,0.0587668404043965,0.0587668404043965,0.00000697813626803179,0.0362335619122586,0.487293861194829,0.756340134277411,0.756340134277411,0.000796920827976998,1
"1513","NsiI.TP562524",1,21213159,0.0314768492838868,0.0919303557290497,0.0919303557290497,0.0000000862741087146943,0.356869634540184,0.410530009742286,0.857921561300736,0.857921561300736,0.0000191009818116312,1
"1538","NsiI.TP717159",1,21610202,0.0018854111752591,0.0745001022847725,0.0745001022847725,0.00000000105771271177655,1,0.0959671628952756,0.8090760431095,0.8090760431095,0.000000424119292695468,1
"1824","NsiI.TP177228",1,54134389,0.00736113188813737,0.006303606093063,0.006303606093063,0.00000000295723177378207,0.83777300669139,0.204546920566911,0.338518655783419,0.338518655783419,0.00000102615942550238,1
"1893","PstI.TP868323",1,56319033,0.014215852579332,0.0260195394474358,0.0260195394474358,0.00000662882826706704,0.182961655356737,0.287085443694982,0.581217716885403,0.581217716885403,0.000761850810515654,1
"2030","PstI.TP268120",1,58685595,0.00000636289592608785,0.000569749285051201,0.000569749285051201,0.00000000671454050191234,1,0.00382706980301097,0.106918660244482,0.106918660244482,0.0000019541478841372,1
"2215","NsiI.TP462536",1,62433879,0.00252206251496054,0.0129178857556501,0.0129178857556501,0.0000524842365390392,1,0.11405537849611,0.441877403933555,0.441877403933555,0.00409196682401684,1
"2278","NsiI.TP654975",1,63744460,0.0270836122585903,0.0437146273117823,0.0437146273117823,0.0000173166184996613,0.0222294331313572,0.386573146876575,0.689813540047374,0.689813540047374,0.00167989819466607,0.91997222803259
"2309","PstI.TP1199682",1,64192657,0.00692784436423412,0.0238779478610023,0.0238779478610023,0.0000650773491107541,0.0771418728455935,0.198107803024153,0.559706731425569,0.559706731425569,0.00485229622873738,1
"2462","PstI.TP507937",1,66723275,0.000455115441922975,0.00366850479361575,0.00366850479361575,0.000046006076622961,0.145227031992448,0.0458133350801861,0.270734153357884,0.270734153357884,0.00365697641667272,1
"2486","PstI.TP28636",1,66901342,0.000623084334256417,0.000890889898637741,0.000890889898637741,0.00000000453954043676816,0.369576070284784,0.0543510454946866,0.135277651504924,0.135277651504924,0.00000142454726332252,1
"2564","PstI.TP1167044",1,67636497,0.0030776642146617,0.012299508130569,0.012299508130569,0.00000000277753920804663,0.481649151098992,0.127370121764577,0.437305073316231,0.437305073316231,0.000000973163446019289,1
"2599","NsiI.TP147902",1,67937825,0.00210222996578195,0.000855516270960964,0.000855516270960964,0.0000000894157635497729,0.989403932485742,0.101424164445373,0.132515006613365,0.132515006613365,0.0000195565822726315,1
