"","SNP","Chromosome","Position","GLM.Lg","MLM.Lg","CMLM.Lg","SUPER.Lg","rrBLUP.Lg","Adj.P.GLM.Lg","Adj.P.MLM.Lg","Adj.P.CMLM.Lg","Adj.P.SUPER.Lg","Adj.P.rrBLUP.Lg"
"600","PstI.TP706227",1,6336683,0.0000416925896834992,0.000681440854462357,0.000681440854462357,0.0000000000250653862247152,0.541348323833019,0.0104257537854256,0.117103988361131,0.117103988361131,0.0000000170671633599532,1
"1538","NsiI.TP717159",1,21610202,0.0018854111752591,0.0745001022847725,0.0745001022847725,0.00000000105771271177655,1,0.0959671628952756,0.8090760431095,0.8090760431095,0.000000424119292695468,1
"2564","PstI.TP1167044",1,67636497,0.0030776642146617,0.012299508130569,0.012299508130569,0.00000000277753920804663,0.481649151098992,0.127370121764577,0.437305073316231,0.437305073316231,0.000000973163446019289,1
"3350","NsiI.TP641784",1,75379851,0.0000881833785960655,0.000147183733313314,0.000147183733313314,0.000000000779556910920936,1,0.0165748008686188,0.0478519510613592,0.0478519510613592,0.000000334912497634699,1
"3394","NsiI.TP560502",1,75823863,0.00392220033284176,0.0568160142570119,0.0568160142570119,0.000000000288061641246251,0.777263184523645,0.143992233582496,0.749429323325744,0.749429323325744,0.000000148508121561353,1
"3616","NsiI.TP193091",1,77956626,0.000355533133113877,0.00236944808405368,0.00236944808405368,0.000000000977289122765226,0.148990479582816,0.0391173161823585,0.222678756399295,0.222678756399295,0.000000400777384799449,1
"4395","PstI.TP852620",10,6797132,0.000537401608096754,0.000404552716340689,0.000404552716340689,0.0000000000104386854959821,1,0.0501130471136839,0.0876176430355511,0.0876176430355511,0.00000000753422564358004,1
"5439","NsiI.TP521066",10,56914882,0.00000376683389106325,0.000586700680798622,0.000586700680798622,0.00000000000000791513633369904,0.167697258550205,0.00271875002921381,0.108578739326465,0.108578739326465,0.0000000000158689688894739,1
"6383","PstI.TP86865",11,732,0.0000232847550845816,0.000230227960297999,0.000230227960297999,0.00000000000052045855795932,1,0.00770917652745304,0.0610916664061337,0.0610916664061337,0.000000000481597652298357,1
"6449","PstI.TP99018",11,812,0.0000143571425449955,0.0000486956270612271,0.0000486956270612271,0.0000000000000184573408834484,1,0.00595540873751491,0.0278137130992969,0.0278137130992969,0.0000000000317185008477089,1
"6582","PstI.TP118720",11,980,0.000000372306255983873,0.000357831621986792,0.000357831621986792,0.0000000000000566005081894016,0.688056602070729,0.00053743152663784,0.082194911428289,0.082194911428289,0.0000000000851082974807969,1
"7009","PstI.TP186444",11,1527,0.0000000000590342837826542,0.00000000798965221399826,0.00000000798965221399826,0.00000000000000000000162880883586671,0.626284733751013,0.00000106521461657421,0.000144165284549385,0.000144165284549385,0.0000000000000000293902266343789,1
"7022","PstI.TP189102",11,1542,0.000113047224036185,0.00021448043365731,0.00021448043365731,0.000000000692138741965934,0.260004948846461,0.0191532780329476,0.0577673861716044,0.0577673861716044,0.000000312223786500833,1
