"","SNP","Chromosome","Position","GLM.Lg","MLM.Lg","CMLM.Lg","SUPER.Lg","rrBLUP.Lg","Adj.P.GLM.Lg","Adj.P.MLM.Lg","Adj.P.CMLM.Lg","Adj.P.SUPER.Lg","Adj.P.rrBLUP.Lg"
"600","PstI.TP706227",1,6336683,0.0000416925896834992,0.000681440854462357,0.000681440854462357,0.0000000000250653862247152,0.541348323833019,0.0104257537854256,0.117103988361131,0.117103988361131,0.0000000170671633599532,1
"1538","NsiI.TP717159",1,21610202,0.0018854111752591,0.0745001022847725,0.0745001022847725,0.00000000105771271177655,1,0.0959671628952756,0.8090760431095,0.8090760431095,0.000000424119292695468,1
"1824","NsiI.TP177228",1,54134389,0.00736113188813737,0.006303606093063,0.006303606093063,0.00000000295723177378207,0.83777300669139,0.204546920566911,0.338518655783419,0.338518655783419,0.00000102615942550238,1
"2030","PstI.TP268120",1,58685595,0.00000636289592608785,0.000569749285051201,0.000569749285051201,0.00000000671454050191234,1,0.00382706980301097,0.106918660244482,0.106918660244482,0.0000019541478841372,1
"2486","PstI.TP28636",1,66901342,0.000623084334256417,0.000890889898637741,0.000890889898637741,0.00000000453954043676816,0.369576070284784,0.0543510454946866,0.135277651504924,0.135277651504924,0.00000142454726332252,1
"2564","PstI.TP1167044",1,67636497,0.0030776642146617,0.012299508130569,0.012299508130569,0.00000000277753920804663,0.481649151098992,0.127370121764577,0.437305073316231,0.437305073316231,0.000000973163446019289,1
"3350","NsiI.TP641784",1,75379851,0.0000881833785960655,0.000147183733313314,0.000147183733313314,0.000000000779556910920936,1,0.0165748008686188,0.0478519510613592,0.0478519510613592,0.000000334912497634699,1
"3394","NsiI.TP560502",1,75823863,0.00392220033284176,0.0568160142570119,0.0568160142570119,0.000000000288061641246251,0.777263184523645,0.143992233582496,0.749429323325744,0.749429323325744,0.000000148508121561353,1
"3616","NsiI.TP193091",1,77956626,0.000355533133113877,0.00236944808405368,0.00236944808405368,0.000000000977289122765226,0.148990479582816,0.0391173161823585,0.222678756399295,0.222678756399295,0.000000400777384799449,1
"3790","NsiI.TP743891",1,79380852,0.000100866860341641,0.000954654894846895,0.000954654894846895,0.00000000787934499734624,1,0.0176573772726492,0.138359782510983,0.138359782510983,0.00000225674446241453,1
"4395","PstI.TP852620",10,6797132,0.000537401608096754,0.000404552716340689,0.000404552716340689,0.0000000000104386854959821,1,0.0501130471136839,0.0876176430355511,0.0876176430355511,0.00000000753422564358004,1
"4488","NsiI.TP492189",10,8261222,0.00404682636714154,0.00915346836940769,0.00915346836940769,0.00000000665352590966449,0.143570079909338,0.145750369199006,0.40040044426083,0.40040044426083,0.00000195213368315424,1
"4891","NsiI.TP787086",10,43096249,0.021660150635175,0.0881161509648631,0.0881161509648631,0.00000000491025034207695,0.216999147062918,0.351787360991087,0.846854804898774,0.846854804898774,0.00000151453943884507,1
