"","SNP","Chromosome","Position","GLM.Surv","MLM.Surv","CMLM.Surv","SUPER.Surv","rrBLUP.Surv","Adj.P.GLM.Surv","Adj.P.MLM.Surv","Adj.P.CMLM.Surv","Adj.P.SUPER.Surv","Adj.P.rrBLUP.Surv"
"2239","PstI.TP320731",1,62857281,0.000169962837328983,0.00118581725812079,0.00110685020823019,0.0000101518873129054,0.886082139979179,0.102860398696181,0.992722951117866,0.998697290885888,0.0365772082847852,1
"2702","PstI.TP287439",1,69014177,0.0553153361722036,0.225521252954801,0.263401032388457,0.00000572082173956444,1,0.427665243416178,0.992722951117866,0.998697290885888,0.0338480575124673,1
"3161","PstI.TP135889",1,73564522,0.000486035677301752,0.0044052349649631,0.00398967812673258,0.0000195167651051635,1,0.111346099691928,0.992722951117866,0.998697290885888,0.0370695273218495,1
"3860","PstI.TP95174",1,79947590,0.00115278041552036,0.163643426623778,0.177080000122778,0.0000193647775692366,0.0482340918787039,0.138326802654794,0.992722951117866,0.998697290885888,0.0370695273218495,1
"3986","PstI.TP1117123",10,1206568,0.00577500558508801,0.0453476479920669,0.0565788630061469,0.000000983660844206437,1,0.20550189318613,0.992722951117866,0.998697290885888,0.028992077497096,1
"6274","PstI.TP71096",11,594,0.000225253527300907,0.00191811918090246,0.00352137981539704,0.0000187276123972573,1,0.102860398696181,0.992722951117866,0.998697290885888,0.0370695273218495,1
"9561","PstI.TP683207",11,4724,0.026737571733627,0.0936674418609434,0.112179928871265,0.00000751680011720682,0.497346836988994,0.335515238195154,0.992722951117866,0.998697290885888,0.0338480575124673,1
"13090","NsiI.TP4937",11,9182,0.000495633447609783,0.106588839968329,0.0895173920324532,0.00000291047949432672,0.2744029856884,0.111346099691928,0.992722951117866,0.998697290885888,0.028992077497096,1
"13615","NsiI.TP69591",11,9952,0.00427668904402935,0.024370144208739,0.0219757138549608,0.0000148920209011856,0.848069311959054,0.189028859931566,0.992722951117866,0.998697290885888,0.0370695273218495,1
"15391","NsiI.TP304395",11,12453,0.0000907607261473535,0.00999870644215734,0.00907993927859953,0.0000183869380527723,1,0.101148866798542,0.992722951117866,0.998697290885888,0.0370695273218495,1
"16952","NsiI.TP458363",11,14584,0.0104803617250937,0.0899704518013063,0.110425539777008,0.0000148252202102686,1,0.250940694606289,0.992722951117866,0.998697290885888,0.0370695273218495,1
"17155","NsiI.TP476427",11,14869,0.0943323768735344,0.152728076794626,0.18008648688528,0.00000669187641628228,1,0.508869153646984,0.992722951117866,0.998697290885888,0.0338480575124673,1
"20955","PstI.TP1096193",2,16420113,0.0000328237559168572,0.00270918615221142,0.00271124504414014,0.00000844137989393167,0.472427829008934,0.0658079835293079,0.992722951117866,0.998697290885888,0.0338480575124673,1
"21629","PstI.TP1239894",2,61692152,0.000390838854613894,0.00153235565557572,0.00188121927680106,0.00000321348675427799,0.803842752094624,0.102860398696181,0.992722951117866,0.998697290885888,0.028992077497096,1
"23561","NsiI.TP2769",3,4785844,0.000325338699611963,0.0181629471045882,0.0188169175266572,0.00000404775234142982,0.0239755515624752,0.102860398696181,0.992722951117866,0.998697290885888,0.0292150572995039,1
"25347","NsiI.TP661125",3,64767791,0.0000108546347514072,0.00200906780789442,0.00157212489795774,0.0000111491158039414,0.693788958080651,0.0481567128897669,0.992722951117866,0.998697290885888,0.0365772082847852,1
"26936","PstI.TP181058",4,7967268,0.00023815443206905,0.000420007052301544,0.00125434289370382,0.0000171910986790763,1,0.102860398696181,0.992722951117866,0.998697290885888,0.0370695273218495,1
"31116","NsiI.TP646964",6,53312727,0.000180744077763567,0.00213451816967518,0.0023607240090974,0.0000128837175605819,1,0.102860398696181,0.992722951117866,0.998697290885888,0.0370695273218495,1
"33956","PstI.TP861191",8,47530500,0.0509384393273023,0.0467579496214197,0.0624114286454709,0.00000235558667535253,0.895269881910695,0.416147646167558,0.992722951117866,0.998697290885888,0.028992077497096,1
