"","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1","Surv","mrMLM","NsiI.TP540039",2,69176258,0.0000000675413909082066
"2","Surv","mrMLM","NsiI.TP694083",2,14769883,0.00000138971261562292
"3","Surv","mrMLM","NsiI.TP807676",3,11959108,0.0000181874159785726
"4","Surv","mrMLM","NsiI.TP570570",3,71299631,0.0000601278949969069
"5","Surv","mrMLM","PstI.TP998558",4,57766875,0.0000189778058793521
"6","Surv","mrMLM","PstI.TP1266802",4,65367682,0.00000035397044350834
"7","Surv","mrMLM","NsiI.TP203685",8,62171235,0.00000616863395363023
"8","Surv","mrMLM","NsiI.TP697295",9,4358529,0.0000748479655089876
"9","Surv","mrMLM","NsiI.TP438615",11,14236,0.00000000390579999027051
"10","Surv","FASTmrMLM","PstI.TP375640",1,77251518,0.0000552204574445359
"11","Surv","FASTmrMLM","NsiI.TP540039",2,69176258,0.000000202628252958444
"12","Surv","FASTmrMLM","PstI.TP998558",4,57766875,0.000030095391688732
"13","Surv","FASTmrMLM","PstI.TP1266802",4,65367682,0.000000000257454211192646
"14","Surv","FASTmrMLM","PstI.TP754277",5,1988689,0.00000376183722791328
"15","Surv","FASTmrMLM","PstI.TP167920",7,12624717,0.0000000214141085587858
"16","Surv","FASTmrMLM","PstI.TP1063463",11,7409,0.00000280478773734921
"17","Surv","FASTmrMLM","NsiI.TP215660",11,11533,0.0000874580923075201
"18","Surv","FASTmrMLM","NsiI.TP494092",11,15132,0.0000744903474524108
"19","Surv","pLARmEB","NsiI.TP697295",9,4358529,0.0000242940544202042
"20","Surv","pLARmEB","PstI.TP1140456",9,56897529,0.0000718952171866639
"21","Surv","pLARmEB","PstI.TP399247",11,3112,0.0000114051237000724
"22","Surv","pLARmEB","NsiI.TP215660",11,11533,0.00000471519871336448
"23","Surv","pLARmEB","NsiI.TP697010",11,17706,0.00000935190313826658
"24","Surv","pKWmEB","PstI.TP167920",7,12624717,0.00000197924702123758
"25","Surv","pKWmEB","NsiI.TP389999",11,13438,0.00000965161522875097
"26","Surv","pKWmEB","PstI.TP399247",11,3112,0.000063241185137622
"27","Surv","pKWmEB","NsiI.TP697010",11,17706,0.0000266563081346512
"28","Surv","ISIS EM-BLASSO","PstI.TP943825",1,64161087,0.0000164361463639055
"29","Surv","ISIS EM-BLASSO","PstI.TP167920",7,12624717,0.0000805378441199066
"30","Surv","ISIS EM-BLASSO","PstI.TP399247",11,3112,0.000016421015082946
"31","Surv","ISIS EM-BLASSO","NsiI.TP389999",11,13438,0.000138995263121335
"32","Surv","ISIS EM-BLASSO","NsiI.TP438615",11,14236,0.000000649531174438762
"33","Surv","ISIS EM-BLASSO","NsiI.TP697010",11,17706,0.00000752835343844754
