"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"Cml_cm","mrMLM","PstI.TP795530",1,74447495,0.00000767191884255829
"2",2,"Cml_cm","mrMLM","PstI.TP757921",1,26848011,0.00000184231123255734
"3",3,"Cml_cm","mrMLM","PstI.TP838943",3,4037471,0.0000161138011502325
"4",4,"Cml_cm","mrMLM","PstI.TP840679",6,49388605,0.00000000199941524885463
"5",5,"Cml_cm","mrMLM","NsiI.TP488730",6,50310213,0.000000916885279010673
"6",6,"Cml_cm","mrMLM","PstI.TP14229",9,57790410,0.0000000374727874745193
"7",7,"Cml_cm","mrMLM","NsiI.TP249634",9,5342948,0.0000124274206838374
"8",8,"Cml_cm","FASTmrMLM","PstI.TP838943",3,4037471,0.00000530884444230988
"9",9,"Cml_cm","FASTmrMLM","NsiI.TP696486",4,10248885,0.0000032968561635689
"10",10,"Cml_cm","FASTmrMLM","NsiI.TP390224",4,58488769,0.00000000156602972068605
"11",11,"Cml_cm","FASTmrMLM","PstI.TP840679",6,49388605,0.00000000609396562340121
"12",12,"Cml_cm","FASTmrMLM","PstI.TP14229",9,57790410,0.0000408131391596972
"13",13,"Cml_cm","FASTmrMLM","NsiI.TP66555",11,9920,0.00000112590046889494
"14",14,"Cml_cm","pLARmEB","PstI.TP838943",3,4037471,0.0000000484730112624366
"15",15,"Cml_cm","pLARmEB","NsiI.TP696486",4,10248885,0.0000430824110479373
"16",16,"Cml_cm","pLARmEB","NsiI.TP33138",5,57403,0.00000989464005130076
"17",17,"Cml_cm","pLARmEB","PstI.TP840679",6,49388605,0.000000000732487132665041
"18",18,"Cml_cm","pLARmEB","PstI.TP14229",9,57790410,0.00000000882063802136671
"19",19,"Cml_cm","pLARmEB","PstI.TP360337",10,14458765,0.0000000659781296513957
"20",20,"Cml_cm","pLARmEB","PstI.TP327439",11,2596,0.00000000745418213378992
"21",21,"Cml_cm","pLARmEB","NsiI.TP66555",11,9920,0.0000125112297692159
"22",22,"Cml_cm","ISIS EM-BLASSO","PstI.TP838943",3,4037471,0.000000546260754212695
"23",23,"Cml_cm","ISIS EM-BLASSO","PstI.TP773172",3,55061314,0.0000142396724664624
"24",24,"Cml_cm","ISIS EM-BLASSO","NsiI.TP33138",5,57403,0.0000119316361150367
"25",25,"Cml_cm","ISIS EM-BLASSO","PstI.TP840679",6,49388605,0.00000171790838715759
"26",26,"Cml_cm","ISIS EM-BLASSO","NsiI.TP199379",8,2813196,0.0000523600436585751
"27",27,"Cml_cm","ISIS EM-BLASSO","PstI.TP14229",9,57790410,0.0000000210620189899125
"28",28,"Cml_cm","FarmCPU","NsiI.TP520698",1,3113038,0.000000332707232980599
"29",29,"Cml_cm","FarmCPU","NsiI.TP810561",2,61303139,0.000000000218452869351783
"30",30,"Cml_cm","FarmCPU","NsiI.TP127922",4,54754163,0.000000280974563456747
"31",31,"Cml_cm","FarmCPU","NsiI.TP635575",5,38567770,0.000000472682281567543
"32",32,"Cml_cm","FarmCPU","PstI.TP795667",8,528900,0.00000115021886333573
