"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"Yld_kg","mrMLM","NsiI.TP443042",1,1033284,0.0000790249081982178
"2",2,"Yld_kg","mrMLM","PstI.TP1204709",2,61698217,0.000000458792172764069
"3",3,"Yld_kg","mrMLM","PstI.TP1210763",2,59225263,0.000158216218390841
"4",4,"Yld_kg","mrMLM","PstI.TP773172",3,55061314,0.00000119717875142926
"5",5,"Yld_kg","mrMLM","PstI.TP942675",3,64754613,0.000102873851567536
"6",6,"Yld_kg","mrMLM","PstI.TP745785",6,45615805,0.00000462785773674903
"7",7,"Yld_kg","mrMLM","PstI.TP723544",9,1942972,0.0000000995634644308791
"8",8,"Yld_kg","FASTmrMLM","NsiI.TP506284",1,75748041,0.0000128410341217163
"9",9,"Yld_kg","FASTmrMLM","PstI.TP1204709",2,61698217,0.000000000899911910870052
"10",10,"Yld_kg","FASTmrMLM","PstI.TP942675",3,64754613,0.000103633460443104
"11",11,"Yld_kg","FASTmrMLM","PstI.TP840657",4,3859798,0.00000369317596047987
"12",12,"Yld_kg","FASTmrMLM","NsiI.TP566474",4,51081160,0.0000626613864672335
"13",13,"Yld_kg","FASTmrMLM","PstI.TP723544",9,1942972,0.000000167764474183665
"14",14,"Yld_kg","FASTmrMLM","PstI.TP492299",11,3739,0.00000338064836205982
"15",15,"Yld_kg","FASTmrMLM","PstI.TP834967",11,5782,0.00000126706822499855
"16",16,"Yld_kg","FASTmrMLM","NsiI.TP156483",11,10853,0.0000286681719052489
"17",17,"Yld_kg","pLARmEB","NsiI.TP506284",1,75748041,0.0000131371149496006
"18",18,"Yld_kg","pLARmEB","GFSSContig19553_1853",3,10802480,0.000000000125776643245126
"19",19,"Yld_kg","pLARmEB","PstI.TP1145813",5,69264081,0.000177541547095864
"20",20,"Yld_kg","pLARmEB","NsiI.TP762935",6,3182336,0.0000219230008148053
"21",21,"Yld_kg","pLARmEB","PstI.TP434866",6,3914949,0.00000000196516943149691
"22",22,"Yld_kg","pLARmEB","PstI.TP834967",11,5782,0.00000000483503920591621
"23",23,"Yld_kg","ISIS EM-BLASSO","PstI.TP1145813",5,69264081,0.0000685961908529314
"24",24,"Yld_kg","ISIS EM-BLASSO","NsiI.TP631452",10,52286358,0.00000215923544111087
"25",25,"Yld_kg","ISIS EM-BLASSO","NsiI.TP247987",11,11923,0.00000176481830623215
"26",26,"Yld_kg","FarmCPU","PstI.TP753385",8,58262070,0.000000766329172918948
"27",27,"Yld_kg","FarmCPU","NsiI.TP728788",11,18071,0.0000000468825407110963
