"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","filename"
"578","PstI.TP850835",1,6117705,8.98737954680824e-05,0.116935483870968,124,0.477538259734697,0.552474540900939,0.0392378187179306,-0.381468916478912,"GAPIT.GLM.CmN..GWAS.Results.csv"
"678","PstI.TP485051",1,7260226,0.000176025250110368,0.169354838709677,124,0.477538259734697,0.545892883412544,0.0474957451909016,-0.289098642125077,"GAPIT.GLM.CmN..GWAS.Results.csv"
"757","NsiI.TP681203",1,8181678,0.000165941341846269,0.0512504365679727,124,0.477538259734697,0.546466341412762,0.0474957451909016,-0.435418895186309,"GAPIT.GLM.CmN..GWAS.Results.csv"
"767","PstI.TP1246915",1,8333935,0.000172062766487926,0.0337454380637586,124,0.477538259734697,0.546114111846842,0.0474957451909016,1.18328085100281,"GAPIT.GLM.CmN..GWAS.Results.csv"
"1111","NsiI.TP750615",1,12653027,5.88370380589147e-05,0.0653512331387053,124,0.477538259734697,0.556674795420068,0.0379162683833949,1.16537321484396,"GAPIT.GLM.CmN..GWAS.Results.csv"
"1864","NsiI.TP369163",1,55813566,0.000174402123826877,0.0463669820931513,124,0.477538259734697,0.545982881130615,0.0474957451909016,-0.722683092054734,"GAPIT.GLM.CmN..GWAS.Results.csv"
"2405","NsiI.TP407852",1,65928155,5.71634671144562e-05,0.0485933943456861,124,0.477538259734697,0.556962361669761,0.0379162683833949,0.52326961964892,"GAPIT.GLM.CmN..GWAS.Results.csv"
"2513","PstI.TP111833",1,67205643,0.000170284749119927,0.0581967563946463,124,0.477538259734697,0.546215080705579,0.0474957451909016,0.625120947146393,"GAPIT.GLM.CmN..GWAS.Results.csv"
"2556","NsiI.TP172212",1,67605060,9.42910244629836e-05,0.31740295586425,124,0.477538259734697,0.552001373903012,0.0392378187179306,0.369028213717479,"GAPIT.GLM.CmN..GWAS.Results.csv"
"2939","NsiI.TP432172",1,71698309,6.45576865596961e-05,0.0161290322580645,124,0.477538259734697,0.555751389832515,0.0379907843335748,1.07938753510584,"GAPIT.GLM.CmN..GWAS.Results.csv"
"2986","PstI.TP1212724",1,72123046,2.77973589483517e-05,0.0706874160521,124,0.477538259734697,0.564206977523404,0.0352085227530553,0.47305816564091,"GAPIT.GLM.CmN..GWAS.Results.csv"
