SNP,Chromosome,Position,P.value,effect,SNP,maf,nobs
NsiI.TP620354,1,2563,0.572823678764113,0.00401807545343136,NsiI.TP620354,0.0304805507849011,153
PstI.TP453248,1,3988,0.777180299144395,-0.00142891370931136,PstI.TP453248,0.0785848841689776,153
GFSSContig17137_1860,1,35412,0.0557804483403114,0.0120225647241176,GFSSContig17137_1860,0.0478522853065718,153
GFSSContig17137_940,1,36536,0.176432425673192,0.0080502025497334,GFSSContig17137_940,0.0522875816993464,153
PstI.TP1112203,1,63590,0.380222084919904,-0.00223847939654466,PstI.TP1112203,0.446396646729394,153
PstI.TP506588,1,80675,0.186597797396523,-0.00368898164382564,PstI.TP506588,0.454910063113128,153
PstI.TP989644,1,80828,0.601978931422051,0.00273517959695357,PstI.TP989644,0.0973380051171611,153
PstI.TP312105,1,81356,0.9375475338914,-0.000219211298611615,PstI.TP312105,0.344025241160789,153
NsiI.TP481742,1,154583,0.0997459131560627,-0.0108807680926597,NsiI.TP481742,0.0425412598924102,153
PstI.TP863331,1,161269,0.241333159672449,-0.00361036752575667,PstI.TP863331,0.280106166671024,153
NsiI.TP71772,1,180079,0.108466136327075,0.0115273898623496,NsiI.TP71772,0.0361144124594949,153
NsiI.TP611047,1,185165,0.491110111277748,0.00233130144189838,NsiI.TP611047,0.343332056460988,153
NsiI.TP611046,1,185173,0.38107897372369,-0.00231872638658285,NsiI.TP611046,0.362920876357722,153
PstI.TP1169914,1,194807,0.423784517132573,-0.00237013198411474,PstI.TP1169914,0.440283120419251,153
NsiI.TP96063,1,195779,0.796044262045462,0.000711190652877434,NsiI.TP96063,0.337966385540691,153
NsiI.TP521153,1,258294,0.325888360163904,-0.00289229864722122,NsiI.TP521153,0.284843040657433,153
PstI.TP271714,1,262844,0.87341979406673,0.000482946911091423,PstI.TP271714,0.248082731921141,153
PstI.TP424788,1,263370,0.818764097592229,0.00063011976529918,PstI.TP424788,0.386389475836977,153
PstI.TP811380,1,281841,0.870180512449663,-0.000477304850725065,PstI.TP811380,0.303650351264135,153
PstI.TP931820,1,284314,0.00496525337030264,-0.0100548880873651,PstI.TP931820,0.152767050332588,153
NsiI.TP426085,1,284999,0.393450489871399,0.00246336675957247,NsiI.TP426085,0.410201429481734,153
NsiI.TP148773,1,285352,0.0235769436643639,0.00700257146912016,NsiI.TP148773,0.238064637855741,153
NsiI.TP148774,1,285397,0.0390356519671636,0.00610977324033408,NsiI.TP148774,0.360032562455551,153
PstI.TP301730,1,298129,0.551828011201378,-0.00172024405769371,PstI.TP301730,0.486648129442089,153
PstI.TP710662,1,335281,0.856336124754347,0.00107143400549534,PstI.TP710662,0.0656597038638697,153
NsiI.TP579900,1,335878,0.981410146110489,-0.000156801975560873,NsiI.TP579900,0.044794646003241,153
NsiI.TP443857,1,339059,0.951529917948218,-0.00041331455003334,NsiI.TP443857,0.0437454705185966,153
PstI.TP1043924,1,365760,0.579756819326279,0.00223168161451862,PstI.TP1043924,0.138040020043324,153
PstI.TP1043926,1,365816,0.698942538550656,-0.00144587370716615,PstI.TP1043926,0.209482748683138,153
NsiI.TP414280,1,378096,0.170508688434686,0.00401028871275726,NsiI.TP414280,0.181811266096579,153
NsiI.TP807695,1,389941,0.852194616852681,0.000714943107169221,NsiI.TP807695,0.159489371126316,153
NsiI.TP687955,1,398596,0.736698283579824,-0.000881757724886072,NsiI.TP687955,0.468016230572526,153
PstI.TP948856,1,403321,0.906598807145389,-0.000292383871947132,PstI.TP948856,0.472040932337234,153
PstI.TP1037554,1,403777,0.668250616322598,-0.00273581942179872,PstI.TP1037554,0.0481028851983876,153
NsiI.TP122940,1,430012,0.0900586542013774,-0.00646325422072385,NsiI.TP122940,0.165447762850875,153
NsiI.TP703893,1,450123,0.722748741703687,-0.00105058217852187,NsiI.TP703893,0.221632673786887,153
PstI.TP1026667,1,480929,0.724750894850903,0.000919220111650259,PstI.TP1026667,0.488118154745073,153
NsiI.TP413787,1,481003,0.487195767744801,0.00281135057074237,NsiI.TP413787,0.171079957303948,153
NsiI.TP591161,1,512907,0.665909883205356,0.00129472526491401,NsiI.TP591161,0.436085134828264,153
NsiI.TP260303,1,526218,0.852219486389907,-0.000662869978440069,NsiI.TP260303,0.233282963453804,153
NsiI.TP160827,1,542721,0.0762253447370868,0.00780925061126818,NsiI.TP160827,0.128353350744706,153
PstI.TP425356,1,569039,0.85314070027111,-0.00103582225527958,PstI.TP425356,0.0615379390408124,153
PstI.TP999740,1,569491,0.793897602927565,-0.000743008974614722,PstI.TP999740,0.386415229904582,153
PstI.TP184304,1,572620,0.449248360408998,-0.00321948151210518,PstI.TP184304,0.126964348061209,153
PstI.TP1132231,1,588023,0.460900694082505,-0.00221695939731433,PstI.TP1132231,0.270307284798353,153
PstI.TP536170,1,662254,0.617096632493009,-0.0015810508157377,PstI.TP536170,0.237345992662631,153
PstI.TP854736,1,683267,0.693894898164308,-0.00231823310470356,PstI.TP854736,0.0533643308308753,153
NsiI.TP35313,1,692280,0.998067322113235,8.39595682314287e-06,NsiI.TP35313,0.268279749803546,153
PstI.TP83381,1,713539,0.81068390633604,-0.000634461619229513,PstI.TP83381,0.296567639919011,153
PstI.TP94792,1,731905,0.377205694452045,-0.00239938559448474,PstI.TP94792,0.309672721776601,153
PstI.TP968891,1,748410,0.135183419437474,-0.00496869572715858,PstI.TP968891,0.240916045513981,153
NsiI.TP802651,1,754114,0.83699957382462,0.000888214994330052,NsiI.TP802651,0.13155442613899,153
PstI.TP1039014,1,759496,0.970202907530445,-0.000106257344690532,PstI.TP1039014,0.367928532662187,153
PstI.TP1248576,1,760805,0.704430451298845,-0.00117710084111917,PstI.TP1248576,0.302734045588585,153
NsiI.TP241552,1,773227,0.400653936167543,0.00338462133824862,NsiI.TP241552,0.129563762987373,153
NsiI.TP241535,1,773253,0.773748331007328,-0.000838227905284959,NsiI.TP241535,0.400059129089946,153
NsiI.TP282375,1,773642,0.038991613909099,-0.00592664657627725,NsiI.TP282375,0.396076492369137,153
NsiI.TP559422,1,781613,0.96299088675312,-0.000141107574435282,NsiI.TP559422,0.372687973889866,153
PstI.TP579974,1,783866,0.851572237824173,0.000525955992458874,PstI.TP579974,0.408154135092663,153
PstI.TP1090052,1,815564,0.799142187269975,-0.000920769988786953,PstI.TP1090052,0.238187395774176,153
PstI.TP1216290,1,817784,0.13980993645622,0.0039465486423397,PstI.TP1216290,0.328654684119447,153
NsiI.TP199750,1,819727,0.528512833119292,0.00234566709413976,NsiI.TP199750,0.17360787452543,153
NsiI.TP619705,1,820317,0.138557050670554,-0.00728619134493304,NsiI.TP619705,0.0882109807785351,153
PstI.TP537601,1,822113,0.409305526357065,-0.00422068238044869,PstI.TP537601,0.118015374647297,153
