"Name","Chromosome","Position"
"NsiI.TP620354",1,2563
"PstI.TP453248",1,3988
"GFSSContig17137_1860",1,35412
"GFSSContig17137_940",1,36536
"PstI.TP1112203",1,63590
"PstI.TP506588",1,80675
"PstI.TP989644",1,80828
"PstI.TP312105",1,81356
"NsiI.TP481742",1,154583
"PstI.TP863331",1,161269
"NsiI.TP71772",1,180079
"NsiI.TP611047",1,185165
"NsiI.TP611046",1,185173
"PstI.TP1169914",1,194807
"NsiI.TP96063",1,195779
"NsiI.TP521153",1,258294
"PstI.TP271714",1,262844
"PstI.TP424788",1,263370
"PstI.TP811380",1,281841
"PstI.TP931820",1,284314
"NsiI.TP426085",1,284999
"NsiI.TP148773",1,285352
"NsiI.TP148774",1,285397
"PstI.TP301730",1,298129
"PstI.TP710662",1,335281
"NsiI.TP579900",1,335878
"PstI.TP1043924",1,365760
"PstI.TP1043926",1,365816
"NsiI.TP414280",1,378096
"NsiI.TP807695",1,389941
"NsiI.TP687955",1,398596
"PstI.TP948856",1,403321
"PstI.TP1037554",1,403777
"PstI.TP1106845",1,416796
"NsiI.TP122940",1,430012
"NsiI.TP703893",1,450123
"PstI.TP1026667",1,480929
"NsiI.TP413787",1,481003
"NsiI.TP591161",1,512907
"NsiI.TP260303",1,526218
"NsiI.TP160827",1,542721
"PstI.TP425356",1,569039
"PstI.TP999740",1,569491
"PstI.TP184304",1,572620
"PstI.TP1132231",1,588023
"PstI.TP536170",1,662254
"PstI.TP854736",1,683267
"PstI.TP83381",1,713539
"PstI.TP94792",1,731905
"PstI.TP968891",1,748410
"NsiI.TP802651",1,754114
"PstI.TP1039014",1,759496
"PstI.TP1248576",1,760805
"NsiI.TP241552",1,773227
"NsiI.TP241535",1,773253
"NsiI.TP282375",1,773642
"NsiI.TP559422",1,781613
"PstI.TP579974",1,783866
"PstI.TP1090052",1,815564
"PstI.TP1216290",1,817784
"NsiI.TP199750",1,819727
"NsiI.TP619705",1,820317
"PstI.TP537601",1,822113
"NsiI.TP585976",1,829048
"NsiI.TP358960",1,864806
"PstI.TP1152021",1,865447
"PstI.TP139718",1,866121
"NsiI.TP603024",1,882892
"PstI.TP2218",1,905152
"NsiI.TP410050",1,907438
"NsiI.TP410051",1,907440
"PstI.TP716618",1,918921
"PstI.TP34534",1,923689
"PstI.TP724910",1,925871
"PstI.TP383349",1,950724
"NsiI.TP809841",1,955990
"PstI.TP39577",1,959521
"PstI.TP1246584",1,1015480
"NsiI.TP443042",1,1033284
"PstI.TP354591",1,1050082
"PstI.TP1060928",1,1054924
"PstI.TP968458",1,1145895
"PstI.TP856852",1,1153760
"PstI.TP1010387",1,1174408
"NsiI.TP379925",1,1174994
"PstI.TP775725",1,1175417
"PstI.TP885953",1,1195721
"PstI.TP530416",1,1196937
"NsiI.TP809990",1,1199529
"NsiI.TP621329",1,1209175
"PstI.TP136460",1,1229717
"NsiI.TP226174",1,1247110
"NsiI.TP622",1,1250740
"PstI.TP952646",1,1257515
"NsiI.TP429501",1,1266624
"PstI.TP112674",1,1270544
"NsiI.TP321202",1,1270981
"NsiI.TP321203",1,1270985
"PstI.TP761288",1,1274696
"NsiI.TP83302",1,1275020
"PstI.TP250182",1,1293920
"NsiI.TP139486",1,1336169
"PstI.TP219964",1,1343660
"NsiI.TP280619",1,1353156
"NsiI.TP476134",1,1354429
"PstI.TP919568",1,1369588
"PstI.TP646654",1,1399111
"NsiI.TP279368",1,1408065
"NsiI.TP408020",1,1421422
"NsiI.TP72077",1,1422420
"GFSSContig11377_769",1,1481480
"NsiI.TP707218",1,1504041
"NsiI.TP229070",1,1511230
"PstI.TP13650",1,1521127
"PstI.TP329515",1,1537490
"PstI.TP1121399",1,1542224
"NsiI.TP735901",1,1547162
"PstI.TP312988",1,1615878
"PstI.TP115729",1,1627848
"NsiI.TP287495",1,1629591
"NsiI.TP830386",1,1644699
"PstI.TP1031399",1,1661159
"PstI.TP1294494",1,1663938
"PstI.TP394777",1,1676644
"PstI.TP455158",1,1676669
"NsiI.TP796534",1,1682668
"NsiI.TP709976",1,1682685
"NsiI.TP595268",1,1683111
"PstI.TP340129",1,1696284
"PstI.TP879262",1,1711195
"PstI.TP396517",1,1727743
"PstI.TP362194",1,1738428
"NsiI.TP257038",1,1777966
"NsiI.TP331446",1,1795203
"PstI.TP404971",1,1802717
"PstI.TP752031",1,1812794
"PstI.TP1164925",1,1823087
"PstI.TP267190",1,1826471
"PstI.TP358550",1,1827875
"PstI.TP162847",1,1850794
"PstI.TP973765",1,1850824
"PstI.TP662746",1,1875120
"NsiI.TP198999",1,1902613
"PstI.TP569202",1,1913143
"PstI.TP193367",1,1929457
"PstI.TP1004354",1,1929463
