"Name","Chromosome","Position"
"GFSSContig17137_940",1,36536
"GFSSContig11377_769",1,1481480
"GFSSContig18743_720",1,2267526
"GFSSContig18013_689",1,3623605
"GFSSContig1730_934",1,3627877
"GFSSContig12925_418",1,4422459
"GFSSContig15281_3466",1,4622395
"GFSSContig20018_283",1,5572945
"GFSSContig3389_148",1,7132238
"GFSSContig3389_68",1,7132320
"GFSSContig11950_1194",1,7790962
"GFSSContig64_325",1,8871969
"SSk40ctg20422_195",1,9699984
"GFSSContig8870_238",1,12002926
"GFSSContig14714_678",1,12449005
"GFSSContig14643_563",1,14059551
"SSk50ctg225336_353",1,14558654
"GFSSContig17245_347",1,15924838
"GFSSContig17245_481",1,15924972
"GFSSContig19978_2050",1,16994300
"GFSSContig10419_989",1,17026623
"GFSSContig18974_238",1,17068192
"GFSSContig4787_601",1,20799071
"GFSSContig19471_685",1,20815453
"GFSSContig17336_1550",1,23965526
"GFSSContig14236_783",1,25490866
"GFSSContig7729_683",1,26554524
"GFSSContig19568_1644",1,53884459
"GFSSContig10130_795",1,56767016
"GFSSContig14911_734",1,56797111
"SSk35ctg124514_137",1,57192302
"GFSSContig240_200",1,58341822
"GFSSContig14239_269",1,60082687
"GFSSContig1526_230",1,65227354
"GFSSContig20558_126",1,66631596
"GFSSContig20558_410",1,66632040
"GFSSContig18772_497",1,67104443
"GFSSContig5332_531",1,67375972
"GFSSContig19996_653",1,69555622
"GFSSContig20175_2257",1,70174294
"GFSSContig10391_197",1,70404542
"GFSSContig11916_535",1,70719937
"GFSSContig12526_606",1,71182923
"GFSSContig18694_969",1,71184431
"GFSSContig17622_639",1,71469331
"GFSSContig18963_787",1,71755080
"GFSSContig15477",1,72122767
"GFSSContig19961_188",1,72220849
"GFSSContig8113_253",1,73087203
"GFSSContig11701_739",1,73953149
"GFSSContig15931_175",1,74820300
"GFSSContig19736_4089",1,76098390
"GFk45ctg313733_129",1,76275239
"GFSSContig18881_588",1,77133165
"GFSSContig17989_352",1,77311515
"GFSSContig4708_491",1,77516952
"GFSSContig11183_265",1,78604057
"GFSSContig17152_572",1,79190136
"GFSSContig14485_1273",1,79597601
"GFSSContig17456_751",2,2367836
"GFSSContig11785_150",2,2791621
"GFSSContig6268_272",2,3959119
"GFSSContig20611_1874",2,4006695
"GFSSContig14840_1377",2,6698083
"GFSSContig17916_723",2,8702027
"GFSSContig19229_860",2,11550006
"GFSSContig11545_976",2,12244116
"GFSSContig10720_700",2,17049151
"GFSSContig3212_326",2,17269304
"GFSSContig623_207",2,18538897
"GFSSContig16734_2201",2,37100980
"GFSSContig17648_463",2,49751578
"GFSSContig17648_1410",2,49754931
"GFSSContig11918_395",2,58999886
"GFSSContig19789_133",2,59043918
