"","Name","Chromosome","Position"
"1","NsiI.TP620354",1,2563
"2","PstI.TP453248",1,3988
"3","GFSSContig17137_1860",1,35412
"4","GFSSContig17137_940",1,36536
"5","PstI.TP1112203",1,63590
"6","PstI.TP506588",1,80675
"7","PstI.TP989644",1,80828
"8","PstI.TP312105",1,81356
"9","NsiI.TP481742",1,154583
"10","PstI.TP863331",1,161269
"11","NsiI.TP71772",1,180079
"12","NsiI.TP611047",1,185165
"13","NsiI.TP611046",1,185173
"14","PstI.TP1169914",1,194807
"15","NsiI.TP96063",1,195779
"16","PstI.TP1189410",1,250990
"17","NsiI.TP521153",1,258294
"18","PstI.TP271714",1,262844
"19","PstI.TP424788",1,263370
"20","PstI.TP811380",1,281841
"21","PstI.TP908415",1,283364
"22","PstI.TP931820",1,284314
"23","NsiI.TP426085",1,284999
"24","NsiI.TP148773",1,285352
"25","NsiI.TP148774",1,285397
"26","PstI.TP301730",1,298129
"27","PstI.TP710662",1,335281
"28","NsiI.TP579900",1,335878
"29","NsiI.TP443857",1,339059
"30","PstI.TP1043924",1,365760
"31","PstI.TP1043926",1,365816
"32","NsiI.TP414280",1,378096
"33","NsiI.TP807695",1,389941
"34","NsiI.TP701463",1,396123
"35","NsiI.TP687955",1,398596
"36","PstI.TP585790",1,399151
"37","NsiI.TP622255",1,399695
"38","PstI.TP948856",1,403321
"39","PstI.TP1037554",1,403777
"40","NsiI.TP724690",1,407783
"41","PstI.TP1106845",1,416796
"42","NsiI.TP122940",1,430012
"43","NsiI.TP755662",1,447763
"44","NsiI.TP703893",1,450123
"45","PstI.TP1026667",1,480929
"46","NsiI.TP413787",1,481003
"47","PstI.TP213420",1,508729
"48","NsiI.TP591161",1,512907
"49","NsiI.TP260303",1,526218
"50","NsiI.TP160827",1,542721
"51","PstI.TP747136",1,552332
"52","PstI.TP425356",1,569039
"53","PstI.TP999740",1,569491
"54","PstI.TP184304",1,572620
"55","PstI.TP1132231",1,588023
"56","NsiI.TP144536",1,588858
"57","NsiI.TP234576",1,605974
"58","PstI.TP536170",1,662254
"59","NsiI.TP281325",1,665836
"60","PstI.TP1181766",1,679657
"61","PstI.TP854736",1,683267
"62","NsiI.TP35313",1,692280
"63","PstI.TP83381",1,713539
"64","PstI.TP94792",1,731905
"65","NsiI.TP686081",1,747886
"66","PstI.TP968891",1,748410
"67","NsiI.TP802651",1,754114
"68","NsiI.TP513479",1,757107
"69","PstI.TP1039014",1,759496
"70","PstI.TP1248576",1,760805
"71","NsiI.TP241552",1,773227
"72","NsiI.TP241535",1,773253
"73","NsiI.TP282375",1,773642
"74","NsiI.TP559422",1,781613
"75","PstI.TP579974",1,783866
"76","PstI.TP1090052",1,815564
"77","PstI.TP1216290",1,817784
"78","NsiI.TP199750",1,819727
"79","NsiI.TP619705",1,820317
"80","PstI.TP537601",1,822113
"81","PstI.TP686078",1,827145
"82","NsiI.TP585976",1,829048
"83","NsiI.TP358960",1,864806
"84","PstI.TP1152021",1,865447
"85","PstI.TP139718",1,866121
"86","NsiI.TP603024",1,882892
"87","PstI.TP2218",1,905152
"88","NsiI.TP410050",1,907438
"89","NsiI.TP410051",1,907440
"90","PstI.TP716618",1,918921
"91","PstI.TP34534",1,923689
"92","PstI.TP724910",1,925871
"93","PstI.TP383349",1,950724
"94","NsiI.TP809841",1,955990
"95","PstI.TP39577",1,959521
"96","PstI.TP1246584",1,1015480
"97","NsiI.TP443042",1,1033284
"98","PstI.TP646979",1,1034275
"99","PstI.TP354591",1,1050082
"100","PstI.TP1060928",1,1054924
"101","NsiI.TP309907",1,1143439
"102","PstI.TP968458",1,1145895
"103","PstI.TP979329",1,1145899
"104","PstI.TP856852",1,1153760
"105","PstI.TP1010387",1,1174408
"106","NsiI.TP379925",1,1174994
"107","PstI.TP775725",1,1175417
"108","PstI.TP885953",1,1195721
"109","PstI.TP530416",1,1196937
"110","NsiI.TP809990",1,1199529
"111","NsiI.TP621329",1,1209175
"112","PstI.TP948314",1,1220728
"113","PstI.TP136460",1,1229717
"114","NsiI.TP61582",1,1231430
"115","NsiI.TP226174",1,1247110
"116","NsiI.TP624",1,1250700
"117","NsiI.TP622",1,1250740
"118","PstI.TP952646",1,1257515
"119","NsiI.TP429501",1,1266624
"120","PstI.TP112674",1,1270544
"121","NsiI.TP321202",1,1270981
"122","NsiI.TP321203",1,1270985
"123","PstI.TP761288",1,1274696
"124","NsiI.TP83302",1,1275020
"125","PstI.TP250182",1,1293920
"126","NsiI.TP554955",1,1318484
"127","PstI.TP52331",1,1328877
"128","NsiI.TP139486",1,1336169
"129","PstI.TP219964",1,1343660
"130","NsiI.TP280619",1,1353156
"131","NsiI.TP476134",1,1354429
"132","PstI.TP919568",1,1369588
"133","PstI.TP949573",1,1384375
"134","PstI.TP646654",1,1399111
"135","NsiI.TP279368",1,1408065
"136","NsiI.TP408020",1,1421422
"137","NsiI.TP72077",1,1422420
"138","GFSSContig11377_769",1,1481480
"139","PstI.TP486283",1,1495289
"140","NsiI.TP707218",1,1504041
"141","NsiI.TP229070",1,1511230
"142","PstI.TP13650",1,1521127
"143","PstI.TP329515",1,1537490
"144","PstI.TP1121399",1,1542224
"145","NsiI.TP735901",1,1547162
"146","PstI.TP312988",1,1615878
"147","PstI.TP115729",1,1627848
"148","NsiI.TP287494",1,1629589
"149","NsiI.TP287495",1,1629591
"150","NsiI.TP830386",1,1644699
"151","PstI.TP1031399",1,1661159
"152","PstI.TP1294494",1,1663938
"153","PstI.TP264228",1,1676596
"154","PstI.TP394777",1,1676644
"155","PstI.TP455158",1,1676669
"156","NsiI.TP796534",1,1682668
"157","NsiI.TP709976",1,1682685
"158","NsiI.TP595268",1,1683111
"159","PstI.TP340129",1,1696284
"160","PstI.TP879262",1,1711195
"161","PstI.TP197747",1,1718975
"162","PstI.TP396517",1,1727743
"163","PstI.TP362194",1,1738428
"164","NsiI.TP174341",1,1772856
"165","NsiI.TP257038",1,1777966
"166","NsiI.TP331446",1,1795203
"167","PstI.TP404971",1,1802717
