"Name","Chromosome","Position"
"PstI.TP506588",1,80675
"PstI.TP863331",1,161269
"NsiI.TP611047",1,185165
"PstI.TP271714",1,262844
"PstI.TP424788",1,263370
"PstI.TP931820",1,284314
"NsiI.TP148773",1,285352
"NsiI.TP579900",1,335878
"PstI.TP425356",1,569039
"PstI.TP999740",1,569491
"NsiI.TP802651",1,754114
"NsiI.TP585976",1,829048
"PstI.TP1152021",1,865447
"PstI.TP716618",1,918921
"PstI.TP1246584",1,1015480
"PstI.TP354591",1,1050082
"PstI.TP856852",1,1153760
"PstI.TP1010387",1,1174408
"PstI.TP775725",1,1175417
"NsiI.TP72077",1,1422420
"PstI.TP13650",1,1521127
"PstI.TP329515",1,1537490
"PstI.TP1031399",1,1661159
"NsiI.TP796534",1,1682668
"PstI.TP929619",1,1952038
"PstI.TP417865",1,2030761
"NsiI.TP666080",1,2031570
"PstI.TP885267",1,2084430
"PstI.TP1294018",1,2280325
"PstI.TP56795",1,2315051
"PstI.TP653218",1,2466683
"PstI.TP108989",1,2588793
"PstI.TP966432",1,2596832
"NsiI.TP486649",1,2601704
"PstI.TP441536",1,2816855
"PstI.TP1085601",1,2820903
"PstI.TP525202",1,2884119
"PstI.TP1268585",1,2988383
"PstI.TP849876",1,3050119
"PstI.TP66009",1,3078783
"PstI.TP209693",1,3305106
"PstI.TP626124",1,3342723
"PstI.TP1059573",1,3357749
"NsiI.TP504485",1,3381640
"PstI.TP1243055",1,3389055
"PstI.TP1244443",1,3397749
"NsiI.TP24278",1,3414839
"PstI.TP1199997",1,3471828
"PstI.TP757375",1,3471897
"PstI.TP726521",1,3535515
"PstI.TP374511",1,3576636
"PstI.TP1267977",1,3576713
"PstI.TP1155202",1,3620639
"PstI.TP961085",1,3705536
"PstI.TP21889",1,3705780
"PstI.TP1053336",1,3955998
"NsiI.TP403662",1,3957731
"PstI.TP891020",1,4033768
"PstI.TP629259",1,4276027
"PstI.TP629254",1,4276045
"PstI.TP736289",1,4314719
"PstI.TP820611",1,4393513
"PstI.TP140451",1,4460094
"NsiI.TP39399",1,4465777
"PstI.TP403850",1,4535788
"PstI.TP1250346",1,4555696
"NsiI.TP468762",1,4620729
"PstI.TP1009631",1,4625223
"PstI.TP982823",1,4677828
"PstI.TP307588",1,4762662
"PstI.TP920636",1,4777048
"PstI.TP1168479",1,4789991
"PstI.TP947391",1,4891496
"PstI.TP683907",1,4900973
"PstI.TP402429",1,4990016
"PstI.TP748688",1,5063937
"PstI.TP1126882",1,5115206
"PstI.TP684655",1,5379329
"PstI.TP213596",1,5408780
"NsiI.TP556033",1,5459542
"NsiI.TP367540",1,5460609
"PstI.TP928135",1,5502147
"PstI.TP9547",1,5534818
"PstI.TP476949",1,5536792
"PstI.TP137261",1,5540981
"PstI.TP291849",1,5571398
"NsiI.TP83219",1,5636529
"PstI.TP584919",1,5663458
"NsiI.TP522455",1,5717942
"PstI.TP677745",1,5751851
"PstI.TP174008",1,5805470
"PstI.TP705967",1,5858828
"NsiI.TP530878",1,5870812
"PstI.TP1252197",1,5912854
"PstI.TP116123",1,5967108
"PstI.TP804275",1,5979740
"PstI.TP523933",1,6018181
"PstI.TP722242",1,6187691
"NsiI.TP488601",1,6409370
"PstI.TP1015835",1,6514843
"PstI.TP547229",1,6574881
"PstI.TP1129801",1,6608649
"PstI.TP272307",1,6679965
"PstI.TP841428",1,6731433
"PstI.TP1245357",1,6748280
"PstI.TP1136661",1,6752030
"PstI.TP444825",1,6930877
"NsiI.TP350497",1,6933742
"PstI.TP572285",1,6947477
"NsiI.TP800074",1,6979429
"PstI.TP806450",1,7007771
"PstI.TP443586",1,7215893
"PstI.TP488378",1,7260223
"PstI.TP356624",1,7268772
"NsiI.TP375218",1,7321465
"PstI.TP451905",1,7339832
"PstI.TP867155",1,7342618
"PstI.TP1288486",1,7349710
"NsiI.TP481176",1,7350098
"PstI.TP712786",1,7449325
"PstI.TP1137764",1,7486769
"PstI.TP1173447",1,7571007
"NsiI.TP432315",1,7822652
"PstI.TP614866",1,7824409
"PstI.TP973605",1,7933170
"PstI.TP972953",1,7984963
"PstI.TP36329",1,8029204
"NsiI.TP273737",1,8121676
"PstI.TP308053",1,8330660
"PstI.TP235369",1,8337767
"PstI.TP424566",1,8533790
"PstI.TP983141",1,8569458
"PstI.TP426455",1,8609159
"PstI.TP545486",1,8870035
"PstI.TP302093",1,8923298
"PstI.TP461927",1,9014162
"PstI.TP691225",1,9036250
"PstI.TP443245",1,9039678
"PstI.TP978811",1,9073364
"PstI.TP542649",1,9116308
"PstI.TP550784",1,9140137
"PstI.TP581769",1,9144035
"NsiI.TP300557",1,9206508
"PstI.TP745827",1,9270379
"PstI.TP456141",1,9284445
"NsiI.TP769756",1,9322002
"PstI.TP974726",1,9504539
"NsiI.TP134750",1,9511955
"PstI.TP701371",1,9558859
"PstI.TP1174311",1,9559149
"PstI.TP390724",1,9756005
"NsiI.TP727325",1,9821700
"PstI.TP377612",1,9851429
"PstI.TP377610",1,9851445
"PstI.TP1001875",1,9929490
"PstI.TP120265",1,9929566
"PstI.TP145867",1,9990979
"PstI.TP821356",1,10005335
"PstI.TP498398",1,10010021
"PstI.TP1106149",1,10181736
"PstI.TP345581",1,10284848
"NsiI.TP664565",1,10300447
"PstI.TP593918",1,10465079
"NsiI.TP360999",1,10465743
"PstI.TP323026",1,10477035
"PstI.TP91211",1,10530796
"PstI.TP488889",1,10576905
"PstI.TP948493",1,10639570
"PstI.TP980214",1,10687788
"PstI.TP667320",1,10965394
"PstI.TP869093",1,11187262
"PstI.TP835148",1,11456164
"PstI.TP1045636",1,11697258
"PstI.TP319571",1,11815150
"PstI.TP1288084",1,11935767
"PstI.TP939213",1,11990855
"PstI.TP301133",1,12137712
"NsiI.TP690036",1,12138480
"PstI.TP181460",1,12172878
"PstI.TP308387",1,12249163
"PstI.TP401102",1,12714512
"PstI.TP419952",1,13194145
"PstI.TP770895",1,13263569
"PstI.TP726878",1,13263594
"NsiI.TP146220",1,13426299
"PstI.TP775845",1,13537099
"PstI.TP672785",1,13856592
"NsiI.TP819777",1,14025316
"PstI.TP37475",1,14297444
"PstI.TP1098610",1,14727981
"PstI.TP473065",1,14979768
"PstI.TP994295",1,15000089
"NsiI.TP173516",1,15009936
"PstI.TP980794",1,15035098
"NsiI.TP258606",1,15160092
"NsiI.TP453296",1,15160906
"PstI.TP745600",1,15174350
"NsiI.TP190002",1,15394010
"PstI.TP364469",1,15807512
"PstI.TP537488",1,15836219
"PstI.TP548596",1,16432580
"PstI.TP1150194",1,16733554
"PstI.TP1062903",1,16796019
"PstI.TP875497",1,17132096
"PstI.TP270063",1,17132801
"NsiI.TP347636",1,17221327
"PstI.TP97518",1,17476051
"PstI.TP1199192",1,17514476
"NsiI.TP210953",1,17586467
"PstI.TP311967",1,17610629
"PstI.TP392482",1,17611146
"PstI.TP907404",1,18035898
"PstI.TP147052",1,18036670
"PstI.TP353784",1,18167193
"PstI.TP510832",1,18167351
"NsiI.TP20060",1,18191763
"PstI.TP1245745",1,18203316
"PstI.TP460935",1,18308167
"PstI.TP1279895",1,18383885
"PstI.TP1126710",1,18437271
"NsiI.TP772843",1,18447607
"PstI.TP533117",1,18662889
"PstI.TP166501",1,18793961
"PstI.TP1140029",1,19067860
"NsiI.TP175150",1,19077723
"PstI.TP298371",1,19099334
"PstI.TP458499",1,19100550
"NsiI.TP731560",1,19407596
"PstI.TP579186",1,19637965
"PstI.TP574132",1,19943823
"PstI.TP1110165",1,20001173
"PstI.TP890955",1,20013544
"PstI.TP890977",1,20013575
"PstI.TP385421",1,20238710
"NsiI.TP352570",1,20251715
"NsiI.TP440927",1,20252244
"PstI.TP1239144",1,20685889
"PstI.TP861964",1,20685961
"PstI.TP851166",1,21305923
"PstI.TP791712",1,21320307
"PstI.TP265643",1,21534801
"PstI.TP198890",1,21626192
"PstI.TP1074331",1,21885836
"PstI.TP761935",1,22258955
"PstI.TP543648",1,22275588
"NsiI.TP304101",1,22335385
"PstI.TP1133775",1,23057893
"PstI.TP1020277",1,23246220
"PstI.TP1256502",1,23777666
"PstI.TP884909",1,23972025
"NsiI.TP269540",1,24901828
"PstI.TP510443",1,25088662
"PstI.TP98839",1,25165051
"PstI.TP543090",1,25480362
"PstI.TP21552",1,26847368
"PstI.TP757921",1,26848011
"PstI.TP288641",1,27158173
"PstI.TP309238",1,27158767
"PstI.TP364380",1,27181483
"PstI.TP176880",1,28241729
"PstI.TP896979",1,28970255
"NsiI.TP633588",1,29778455
"PstI.TP150197",1,30650620
"PstI.TP31070",1,30825121
"NsiI.TP61845",1,30836654
"PstI.TP510044",1,31327463
"PstI.TP231608",1,46403489
"PstI.TP1213378",1,46786394
