"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"HW_1","FASTmrMLM","PstI.TP134953",1,5571436,0
"2",2,"HW_1","FASTmrMLM","NsiI.TP257077",1,6103539,0.000000000000000222024039534507
"3",3,"HW_1","FASTmrMLM","NsiI.TP102967",1,6105258,0.000000000000000666192900223457
"4",4,"HW_1","FASTmrMLM","PstI.TP662300",1,9383388,0.00000000000000899290488401188
"5",5,"HW_1","FASTmrMLM","NsiI.TP736839",1,11973561,0
"6",6,"HW_1","FASTmrMLM","NsiI.TP425431",1,29611471,0
"7",7,"HW_1","FASTmrMLM","NsiI.TP30868",1,51136397,0
"8",8,"HW_1","FASTmrMLM","NsiI.TP413314",1,58050134,0.000189889084210136
"9",9,"HW_1","FASTmrMLM","PstI.TP929267",1,63290479,0
"10",10,"HW_1","FASTmrMLM","PstI.TP820348",1,64116607,0
"11",11,"HW_1","FASTmrMLM","NsiI.TP222587",1,73275339,0.0000000178978143940896
"12",12,"HW_1","FASTmrMLM","PstI.TP134743",1,73610397,0.000000000000000666192900223457
"13",13,"HW_1","FASTmrMLM","PstI.TP640960",1,80209769,0
"14",14,"HW_1","FASTmrMLM","PstI.TP360841",2,2832783,0.0000000764539626415044
"15",15,"HW_1","FASTmrMLM","NsiI.TP765685",2,16612091,0
"16",16,"HW_1","FASTmrMLM","PstI.TP40160",2,77518912,0.0000190633841713433
"17",17,"HW_1","FASTmrMLM","NsiI.TP436966",3,208286,0
"18",18,"HW_1","FASTmrMLM","PstI.TP968973",3,2980616,0.0000000000499344188721349
"19",19,"HW_1","FASTmrMLM","PstI.TP312198",3,8384639,0.000000000118140825192089
"20",20,"HW_1","FASTmrMLM","PstI.TP661215",3,54129611,0.0000000000607155592988649
"21",21,"HW_1","FASTmrMLM","NsiI.TP123780",3,55955099,0
"22",22,"HW_1","FASTmrMLM","NsiI.TP215974",3,56338222,0
"23",23,"HW_1","FASTmrMLM","PstI.TP513949",3,61369495,0
"24",24,"HW_1","FASTmrMLM","PstI.TP964683",3,64769478,0
"25",25,"HW_1","FASTmrMLM","PstI.TP622176",3,65129470,0
"26",26,"HW_1","FASTmrMLM","PstI.TP918301",3,66190813,0.00000000158708431655087
"27",27,"HW_1","FASTmrMLM","GFSSContig11128_893",3,69715214,0
"28",28,"HW_1","FASTmrMLM","PstI.TP621994",3,74383503,0
"29",29,"HW_1","FASTmrMLM","PstI.TP532669",4,3498516,0.00000380364520328555
"30",30,"HW_1","FASTmrMLM","NsiI.TP34695",4,6508508,0
"31",31,"HW_1","FASTmrMLM","PstI.TP876839",4,6887064,0
"32",32,"HW_1","FASTmrMLM","NsiI.TP821811",4,48427329,0
