"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"SUPER","HW_1","NsiI.TP476261",1,6164220,0.0000010423544482828
"2",2,"SUPER","HW_1","NsiI.TP123778",1,60586278,0.000038839475895183
"3",3,"SUPER","HW_1","NsiI.TP119595",1,61467903,0.0000183765517591746
"4",4,"SUPER","HW_1","NsiI.TP674601",1,69112506,0.0000133191908417777
"5",5,"SUPER","HW_1","NsiI.TP632002",1,70863814,0.0000321488927073839
"6",6,"SUPER","HW_1","NsiI.TP469911",1,72682614,0.00000336279499831539
"7",7,"SUPER","HW_1","PstI.TP1004938",1,72895372,0.000002277301042932
"8",8,"SUPER","HW_1","NsiI.TP528762",1,76435180,0.00000994291440953515
"9",9,"SUPER","HW_1","NsiI.TP652320",10,54138549,0.000012759619524046
"10",10,"SUPER","HW_1","PstI.TP836762",11,5799,0.00000629080295657005
"11",11,"SUPER","HW_1","PstI.TP941024",11,6587,0.0000311643962929622
"12",12,"SUPER","HW_1","PstI.TP989816",11,6875,0.0000176837415927464
"13",13,"SUPER","HW_1","PstI.TP1027140",11,7140,0.0000192012827218571
"14",14,"SUPER","HW_1","PstI.TP1165702",11,8193,0.00000049745569177709
"15",15,"SUPER","HW_1","PstI.TP1204787",11,8502,0.0000406456784175532
"16",16,"SUPER","HW_1","NsiI.TP13900",11,9274,0.00000204505215793818
"17",17,"SUPER","HW_1","NsiI.TP288843",11,12324,0.0000225355560618871
"18",18,"SUPER","HW_1","NsiI.TP318460",11,12617,0.000000401734873410771
"19",19,"SUPER","HW_1","NsiI.TP433644",11,14118,0.0000144021931960238
"20",20,"SUPER","HW_1","NsiI.TP644167",11,17110,0.0000143175676575349
"21",21,"SUPER","HW_1","NsiI.TP689875",11,17622,0.000012952774052838
"22",22,"SUPER","HW_1","NsiI.TP701971",11,17760,0.00000450965512526082
"23",23,"SUPER","HW_1","NsiI.TP152677",3,602439,0.0000142310121098173
"24",24,"SUPER","HW_1","PstI.TP1128716",3,65668248,0.00000718549040437949
"25",25,"SUPER","HW_1","PstI.TP168553",3,69628062,0.0000349051754014035
"26",26,"SUPER","HW_1","PstI.TP77040",4,1147463,0.0000171619669035832
"27",27,"SUPER","HW_1","PstI.TP1069273",4,1570159,0.0000291359601109887
"28",28,"SUPER","HW_1","PstI.TP297382",4,4364885,0.00000831983442968845
"29",29,"SUPER","HW_1","PstI.TP6170",6,56702797,0.0000293120808372712
"30",30,"SUPER","HW_1","PstI.TP350264",8,2905610,0.0000305338296848246
