"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"FD_50","mrMLM","NsiI.TP30868",1,51136397,0.000000264239050427195
"2",2,"FD_50","mrMLM","PstI.TP622176",3,65129470,0.0000000564614464671082
"3",3,"FD_50","mrMLM","PstI.TP935651",4,66370793,0.00000000204239622931651
"4",4,"FD_50","mrMLM","NsiI.TP821811",4,48427329,0.00000000000897048656299866
"5",5,"FD_50","mrMLM","NsiI.TP825923",6,52448208,0.0000280444547032531
"6",6,"FD_50","mrMLM","NsiI.TP607068",8,1666575,0.00000012867494758059
"7",7,"FD_50","mrMLM","NsiI.TP383484",9,6111601,0.0000375924819610807
"8",8,"FD_50","mrMLM","PstI.TP125419",10,50424324,0.00000262330024614478
"9",9,"FD_50","FASTmrMLM","NsiI.TP821811",4,48427329,0.00000000551442202381744
"10",10,"FD_50","FASTmrMLM","NsiI.TP324593",4,54954569,0.0000000540007759066593
"11",11,"FD_50","FASTmrMLM","PstI.TP133136",5,65324990,0.00000971180603383293
"12",12,"FD_50","FASTmrMLM","NsiI.TP825923",6,52448208,0.000176685129845388
"13",13,"FD_50","FASTmrMLM","NsiI.TP383484",9,6111601,0.000000324414307904885
"14",14,"FD_50","FASTmrMLM","PstI.TP607810",11,4293,0.0000129538838897489
"15",15,"FD_50","FASTmrMLM","PstI.TP874146",11,6098,0.00000453732616937941
"16",16,"FD_50","FASTmrMLM","PstI.TP1020545",11,7078,0.000116815372986132
"17",17,"FD_50","pLARmEB","PstI.TP929267",1,63290479,0.00000903233423567246
"18",18,"FD_50","pLARmEB","PstI.TP513949",3,61369495,0.0000163606291310142
"19",19,"FD_50","pLARmEB","NsiI.TP821811",4,48427329,0.000000144111951752011
"20",20,"FD_50","pLARmEB","PstI.TP133136",5,65324990,0.00015951443869276
"21",21,"FD_50","pLARmEB","PstI.TP1052140",6,19137861,0.00000000366690788203697
"22",22,"FD_50","pLARmEB","NsiI.TP646295",11,17132,0.0000543000213065738
"23",23,"FD_50","ISIS EM-BLASSO","PstI.TP1020545",11,7078,0.0000137309314819277
"24",24,"FD_50","ISIS EM-BLASSO","PstI.TP1159423",11,8140,0.0000000869961433065267
"25",25,"FD_50","ISIS EM-BLASSO","NsiI.TP416911",11,13756,0.00000738754262993636
"26",26,"FD_50","FarmCPU","NsiI.TP212267",1,1974353,0.000000351381873886913
"27",27,"FD_50","FarmCPU","NsiI.TP104065",1,12578208,0.0000012699072494538
"28",28,"FD_50","FarmCPU","NsiI.TP632002",1,70863814,0.00000000000000296899204469731
"29",29,"FD_50","FarmCPU","NsiI.TP222743",10,6819373,0.00000125487747621331
"30",30,"FD_50","FarmCPU","NsiI.TP728788",11,18071,0.0000000000000997215041778315
