"","ID","Method","Trait.name","SNP","Chromosome","Position","P.value"
"1",1,"SUPER","FD_50","PstI.TP856852",1,1153760,0.0000537868401492037
"2",2,"SUPER","FD_50","PstI.TP396517",1,1727743,0.000155060763806321
"3",3,"SUPER","FD_50","NsiI.TP412045",1,2102732,0.000069830936735439
"4",4,"SUPER","FD_50","PstI.TP637101",1,3390212,0.00013330955638876
"5",5,"SUPER","FD_50","PstI.TP346636",1,4227896,0.00022112588201994
"6",6,"SUPER","FD_50","PstI.TP68903",1,5898727,0.000274095042876392
"7",7,"SUPER","FD_50","NsiI.TP554788",1,5933733,0.0000694389959271425
"8",8,"SUPER","FD_50","NsiI.TP476261",1,6164220,0.00000849177540660229
"9",9,"SUPER","FD_50","NsiI.TP750756",1,6898016,0.0000426547382606435
"10",10,"SUPER","FD_50","NsiI.TP441010",1,7822032,0.000188053080250514
"11",11,"SUPER","FD_50","PstI.TP1286999",1,9623485,0.000275425982732076
"12",12,"SUPER","FD_50","PstI.TP91211",1,10530796,0.00000673518127522601
"13",13,"SUPER","FD_50","NsiI.TP195180",1,12857502,0.0000109517519014178
"14",14,"SUPER","FD_50","PstI.TP392482",1,17611146,0.000152867692382174
"15",15,"SUPER","FD_50","PstI.TP643290",1,53455562,0.000230071890262982
"16",16,"SUPER","FD_50","NsiI.TP241069",1,56195369,0.000124096776933365
"17",17,"SUPER","FD_50","PstI.TP1248141",1,57379416,0.000134288038092367
"18",18,"SUPER","FD_50","PstI.TP1185674",1,60148122,0.000025320692627694
"19",19,"SUPER","FD_50","NsiI.TP123778",1,60586278,0.0000205386579854788
"20",20,"SUPER","FD_50","NsiI.TP119595",1,61467903,0.000161232224412484
"21",21,"SUPER","FD_50","NsiI.TP761443",1,62177665,0.0000173664955125211
"22",22,"SUPER","FD_50","NsiI.TP674601",1,69112506,0.000163762486099927
"23",23,"SUPER","FD_50","PstI.TP440583",1,70293723,0.000136334834368073
"24",24,"SUPER","FD_50","NsiI.TP632002",1,70863814,0.0000468124187835806
"25",25,"SUPER","FD_50","NsiI.TP607427",1,72380263,0.0000280240650763627
"26",26,"SUPER","FD_50","NsiI.TP469911",1,72682614,0.000000836897009418955
"27",27,"SUPER","FD_50","PstI.TP1004938",1,72895372,0.000146684416115474
"28",28,"SUPER","FD_50","NsiI.TP670301",1,75616619,0.00010173050734558
"29",29,"SUPER","FD_50","NsiI.TP499936",1,76362441,0.0000633125291713829
"30",30,"SUPER","FD_50","NsiI.TP528762",1,76435180,0.000018335867033053
"31",31,"SUPER","FD_50","PstI.TP1044533",10,781197,0.000189397369755783
"32",32,"SUPER","FD_50","PstI.TP14467",10,3103147,0.0000337768022802701
"33",33,"SUPER","FD_50","NsiI.TP736628",10,3220056,0.000159809752358326
"34",34,"SUPER","FD_50","NsiI.TP237545",10,5377137,0.0000290763976836905
"35",35,"SUPER","FD_50","NsiI.TP433359",10,6012505,0.00000882245232025525
"36",36,"SUPER","FD_50","NsiI.TP440694",10,6482395,0.000145275936553809
"37",37,"SUPER","FD_50","PstI.TP1104477",10,9762760,0.00000779175818451017
"38",38,"SUPER","FD_50","PstI.TP77980",10,10346907,0.000187363659135686
"39",39,"SUPER","FD_50","NsiI.TP321836",10,43096218,0.0000123555821574966
"40",40,"SUPER","FD_50","PstI.TP439176",10,44789600,0.000108314412351308
"41",41,"SUPER","FD_50","PstI.TP195926",10,51681294,0.00000482584202839972
"42",42,"SUPER","FD_50","NsiI.TP260208",10,52582112,0.000283330677990794
"43",43,"SUPER","FD_50","PstI.TP84709",10,53386370,0.000193044433158139
"44",44,"SUPER","FD_50","PstI.TP410728",10,54017261,0.000124044163542349
"45",45,"SUPER","FD_50","NsiI.TP652320",10,54138549,0.000077323645259756
"46",46,"SUPER","FD_50","NsiI.TP627077",10,60121241,0.0000853870669785899
"47",47,"SUPER","FD_50","PstI.TP29396",11,227,0.000272084218256435
"48",48,"SUPER","FD_50","PstI.TP43003",11,359,0.000123747185835066
"49",49,"SUPER","FD_50","PstI.TP100020",11,817,0.0000933638824768829
"50",50,"SUPER","FD_50","PstI.TP225347",11,1850,0.000114442514613146
"51",51,"SUPER","FD_50","PstI.TP234053",11,1921,0.000119249626750565
"52",52,"SUPER","FD_50","PstI.TP248137",11,2017,0.000185351976231465
"53",53,"SUPER","FD_50","PstI.TP344604",11,2716,0.000100092680366456
"54",54,"SUPER","FD_50","PstI.TP366962",11,2898,0.0000765531855797425
"55",55,"SUPER","FD_50","PstI.TP480563",11,3643,0.0000338749431858795
"56",56,"SUPER","FD_50","PstI.TP492157",11,3737,0.000015392392862401
"57",57,"SUPER","FD_50","PstI.TP543485",11,4036,0.0000267402750387978
"58",58,"SUPER","FD_50","PstI.TP588782",11,4213,0.000124279154952802
"59",59,"SUPER","FD_50","PstI.TP631928",11,4437,0.000177576735490949
"60",60,"SUPER","FD_50","PstI.TP662789",11,4624,0.0000296830272045983
"61",61,"SUPER","FD_50","PstI.TP685319",11,4739,0.00000828741527463706
"62",62,"SUPER","FD_50","PstI.TP687504",11,4751,0.00000723050016622844
"63",63,"SUPER","FD_50","PstI.TP804124",11,5573,0.000139968092258119
"64",64,"SUPER","FD_50","PstI.TP836173",11,5793,0.000251367256383364
"65",65,"SUPER","FD_50","PstI.TP836762",11,5799,0.00000629466749189081
"66",66,"SUPER","FD_50","PstI.TP885027",11,6185,0.0000842817096961273
"67",67,"SUPER","FD_50","PstI.TP926161",11,6485,0.000011430511986451
"68",68,"SUPER","FD_50","PstI.TP937371",11,6558,0.000244370671351561
"69",69,"SUPER","FD_50","PstI.TP941024",11,6587,0.000074473066124333
"70",70,"SUPER","FD_50","PstI.TP989816",11,6875,0.0000014867565379131
"71",71,"SUPER","FD_50","PstI.TP996140",11,6915,0.0000260544563943245
"72",72,"SUPER","FD_50","PstI.TP1027140",11,7140,0.00000187590064028709
"73",73,"SUPER","FD_50","PstI.TP1082638",11,7557,0.0000429108855287441
"74",74,"SUPER","FD_50","PstI.TP1165702",11,8193,0.000000429596575664005
"75",75,"SUPER","FD_50","PstI.TP1171017",11,8229,0.000200937856445463
"76",76,"SUPER","FD_50","PstI.TP1188882",11,8398,0.0000175960644814478
"77",77,"SUPER","FD_50","PstI.TP1204787",11,8502,0.0000593716626963878
"78",78,"SUPER","FD_50","PstI.TP1273314",11,8970,0.0000573115915838142
"79",79,"SUPER","FD_50","PstI.TP1283654",11,9039,0.000259430612445523
"80",80,"SUPER","FD_50","NsiI.TP13900",11,9274,0.0000156920632847624
"81",81,"SUPER","FD_50","NsiI.TP56325",11,9785,0.0000691122070576411
"82",82,"SUPER","FD_50","NsiI.TP63305",11,9874,0.000126525038039318
"83",83,"SUPER","FD_50","NsiI.TP91546",11,10135,0.0000372541073243788
"84",84,"SUPER","FD_50","NsiI.TP109633",11,10288,0.000138820548139185
"85",85,"SUPER","FD_50","NsiI.TP111245",11,10315,0.000164250453545842
"86",86,"SUPER","FD_50","NsiI.TP135373",11,10639,0.000027963127536037
"87",87,"SUPER","FD_50","NsiI.TP146839",11,10736,0.0000553298135009125
"88",88,"SUPER","FD_50","NsiI.TP185826",11,11195,0.000271847185314605
"89",89,"SUPER","FD_50","NsiI.TP208538",11,11454,0.000220781899970226
"90",90,"SUPER","FD_50","NsiI.TP208628",11,11458,0.0000346654373201426
"91",91,"SUPER","FD_50","NsiI.TP210502",11,11473,0.0000681854298318676
"92",92,"SUPER","FD_50","NsiI.TP257521",11,12015,0.0000152290815923409
"93",93,"SUPER","FD_50","NsiI.TP288843",11,12324,0.0000075549260725035
"94",94,"SUPER","FD_50","NsiI.TP290592",11,12332,0.00023862584215139
"95",95,"SUPER","FD_50","NsiI.TP318460",11,12617,0.00000616076458022656
"96",96,"SUPER","FD_50","NsiI.TP359530",11,13085,0.000148661374143997
"97",97,"SUPER","FD_50","NsiI.TP361679",11,13117,0.00025245067178034
"98",98,"SUPER","FD_50","NsiI.TP363117",11,13136,0.000166031443390685
"99",99,"SUPER","FD_50","NsiI.TP368101",11,13200,0.000194953348542938
"100",100,"SUPER","FD_50","NsiI.TP388882",11,13419,0.000142378219428967
"101",101,"SUPER","FD_50","NsiI.TP426523",11,13953,0.0000164398191491654
