"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","NsiI.TP474215"," 1","77512901","-0.0716"," 3.6007"," 4.331519"," 2.3625","0.3214","A","0.0294","0.091"
"1","Trait1","mrMLM","PstI.TP911466"," 1"," 4343935","-0.1333"," 4.2586"," 5.022604"," 2.5698","0.0821","C","",""
"1","Trait1","mrMLM","PstI.TP133988"," 1","74849338","-0.1577"," 8.2903"," 9.189666","13.4286","0.1143","A","",""
"1","Trait1","mrMLM","NsiI.TP694083"," 2","14769883"," 0.1010"," 4.4348"," 5.206885"," 6.2217","0.2000","A","",""
"1","Trait1","mrMLM","NsiI.TP357145"," 2","76370252"," 0.0731"," 3.1521"," 3.856932"," 3.0014","0.2429","C","",""
"1","Trait1","mrMLM","NsiI.TP217705"," 3","52086855","-0.1330"," 6.0395"," 6.873864"," 3.5840","0.1607","C","",""
"1","Trait1","mrMLM","PstI.TP998558"," 4","57766875"," 0.2212","12.6786","13.666788","26.6812","0.0893","A","",""
"1","Trait1","mrMLM","PstI.TP847211"," 7","64315939","-0.0791"," 3.7058"," 4.442277"," 3.4441","0.4179","A","",""
"1","Trait1","mrMLM","NsiI.TP438615","11","   14236"," 0.5011"," 7.5206"," 8.399866","20.7915","0.0179","A","",""
"1","Trait1","FASTmrMLM","PstI.TP911466","1","4343935","-0.094","7.4024","8.2784","2.2482","0.081","C","0.0444","0.091"
"1","Trait1","FASTmrMLM","NsiI.TP474215","1","77512901","-0.1031","6.3588","7.2037","8.6282","0.3169","A","",""
"1","Trait1","FASTmrMLM","PstI.TP681685","2","68785398","0.098","5.6009","6.42","6.6875","0.2958","C","",""
"1","Trait1","FASTmrMLM","NsiI.TP357145","2","76370252","0.0359","3.8218","4.5644","1.2694","0.2394","C","",""
"1","Trait1","FASTmrMLM","PstI.TP998558","4","57766875","0.1066","3.448","4.1703","10.9009","0.088","A","",""
"1","Trait1","FASTmrMLM","PstI.TP1044893","4","61384104","0.1006","6.0101","6.8435","2.8419","0.169","C","",""
"1","Trait1","FASTmrMLM","PstI.TP754277","5","1988689","-0.0612","3.0638","3.7631","0.5461","0.412","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP816614","11","19141","7e-04","3.9685","4.7185","5e-04","0.3662","A","",""
"1","Trait1","pLARmEB","NsiI.TP426850","1","73788816","-8.6379e-05","3.4494","4.1718","8.343e-07","0.0599","C","0.0463","0.091"
"1","Trait1","pLARmEB","NsiI.TP474215","1","77512901","-0.1045","4.1527","4.9117","8.4389","0.3169","A","",""
"1","Trait1","pLARmEB","PstI.TP681685","2","68785398","0.0965","7.5818","8.4627","6.1796","0.2958","C","",""
"1","Trait1","pLARmEB","NsiI.TP506550","10","47749845","0.0657","4.2526","5.0163","4.4095","0.2641","A","",""
"1","Trait1","pLARmEB","PstI.TP399247","11","3112","-0.1103","4.1808","4.9411","8.0782","0.2535","C","",""
"1","Trait1","pLARmEB","NsiI.TP48279","11","9712","0.1029","3.262","3.9735","8.6219","0.0634","A","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP375640","1","77251518","0.1051","5.8652","6.6936","6.3218","0.1972","A","0.0488","0.091"
"1","Trait1","ISIS EM-BLASSO","PstI.TP681685","2","68785398","0.0815","4.6005","5.3799","4.7168","0.2958","C","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP217705","3","52086855","-0.126","7.3315","8.2055","5.7706","0.162","C","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP421648","4","62016412","4.4683e-05","3.157","3.8621","4.0885e-07","0.1197","A","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP399247","11","3112","-0.1094","5.7194","6.5427","8.5017","0.2535","C","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP697010","11","17706","0.0848","4.115","4.8722","4.2641","0.2218","A","",""
