"","SNP","Chromosome","Position","GLM.GFW_1","MLM.GFW_1","CMLM.GFW_1","SUPER.GFW_1","rrBLUP.GFW_1","Adj.P.GLM.GFW_1","Adj.P.MLM.GFW_1","Adj.P.CMLM.GFW_1","Adj.P.SUPER.GFW_1","Adj.P.rrBLUP.GFW_1"
"85","PstI.TP856852",1,1153760,0.00621517106427013,0.0568618413328709,0.0568618413328709,6.35371774730136e-06,0.0101665781473227,0.283154125175081,0.999407518383567,0.999407518383567,0.0141132212762895,1
"2098","PstI.TP1185674",1,60148122,0.0146510142726692,0.224375476428807,0.224375476428807,8.73455719251482e-06,1,0.33596198506304,0.999407518383567,0.999407518383567,0.0141132212762895,1
"2201","NsiI.TP761443",1,62177665,0.00217052832961547,0.0105008068932476,0.0105008068932476,5.90681772100982e-06,0.198056890808153,0.252373226948744,0.999407518383567,0.999407518383567,0.0141132212762895,1
"3051","NsiI.TP469911",1,72682614,0.0113124320388235,0.01743565503107,0.01743565503107,2.63121054212298e-06,0.781032355869288,0.31609660589113,0.999407518383567,0.999407518383567,0.0141132212762895,1
"3455","NsiI.TP528762",1,76435180,0.00614253171417738,0.0103369649850571,0.0103369649850571,1.00986683477308e-05,1,0.283154125175081,0.999407518383567,0.999407518383567,0.0141132212762895,1
"4137","PstI.TP14467",10,3103147,0.00280688578627231,0.0184257218647994,0.0184257218647994,3.68504492777577e-06,0.5802347883617,0.253969474090809,0.999407518383567,0.999407518383567,0.0141132212762895,1
"5086","PstI.TP195926",10,51681294,0.000961561868904216,0.0802350003314506,0.0802350003314506,1.13412607241298e-05,0.783305126356038,0.21893711056833,0.999407518383567,0.999407518383567,0.0141132212762895,1
"9572","PstI.TP685319",11,4739,0.00362855519755491,0.0415822427913739,0.0415822427913739,9.61851349074345e-06,0.325207980119428,0.265610082618932,0.999407518383567,0.999407518383567,0.0141132212762895,1
"9583","PstI.TP687504",11,4751,0.0202679984271878,0.230347048030691,0.230347048030691,1.09279342862357e-05,0.456330080551728,0.369054894787853,0.999407518383567,0.999407518383567,0.0141132212762895,1
"10977","PstI.TP926161",11,6485,0.000692802517383576,0.00435247944459119,0.00435247944459119,8.48820200641741e-06,0.42335256646911,0.217407454324683,0.999407518383567,0.999407518383567,0.0141132212762895,1
"11287","PstI.TP989816",11,6875,0.00614833153178462,0.0142525059565642,0.0142525059565642,1.1710045765192e-06,1,0.283154125175081,0.999407518383567,0.999407518383567,0.0105648032893562,1
"11478","PstI.TP1027140",11,7140,0.0194481400917515,0.00455303447169609,0.00455303447169609,3.28825511084122e-06,1,0.363122846076598,0.999407518383567,0.999407518383567,0.0141132212762895,1
"12296","PstI.TP1165702",11,8193,0.00150471173530646,0.000409989090270745,0.000409989090270745,4.95480146556644e-07,0.75799782232799,0.22713488317254,0.999407518383567,0.999407518383567,0.00894044376446809,1
"13745","NsiI.TP91546",11,10135,0.00825988329934903,0.0308796750911167,0.0308796750911167,6.53475868573562e-06,1,0.298600450246143,0.999407518383567,0.999407518383567,0.0141132212762895,1
"14677","NsiI.TP208628",11,11458,0.0242124666460578,0.0984703798326239,0.0984703798326239,8.73747094886185e-06,0.987935333277245,0.382441181512813,0.999407518383567,0.999407518383567,0.0141132212762895,1
"15301","NsiI.TP288843",11,12324,0.00469711080401366,0.0441970638789294,0.0441970638789294,1.09987770701291e-05,0.24078525889248,0.273866349116475,0.999407518383567,0.999407518383567,0.0141132212762895,1
"15508","NsiI.TP318460",11,12617,0.00139399038004016,0.015934556147677,0.015934556147677,1.34982654915897e-05,0.854756043821091,0.224937458808432,0.999407518383567,0.999407518383567,0.0142318292743099,1
"16493","NsiI.TP426523",11,13953,5.07028146447522e-05,0.00248301843007808,0.00248301843007808,7.48937343080442e-06,0.278866153070858,0.205338609288716,0.999407518383567,0.999407518383567,0.0141132212762895,1
"17315","NsiI.TP491951",11,15090,0.0276453627575406,0.208435552027052,0.208435552027052,7.57246203255547e-06,0.153505437607621,0.398428854310753,0.999407518383567,0.999407518383567,0.0141132212762895,1
"18583","NsiI.TP623388",11,16852,0.130604504426654,0.567461604298932,0.567461604298932,7.24732163841422e-06,0.997695048915277,0.617322246987438,0.999407518383567,0.999407518383567,0.0141132212762895,1
"18764","NsiI.TP644167",11,17110,5.09423260937238e-05,0.000700636005813293,0.000700636005813293,1.26697738966205e-05,0.37238014842705,0.205338609288716,0.999407518383567,0.999407518383567,0.0142318292743099,1
"19142","NsiI.TP689875",11,17622,2.63238659896506e-05,0.000399881970103426,0.000399881970103426,6.47867711281994e-08,1,0.205338609288716,0.999407518383567,0.999407518383567,0.00233802499647446,1
"19240","NsiI.TP701971",11,17760,0.000398529656128856,0.00208749529090912,0.00208749529090912,9.3921890856773e-06,0.607313131278188,0.205338609288716,0.999407518383567,0.999407518383567,0.0141132212762895,1
"20567","NsiI.TP797433",2,3066400,0.0707666215997632,0.261563108169291,0.261563108169291,1.38027606018856e-05,1,0.522368539322315,0.999407518383567,0.999407518383567,0.0142318292743099,1
"22721","PstI.TP875140",2,72930521,0.00615086666902957,0.0942190829522834,0.0942190829522834,9.47956194696385e-07,0.178039801011557,0.283154125175081,0.999407518383567,0.999407518383567,0.0105648032893562,1
"23754","PstI.TP166748",3,7900736,0.00223476065875167,0.0450570740156917,0.0450570740156917,1.31107878553882e-05,0.714589145065863,0.253969474090809,0.999407518383567,0.999407518383567,0.0142318292743099,1
"24576","NsiI.TP127103",3,55736173,0.0227885660191041,0.154079311047375,0.154079311047375,1.02195061139876e-05,1,0.374978405916067,0.999407518383567,0.999407518383567,0.0141132212762895,1
"24685","PstI.TP892247",3,57467578,0.00721963264515387,0.0325784266282051,0.0325784266282051,1.22582637174086e-05,0.77375878660852,0.289263384881083,0.999407518383567,0.999407518383567,0.0142318292743099,1
"25603","PstI.TP318338",3,67023794,0.00644088102081995,0.133100321973729,0.133100321973729,1.02761505731912e-05,1,0.283154125175081,0.999407518383567,0.999407518383567,0.0141132212762895,1
"26248","NsiI.TP376338",3,73019311,0.00398019146169364,0.0832924690979101,0.0832924690979101,7.04011328039209e-06,0.909355274111591,0.267948098518675,0.999407518383567,0.999407518383567,0.0141132212762895,1
"30421","PstI.TP29028",6,45093133,0.0037176876799456,0.0159195685856122,0.0159195685856122,1.12407799061215e-05,1,0.265654796965245,0.999407518383567,0.999407518383567,0.0141132212762895,1
"31496","PstI.TP6170",6,56702797,0.00067934242542412,0.00539152575743316,0.00539152575743316,1.27402093015033e-05,0.619895470004413,0.217407454324683,0.999407518383567,0.999407518383567,0.0142318292743099,1
