"","SNP","Chromosome","Position","GLM.GFW_1","MLM.GFW_1","CMLM.GFW_1","SUPER.GFW_1","rrBLUP.GFW_1","Adj.P.GLM.GFW_1","Adj.P.MLM.GFW_1","Adj.P.CMLM.GFW_1","Adj.P.SUPER.GFW_1","Adj.P.rrBLUP.GFW_1"
"85","PstI.TP856852",1,1153760,0.00621517106427013,0.0568618413328709,0.0568618413328709,6.35371774730136e-06,0.0101665781473227,0.283154125175081,0.999407518383567,0.999407518383567,0.0141132212762895,1
"2201","NsiI.TP761443",1,62177665,0.00217052832961547,0.0105008068932476,0.0105008068932476,5.90681772100982e-06,0.198056890808153,0.252373226948744,0.999407518383567,0.999407518383567,0.0141132212762895,1
"3051","NsiI.TP469911",1,72682614,0.0113124320388235,0.01743565503107,0.01743565503107,2.63121054212298e-06,0.781032355869288,0.31609660589113,0.999407518383567,0.999407518383567,0.0141132212762895,1
"4137","PstI.TP14467",10,3103147,0.00280688578627231,0.0184257218647994,0.0184257218647994,3.68504492777577e-06,0.5802347883617,0.253969474090809,0.999407518383567,0.999407518383567,0.0141132212762895,1
"10977","PstI.TP926161",11,6485,0.000692802517383576,0.00435247944459119,0.00435247944459119,8.48820200641741e-06,0.42335256646911,0.217407454324683,0.999407518383567,0.999407518383567,0.0141132212762895,1
"11287","PstI.TP989816",11,6875,0.00614833153178462,0.0142525059565642,0.0142525059565642,1.1710045765192e-06,1,0.283154125175081,0.999407518383567,0.999407518383567,0.0105648032893562,1
"11478","PstI.TP1027140",11,7140,0.0194481400917515,0.00455303447169609,0.00455303447169609,3.28825511084122e-06,1,0.363122846076598,0.999407518383567,0.999407518383567,0.0141132212762895,1
"12296","PstI.TP1165702",11,8193,0.00150471173530646,0.000409989090270745,0.000409989090270745,4.95480146556644e-07,0.75799782232799,0.22713488317254,0.999407518383567,0.999407518383567,0.00894044376446809,1
"13745","NsiI.TP91546",11,10135,0.00825988329934903,0.0308796750911167,0.0308796750911167,6.53475868573562e-06,1,0.298600450246143,0.999407518383567,0.999407518383567,0.0141132212762895,1
"16493","NsiI.TP426523",11,13953,5.07028146447522e-05,0.00248301843007808,0.00248301843007808,7.48937343080442e-06,0.278866153070858,0.205338609288716,0.999407518383567,0.999407518383567,0.0141132212762895,1
"17315","NsiI.TP491951",11,15090,0.0276453627575406,0.208435552027052,0.208435552027052,7.57246203255547e-06,0.153505437607621,0.398428854310753,0.999407518383567,0.999407518383567,0.0141132212762895,1
"18583","NsiI.TP623388",11,16852,0.130604504426654,0.567461604298932,0.567461604298932,7.24732163841422e-06,0.997695048915277,0.617322246987438,0.999407518383567,0.999407518383567,0.0141132212762895,1
"19142","NsiI.TP689875",11,17622,2.63238659896506e-05,0.000399881970103426,0.000399881970103426,6.47867711281994e-08,1,0.205338609288716,0.999407518383567,0.999407518383567,0.00233802499647446,1
"22721","PstI.TP875140",2,72930521,0.00615086666902957,0.0942190829522834,0.0942190829522834,9.47956194696385e-07,0.178039801011557,0.283154125175081,0.999407518383567,0.999407518383567,0.0105648032893562,1
"26248","NsiI.TP376338",3,73019311,0.00398019146169364,0.0832924690979101,0.0832924690979101,7.04011328039209e-06,0.909355274111591,0.267948098518675,0.999407518383567,0.999407518383567,0.0141132212762895,1
"33478","PstI.TP1251787",8,640290,0.0222941284876234,0.16658983739183,0.16658983739183,4.96962789783272e-06,0.840930069480067,0.373612224036557,0.999407518383567,0.999407518383567,0.0141132212762895,1
"35070","NsiI.TP347216",9,44790414,0.000872575797706671,0.0606197605635699,0.0606197605635699,6.34333500074457e-06,0.547074579489202,0.21893711056833,0.999407518383567,0.999407518383567,0.0141132212762895,1
