"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"23","Trait38","FASTmrMLM","NsiI.TP257077","1","6103539","0.016","5.2636","6.0701","2.6092","0.4868","C","0.0024","0.0091"
"23","Trait38","FASTmrMLM","PstI.TP838373","3","4277724","-0.0121","4.6073","5.387","1.1929","0.4561","A","",""
"23","Trait38","FASTmrMLM","PstI.TP661215","3","54129611","0.0276","7.6254","8.5075","8.2553","0.2237","A","",""
"23","Trait38","FASTmrMLM","PstI.TP675318","4","60844616","3.119e-05","5.3295","6.1385","3.1125e-06","0.1272","A","",""
"23","Trait38","FASTmrMLM","NsiI.TP383484","9","6111601","0.0139","5.0785","5.8778","1.1336","0.3158","C","",""
"23","Trait38","FASTmrMLM","PstI.TP1009395","11","6997","-1.3788e-05","3.5523","4.2805","4.1711e-07","0.0307","C","",""
"23","Trait38","FASTmrMLM","PstI.TP1020545","11","7078","0.0204","7.9122","8.8019","4.2067","0.4956","A","",""
"23","Trait38","FASTmrMLM","NsiI.TP59023","11","9822","0.0261","4.8536","5.6438","3.6079","0.307","A","",""
"23","Trait38","FASTmrMLM","NsiI.TP434835","11","14151","0.0255","8.4729","9.3768","4.7545","0.3289","A","",""
"23","Trait38","FASTmrEMMA","PstI.TP133136","5","65324990","0.0637","4.9038","5.696","5.1157","0.2237","C","0.0028","0.0091"
"23","Trait38","FASTmrEMMA","PstI.TP1052140","6","19137861","0.0942","3.6114","4.3428","5.6373","0.1009","A","",""
"23","Trait38","FASTmrEMMA","PstI.TP14048","11","117","0.0565","4.8211","5.6099","5.007","0.3772","C","",""
"23","Trait38","FASTmrEMMA","PstI.TP897332","11","6254","-0.0499","4.2756","5.0404","1.9931","0.0921","G","",""
"23","Trait38","FASTmrEMMA","NsiI.TP49937","11","9724","-0.0835","6.6125","7.4654","5.4823","0.1184","C","",""
"23","Trait38","pLARmEB","NsiI.TP56457","4","4041209","-3.8808e-05","3.1602","3.8655","6.7387e-06","0.3246","A","0.0019","0.0091"
"23","Trait38","pLARmEB","PstI.TP876839","4","6887064","0.0482","3.3367","4.0526","6.9976","0.4079","C","",""
"23","Trait38","pLARmEB","NsiI.TP211131","6","32284894","-0.0289","3.1065","3.8085","0.5116","0.1184","C","",""
"23","Trait38","pLARmEB","PstI.TP1050510","9","775588","0.0196","5.9139","6.744","1.1892","0.4342","A","",""
"23","Trait38","pLARmEB","PstI.TP874146","11","6098","0.0578","5.7994","6.6255","5.2663","0.057","A","",""
"23","Trait38","pLARmEB","PstI.TP1020545","11","7078","0.0366","11.6328","12.6026","5.585","0.4956","A","",""
"23","Trait38","pLARmEB","NsiI.TP59023","11","9822","0.0196","3.5111","4.237","0.8407","0.307","A","",""
"23","Trait38","pLARmEB","NsiI.TP434835","11","14151","0.0241","6.2209","7.0613","1.7488","0.3289","A","",""
"23","Trait38","pLARmEB","NsiI.TP535138","11","15754","-0.0618","5.462","6.276","1.7727","0.0482","A","",""
