SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,effect
PstI.TP8376,4,59384691,0.000191788868232858,0.19811320754717,96,NA,NA,NA
NsiI.TP45036,3,  389776,0.000228479275846674,0.0424528301886793,96,NA,NA,NA
NsiI.TP533643,3,  471619,0.000228479275847274,0.0424528301886793,96,NA,NA,NA
PstI.TP217258,3, 3992070,0.000230544408423965,0.0424528301886793,96,NA,NA,NA
PstI.TP736289,1, 4314719,0.000332919334625121,0.0283018867924528,96,NA,NA,NA
PstI.TP740179,3, 8414014,0.000400920297275257,0.0424528301886793,96,NA,NA,NA
NsiI.TP470421,3,50564096,0.000440030079352439,0.400943396226415,96,NA,NA,NA
PstI.TP168720,4,64338756,0.000452045706033424,0.0424528301886793,96,NA,NA,NA
PstI.TP1009631,1, 4625223,0.000637800327336123,0.0707547169811321,96,NA,NA,NA
NsiI.TP57283,6,49505312,0.000692009815884601,0.132075471698113,96,NA,NA,NA
NsiI.TP502976,3, 7719502,0.00071070814051321,0.0377358490566038,96,NA,NA,NA
PstI.TP308053,1, 8330660,0.000724036834451994,0.113207547169811,96,NA,NA,NA
PstI.TP576366,2,  375350,0.000822355818102512,0.0471698113207547,96,NA,NA,NA
PstI.TP1107519,9, 3315165,0.000946777015343201,0.0471698113207547,96,NA,NA,NA
NsiI.TP360999,1,10465743,0.00102923472164556,0.089622641509434,96,NA,NA,NA
NsiI.TP579169,7,40226521,0.00109497361246584,0.0377358490566038,96,NA,NA,NA
PstI.TP762971,11,    5268,0.00119852178824894,0.0707547169811321,96,NA,NA,NA
NsiI.TP743958,11,   18247,0.00154987582387933,0.0424528301886793,96,NA,NA,NA
PstI.TP1046316,3,72119163,0.00156421106361256,0.0990566037735849,96,NA,NA,NA
PstI.TP13843,2,57967122,0.00160983596700979,0.0424528301886793,96,NA,NA,NA
PstI.TP807327,11,    5594,0.00162019970440477,0.0235849056603774,96,NA,NA,NA
PstI.TP1056336,6,60888540,0.00165977044941697,0.0849056603773585,96,NA,NA,NA
PstI.TP1136661,1, 6752030,0.0017273591292441,0.0283018867924528,96,NA,NA,NA
PstI.TP982139,4,41445278,0.00178314545340238,0.0660377358490566,96,NA,NA,NA
NsiI.TP274765,6,47625849,0.00178397633260367,0.320754716981132,96,NA,NA,NA
PstI.TP1000873,7,57426488,0.00179896460625729,0.0518867924528302,96,NA,NA,NA
PstI.TP85647,10,60886778,0.00201347500146045,0.0566037735849056,96,NA,NA,NA
PstI.TP459896,11,    3510,0.00217316014915243,0.0801886792452831,96,NA,NA,NA
PstI.TP521834,4,53924496,0.00227071597307676,0.0707547169811321,96,NA,NA,NA
PstI.TP246329,3,29389536,0.00247728414036564,0.0141509433962265,96,NA,NA,NA
NsiI.TP493151,3, 3481929,0.00248863140588762,0.0613207547169812,96,NA,NA,NA
PstI.TP245404,1,79960134,0.00251413584737244,0.150943396226415,96,NA,NA,NA
PstI.TP413677,11,    3201,0.00267664142932096,0.0990566037735849,96,NA,NA,NA
PstI.TP1159423,11,    8140,0.0027700699582623,0.405660377358491,96,NA,NA,NA
PstI.TP133700,2,57163911,0.00278456330315752,0.0283018867924528,96,NA,NA,NA
NsiI.TP688992,4,66776482,0.00286842395742483,0.0754716981132075,96,NA,NA,NA
NsiI.TP521254,5,58096704,0.0028862035270326,0.0471698113207547,96,NA,NA,NA
PstI.TP63668,11,     530,0.00289883452668186,0.165094339622642,96,NA,NA,NA
NsiI.TP37044,11,    9562,0.00292707531959992,0.0283018867924528,96,NA,NA,NA
PstI.TP212672,2,65281161,0.00301593708872266,0.0330188679245284,96,NA,NA,NA
NsiI.TP152407,2,59441712,0.00308971989298823,0.0707547169811321,96,NA,NA,NA
PstI.TP570804,4, 4364673,0.00335443322996109,0.35377358490566,96,NA,NA,NA
NsiI.TP634700,7,56479768,0.00338401126171968,0.0613207547169812,96,NA,NA,NA
PstI.TP857720,4,67675201,0.00343871476971386,0.0660377358490566,96,NA,NA,NA
NsiI.TP494269,4,11587228,0.00345998219267087,0.127358490566038,96,NA,NA,NA
PstI.TP746826,5, 1609271,0.00356541085474243,0.0283018867924528,96,NA,NA,NA
PstI.TP188641,3, 6088178,0.00356728133042403,0.141509433962264,96,NA,NA,NA
PstI.TP865711,11,    6040,0.00378682194118117,0.481132075471698,96,NA,NA,NA
NsiI.TP560012,11,   16067,0.00397697302931874,0.297169811320755,96,NA,NA,NA
PstI.TP301119,11,    2374,0.00401230920064255,0.0754716981132075,96,NA,NA,NA
PstI.TP1129352,10, 4682258,0.00404753175291708,0.0849056603773585,96,NA,NA,NA
NsiI.TP416267,4,61378609,0.00418227253181894,0.0188679245283019,96,NA,NA,NA
NsiI.TP545621,10,43191875,0.00422234537339037,0.0613207547169812,96,NA,NA,NA
PstI.TP643379,3, 5147929,0.00445278083172068,0.0660377358490566,96,NA,NA,NA
PstI.TP105605,3,54845915,0.00445962247810978,0.0849056603773585,96,NA,NA,NA
NsiI.TP210953,1,17586467,0.00450921836995717,0.0518867924528302,96,NA,NA,NA
PstI.TP262001,6,54443824,0.00464887160960888,0.278301886792453,96,NA,NA,NA
PstI.TP1200707,4,58878410,0.0048750142445327,0.0613207547169812,96,NA,NA,NA
PstI.TP1030217,3, 1141809,0.00509809271429796,0.174528301886792,96,NA,NA,NA
PstI.TP772632,2,65920887,0.00530362554544642,0.179245283018868,96,NA,NA,NA
