"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"6","Trait21","mrMLM","NsiI.TP102967"," 1"," 6105258","-0.0999","4.7671","5.553644","11.3440","0.2857","A","0.0174","0.0862"
"6","Trait21","mrMLM","PstI.TP661215"," 3","54129611"," 0.0863","3.8733","4.618497"," 8.5117","0.2188","A","",""
"6","Trait21","mrMLM","PstI.TP876839"," 4"," 6887064"," 0.1453","3.7323","4.470180","16.2696","0.4062","C","",""
"6","Trait21","mrMLM","PstI.TP1281114"," 4","59340580","-0.1103","7.2756","8.148054"," 5.7053","0.3571","A","",""
"6","Trait21","mrMLM","PstI.TP133136"," 5","65324990"," 0.0827","3.5602","4.288798"," 2.9855","0.2232","C","",""
"6","Trait21","mrMLM","NsiI.TP245163"," 5","55180573","-0.1224","7.8439","8.731838","17.3734","0.3884","A","",""
"6","Trait21","mrMLM","PstI.TP1052140"," 6","19137861"," 0.1525","3.9146","4.661893"," 3.6513","0.1027","A","",""
"6","Trait21","mrMLM","PstI.TP132767"," 9","59409499","-0.1985","6.8798","7.740774"," 0.0000","0.2768","A","",""
"6","Trait21","mrMLM","NsiI.TP616446"," 9","56031936","-0.0746","6.3494","7.193964"," 6.0043","0.4866","C","",""
"6","Trait21","mrMLM","NsiI.TP301361","10"," 8099842"," 0.1008","5.6758","6.497544"," 4.4392","0.1786","G","",""
