"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"fprinM","mrMLM","PstI.TP622176",3,65129470,0.000000820797452774347
"2",2,"fprinM","mrMLM","NsiI.TP825923",6,52448208,0.0000000731918964232725
"3",3,"fprinM","mrMLM","NsiI.TP607068",8,1666575,0.000000368708372903789
"4",4,"fprinM","mrMLM","NsiI.TP810192",8,2563502,0.000000246179565027416
"5",5,"fprinM","mrMLM","NsiI.TP616446",9,56031936,0.000179120791649218
"6",6,"fprinM","FASTmrMLM","NsiI.TP257077",1,6103539,0.0000000460150607789058
"7",7,"fprinM","FASTmrMLM","NsiI.TP102967",1,6105258,0
"8",8,"fprinM","FASTmrMLM","PstI.TP662300",1,9383388,0
"9",9,"fprinM","FASTmrMLM","PstI.TP713933",1,25304804,0
"10",10,"fprinM","FASTmrMLM","NsiI.TP425431",1,29611471,0
"11",11,"fprinM","FASTmrMLM","NsiI.TP30868",1,51136397,0
"12",12,"fprinM","FASTmrMLM","NsiI.TP413314",1,58050134,0
"13",13,"fprinM","FASTmrMLM","PstI.TP502131",1,59426545,0
"14",14,"fprinM","FASTmrMLM","PstI.TP929267",1,63290479,0.000000000134462134153449
"15",15,"fprinM","FASTmrMLM","PstI.TP820348",1,64116607,0
"16",16,"fprinM","FASTmrMLM","PstI.TP537292",1,78162057,0
"17",17,"fprinM","FASTmrMLM","PstI.TP640960",1,80209769,0
"18",18,"fprinM","FASTmrMLM","PstI.TP360841",2,2832783,0.00000352858025828527
"19",19,"fprinM","FASTmrMLM","NsiI.TP765685",2,16612091,0.0000000419662342039831
"20",20,"fprinM","FASTmrMLM","NsiI.TP205114",2,58611885,0
"21",21,"fprinM","FASTmrMLM","PstI.TP210905",2,72650615,0.0000000000000126561029820636
"22",22,"fprinM","FASTmrMLM","NsiI.TP777037",2,73985749,0
"23",23,"fprinM","FASTmrMLM","PstI.TP40160",2,77518912,0
"24",24,"fprinM","FASTmrMLM","NsiI.TP436966",3,208286,0
"25",25,"fprinM","FASTmrMLM","PstI.TP1264009",3,2578481,0
"26",26,"fprinM","FASTmrMLM","PstI.TP968973",3,2980616,0
"27",27,"fprinM","FASTmrMLM","NsiI.TP775735",3,13550015,0.000000000000000333042762308747
"28",28,"fprinM","FASTmrMLM","PstI.TP661215",3,54129611,0
"29",29,"fprinM","FASTmrMLM","NsiI.TP299172",3,55365719,0.000111480780336384
"30",30,"fprinM","FASTmrMLM","NsiI.TP123780",3,55955099,0
"31",31,"fprinM","FASTmrMLM","NsiI.TP215974",3,56338222,0
"32",32,"fprinM","FASTmrMLM","NsiI.TP441453",3,57267022,0
"33",33,"fprinM","FASTmrMLM","NsiI.TP496851",3,61267172,0
"34",34,"fprinM","FASTmrMLM","PstI.TP513949",3,61369495,0
"35",35,"fprinM","FASTmrMLM","PstI.TP964683",3,64769478,0
"36",36,"fprinM","FASTmrMLM","PstI.TP622176",3,65129470,0
"37",37,"fprinM","FASTmrMLM","PstI.TP918301",3,66190813,0
"38",38,"fprinM","FASTmrMLM","GFSSContig11128_893",3,69715214,0
"39",39,"fprinM","FASTmrMLM","PstI.TP621994",3,74383503,0
"40",40,"fprinM","FASTmrMLM","PstI.TP532669",4,3498516,0
"41",41,"fprinM","FASTmrMLM","NsiI.TP34695",4,6508508,0
"42",42,"fprinM","FASTmrMLM","PstI.TP876839",4,6887064,0
"43",43,"fprinM","FASTmrMLM","GFk45ctg179201_418",4,22559183,0
"44",44,"fprinM","FASTmrMLM","NsiI.TP821811",4,48427329,0
"45",45,"fprinM","FASTmrMLM","NsiI.TP324593",4,54954569,0
"46",46,"fprinM","FASTmrMLM","NsiI.TP205267",4,64749548,0
"47",47,"fprinM","FASTmrMLM","PstI.TP133136",5,65324990,0
"48",48,"fprinM","FASTmrMLM","PstI.TP1052140",6,19137861,0.00013055695126911
"49",49,"fprinM","FASTmrMLM","NsiI.TP211131",6,32284894,0
