"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"116","GHW_1","SUPER","PstI.TP1107519",9,3315165,2.03936586964112e-05
"116","GHW_1","SUPER","PstI.TP85647",10,60886778,1.96339172223932e-05
"116","GHW_1","SUPER","PstI.TP245404",1,79960134,4.75122383137683e-05
"116","GHW_1","SUPER","NsiI.TP533643",3,471619,9.97160222556385e-06
"116","GHW_1","SUPER","NsiI.TP45036",3,389776,9.9716022255188e-06
"116","GHW_1","SUPER","PstI.TP217258",3,3992070,2.96083722842139e-05
"116","GHW_1","SUPER","PstI.TP1000873",7,57426488,2.96152675680603e-05
"116","GHW_1","SUPER","PstI.TP762971",11,5268,2.65652320467028e-05
"116","GHW_1","SUPER","NsiI.TP502976",3,7719502,1.8771839062994e-05
"116","GHW_1","SUPER","PstI.TP168720",4,64338756,4.54247697607658e-05
"116","GHW_1","SUPER","PstI.TP831823",10,52577215,3.17800747745335e-05
"116","GHW_1","SUPER","NsiI.TP210953",1,17586467,8.08024599966266e-05
