"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"116","HW_50","mrMLM","PstI.TP532426",7,64966356,4.19513556949904e-07
"116","HW_50","mrMLM","PstI.TP1159423",11,8140,7.52218482297542e-07
"116","HW_50","FASTmrEMMA","PstI.TP532426",7,64966356,6.05062169158296e-05
"116","HW_50","FASTmrEMMA","PstI.TP1159423",11,8140,2.12813904598271e-07
"116","HW_50","pLARmEB","PstI.TP1268585",1,2988383,0
"116","HW_50","pLARmEB","PstI.TP629259",1,4276027,0
"116","HW_50","pLARmEB","PstI.TP947391",1,4891496,0
"116","HW_50","pLARmEB","PstI.TP476949",1,5536792,0
"116","HW_50","pLARmEB","PstI.TP308053",1,8330660,0
"116","HW_50","pLARmEB","PstI.TP419952",1,13194145,0
"116","HW_50","pLARmEB","NsiI.TP210953",1,17586467,0
"116","HW_50","pLARmEB","PstI.TP460935",1,18308167,0
"116","HW_50","pLARmEB","PstI.TP288641",1,27158173,0
"116","HW_50","pLARmEB","PstI.TP1282088",1,57117988,0
"116","HW_50","pLARmEB","PstI.TP968463",1,57418406,0
"116","HW_50","pLARmEB","PstI.TP502131",1,59426545,0
"116","HW_50","pLARmEB","PstI.TP457393",1,60097068,0
"116","HW_50","pLARmEB","PstI.TP308061",1,60402946,0
"116","HW_50","pLARmEB","PstI.TP530837",1,65836675,0
"116","HW_50","pLARmEB","PstI.TP687743",1,69969234,0
"116","HW_50","pLARmEB","PstI.TP901545",1,71391273,0
"116","HW_50","pLARmEB","PstI.TP352846",1,71717994,0
"116","HW_50","pLARmEB","NsiI.TP499934",1,76362422,0
"116","HW_50","pLARmEB","PstI.TP245404",1,79960134,0
"116","HW_50","pLARmEB","PstI.TP576366",2,375350,0
"116","HW_50","pLARmEB","PstI.TP360841",2,2832783,0
"116","HW_50","pLARmEB","PstI.TP972096",2,3042190,0
"116","HW_50","pLARmEB","PstI.TP749310",2,9525754,0
"116","HW_50","pLARmEB","PstI.TP1122752",2,56295956,0
"116","HW_50","pLARmEB","PstI.TP133700",2,57163911,0
"116","HW_50","pLARmEB","PstI.TP249296",2,57415075,0
"116","HW_50","pLARmEB","NsiI.TP351136",2,61077854,0
"116","HW_50","pLARmEB","PstI.TP548709",2,61335066,0
"116","HW_50","pLARmEB","PstI.TP634696",2,61336578,0
"116","HW_50","pLARmEB","PstI.TP641744",2,61738293,0
"116","HW_50","pLARmEB","PstI.TP772632",2,65920887,0
"116","HW_50","pLARmEB","PstI.TP1231486",2,73904492,0
"116","HW_50","pLARmEB","PstI.TP541575",2,74276308,0
"116","HW_50","pLARmEB","NsiI.TP436966",3,208286,0
"116","HW_50","pLARmEB","PstI.TP241235",3,9336109,0
"116","HW_50","pLARmEB","PstI.TP211419",3,12715735,0
"116","HW_50","pLARmEB","PstI.TP731882",3,19716780,0
"116","HW_50","pLARmEB","PstI.TP246329",3,29389536,0
"116","HW_50","pLARmEB","PstI.TP325958",3,54129415,0
"116","HW_50","pLARmEB","PstI.TP985838",3,58380810,0
"116","HW_50","pLARmEB","NsiI.TP529124",3,63127607,0
"116","HW_50","pLARmEB","PstI.TP770204",3,67523376,0
"116","HW_50","pLARmEB","PstI.TP568461",3,74315454,0
"116","HW_50","pLARmEB","PstI.TP708955",4,2043677,0
"116","HW_50","pLARmEB","PstI.TP532669",4,3498516,0
"116","HW_50","pLARmEB","PstI.TP504809",4,5155593,0
"116","HW_50","pLARmEB","PstI.TP1210085",4,5549411,0
"116","HW_50","pLARmEB","PstI.TP248632",4,6371322,0
"116","HW_50","pLARmEB","PstI.TP213688",4,57521992,0
"116","HW_50","pLARmEB","PstI.TP875866",4,64992383,0
"116","HW_50","pLARmEB","PstI.TP935651",4,66370793,0
"116","HW_50","pLARmEB","PstI.TP805691",4,66925540,0
"116","HW_50","pLARmEB","PstI.TP569914",5,1262747,0
"116","HW_50","pLARmEB","PstI.TP979536",5,2060722,0
"116","HW_50","pLARmEB","NsiI.TP421034",5,71242059,0
"116","HW_50","pLARmEB","PstI.TP404885",6,51199851,0
"116","HW_50","pLARmEB","PstI.TP942201",6,51864974,0
"116","HW_50","pLARmEB","NsiI.TP652621",6,56522972,0
"116","HW_50","pLARmEB","PstI.TP788586",6,57442567,0
"116","HW_50","pLARmEB","PstI.TP639463",6,60717357,0
"116","HW_50","pLARmEB","PstI.TP1056336",6,60888540,0
"116","HW_50","pLARmEB","PstI.TP822493",7,8114551,0
"116","HW_50","pLARmEB","PstI.TP450060",7,8209747,0
"116","HW_50","pLARmEB","PstI.TP780884",7,54360893,0
"116","HW_50","pLARmEB","PstI.TP838226",7,56380657,0
"116","HW_50","pLARmEB","PstI.TP624170",7,56509983,0
"116","HW_50","pLARmEB","PstI.TP1254872",7,56573064,0
"116","HW_50","pLARmEB","PstI.TP780069",7,60189505,0
"116","HW_50","pLARmEB","PstI.TP1274931",7,61404400,0
"116","HW_50","pLARmEB","PstI.TP195962",7,63734553,0
"116","HW_50","pLARmEB","PstI.TP532426",7,64966356,0
"116","HW_50","pLARmEB","PstI.TP350262",8,2905616,0
"116","HW_50","pLARmEB","PstI.TP1118313",8,3139823,0
"116","HW_50","pLARmEB","PstI.TP417854",8,3908674,0
"116","HW_50","pLARmEB","PstI.TP1064216",8,19305443,0
"116","HW_50","pLARmEB","NsiI.TP179941",8,55948810,0
"116","HW_50","pLARmEB","PstI.TP373660",8,62666468,0
"116","HW_50","pLARmEB","PstI.TP654004",9,2357362,0
"116","HW_50","pLARmEB","PstI.TP1107519",9,3315165,0
"116","HW_50","pLARmEB","PstI.TP998803",9,51615898,0
"116","HW_50","pLARmEB","NsiI.TP663012",9,52480175,0
"116","HW_50","pLARmEB","NsiI.TP229964",9,54430662,0
"116","HW_50","pLARmEB","PstI.TP1104589",9,56629291,0
"116","HW_50","pLARmEB","NsiI.TP66114",9,57265279,0
"116","HW_50","pLARmEB","PstI.TP91666",9,57446168,0
"116","HW_50","pLARmEB","PstI.TP312460",9,59408883,0
"116","HW_50","pLARmEB","PstI.TP1156107",10,4914081,0
"116","HW_50","pLARmEB","PstI.TP831544",10,5137704,0
"116","HW_50","pLARmEB","PstI.TP149587",10,7615825,0
"116","HW_50","pLARmEB","PstI.TP719659",10,54993631,0
"116","HW_50","pLARmEB","PstI.TP248498",10,57422064,0
"116","HW_50","pLARmEB","PstI.TP85647",10,60886778,0
"116","HW_50","pLARmEB","PstI.TP65497",11,546,0
"116","HW_50","pLARmEB","PstI.TP96953",11,798,0
"116","HW_50","pLARmEB","PstI.TP160752",11,1322,0
"116","HW_50","pLARmEB","PstI.TP177166",11,1456,0
"116","HW_50","pLARmEB","PstI.TP201653",11,1648,0
"116","HW_50","pLARmEB","PstI.TP394317",11,3076,0
"116","HW_50","pLARmEB","PstI.TP444076",11,3404,0
"116","HW_50","pLARmEB","PstI.TP490779",11,3725,0
"116","HW_50","pLARmEB","PstI.TP527171",11,3934,0
"116","HW_50","pLARmEB","PstI.TP692748",11,4800,0
"116","HW_50","pLARmEB","PstI.TP762971",11,5268,0
"116","HW_50","pLARmEB","PstI.TP897375",11,6255,0
"116","HW_50","pLARmEB","PstI.TP919648",11,6431,0
"116","HW_50","pLARmEB","PstI.TP937213",11,6556,0
"116","HW_50","pLARmEB","PstI.TP938416",11,6563,0
"116","HW_50","pLARmEB","PstI.TP1071296",11,7466,0
"116","HW_50","pLARmEB","PstI.TP1124649",11,7892,0
"116","HW_50","pLARmEB","PstI.TP1159423",11,8140,0
"116","HW_50","pLARmEB","PstI.TP1175461",11,8280,0
"116","HW_50","pLARmEB","PstI.TP1250222",11,8799,0
"116","HW_50","pLARmEB","NsiI.TP66747",11,9923,0
"116","HW_50","pLARmEB","NsiI.TP560012",11,16067,0
"116","HW_50","ISIS EM-BLASSO","PstI.TP246329",3,29389536,2.84118818498324e-06
"116","HW_50","ISIS EM-BLASSO","PstI.TP935651",4,66370793,7.68953361845664e-05
"116","HW_50","ISIS EM-BLASSO","PstI.TP532426",7,64966356,0.000189583265694711
"116","HW_50","ISIS EM-BLASSO","NsiI.TP179941",8,55948810,0.000113815130319957
