"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"116","FW_1","mrMLM","PstI.TP532426",7,64966356,2.38159001045204e-06
"116","FW_1","mrMLM","PstI.TP1159423",11,8140,2.71555748059763e-05
"116","FW_1","FASTmrMLM","PstI.TP576366",2,375350,6.89286860731845e-05
"116","FW_1","FASTmrEMMA","PstI.TP457393",1,60097068,2.55211358913023e-06
"116","FW_1","FASTmrEMMA","PstI.TP1159423",11,8140,4.9328737449465e-05
"116","FW_1","pLARmEB","PstI.TP1268585",1,2988383,0
"116","FW_1","pLARmEB","PstI.TP770895",1,13263569,2.76312161365202e-08
"116","FW_1","pLARmEB","PstI.TP460935",1,18308167,1.03538054441475e-06
"116","FW_1","pLARmEB","PstI.TP288641",1,27158173,0
"116","FW_1","pLARmEB","PstI.TP502131",1,59426545,0
"116","FW_1","pLARmEB","PstI.TP457393",1,60097068,1.087677137631e-10
"116","FW_1","pLARmEB","PstI.TP308061",1,60402946,0
"116","FW_1","pLARmEB","PstI.TP530837",1,65836675,6.5508853693861e-05
"116","FW_1","pLARmEB","NsiI.TP117758",1,66087512,1.42265632813718e-11
"116","FW_1","pLARmEB","NsiI.TP575744",1,66841969,1.35269535901304e-05
"116","FW_1","pLARmEB","PstI.TP687743",1,69969234,2.38506379546511e-05
"116","FW_1","pLARmEB","PstI.TP901545",1,71391273,2.51593837869272e-13
"116","FW_1","pLARmEB","PstI.TP843008",1,77620090,0
"116","FW_1","pLARmEB","PstI.TP172804",1,79485436,1.63192426510562e-14
"116","FW_1","pLARmEB","PstI.TP245404",1,79960134,9.14744906671499e-06
"116","FW_1","pLARmEB","PstI.TP360841",2,2832783,9.51919010332286e-05
"116","FW_1","pLARmEB","PstI.TP972096",2,3042190,0
"116","FW_1","pLARmEB","PstI.TP883579",2,47758114,1.76116481326357e-07
"116","FW_1","pLARmEB","PstI.TP1122752",2,56295956,4.28153994337418e-11
"116","FW_1","pLARmEB","PstI.TP133700",2,57163911,1.34338346966036e-14
"116","FW_1","pLARmEB","PstI.TP738881",2,57512325,9.37130343067605e-05
"116","FW_1","pLARmEB","NsiI.TP351136",2,61077854,1.3369033144728e-11
"116","FW_1","pLARmEB","PstI.TP548709",2,61335066,7.309707518686e-11
"116","FW_1","pLARmEB","PstI.TP634696",2,61336578,1.53992652605949e-13
"116","FW_1","pLARmEB","PstI.TP641744",2,61738293,0
"116","FW_1","pLARmEB","PstI.TP772632",2,65920887,0
"116","FW_1","pLARmEB","PstI.TP1231486",2,73904492,1.39894293717817e-14
"116","FW_1","pLARmEB","PstI.TP541575",2,74276308,3.84768933893789e-12
"116","FW_1","pLARmEB","NsiI.TP436966",3,208286,0.000112382839262493
"116","FW_1","pLARmEB","PstI.TP246329",3,29389536,1.10943024160783e-11
"116","FW_1","pLARmEB","PstI.TP308868",3,50361949,1.75186243420856e-08
"116","FW_1","pLARmEB","PstI.TP325958",3,54129415,3.33042762308747e-16
"116","FW_1","pLARmEB","PstI.TP28134",3,56267653,1.04688746554909e-09
"116","FW_1","pLARmEB","PstI.TP269566",3,63644939,1.67109061431071e-06
"116","FW_1","pLARmEB","NsiI.TP173658",3,64787835,0
"116","FW_1","pLARmEB","PstI.TP770204",3,67523376,0
"116","FW_1","pLARmEB","PstI.TP568461",3,74315454,5.96897829954636e-06
"116","FW_1","pLARmEB","PstI.TP532669",4,3498516,0
"116","FW_1","pLARmEB","PstI.TP337951",4,40615943,6.14186123406301e-13
"116","FW_1","pLARmEB","PstI.TP152056",5,64031521,1.27320987985297e-12
"116","FW_1","pLARmEB","PstI.TP716101",6,47677795,0
"116","FW_1","pLARmEB","PstI.TP942201",6,51864974,4.38026111170361e-09
"116","FW_1","pLARmEB","NsiI.TP652621",6,56522972,8.67361218401464e-06
"116","FW_1","pLARmEB","PstI.TP939692",6,57716221,5.33089342236701e-07
"116","FW_1","pLARmEB","PstI.TP1254872",7,56573064,7.78036551039804e-08
"116","FW_1","pLARmEB","PstI.TP780069",7,60189505,0
"116","FW_1","pLARmEB","PstI.TP350262",8,2905616,3.11745361303127e-06
"116","FW_1","pLARmEB","NsiI.TP179941",8,55948810,2.4049164887444e-11
"116","FW_1","pLARmEB","PstI.TP700381",8,56933270,2.04927385838025e-09
"116","FW_1","pLARmEB","PstI.TP1107519",9,3315165,6.66192900223457e-16
"116","FW_1","pLARmEB","NsiI.TP663012",9,52480175,7.76068399701105e-08
"116","FW_1","pLARmEB","PstI.TP583995",10,3085156,9.18544074724686e-05
"116","FW_1","pLARmEB","PstI.TP831544",10,5137704,1.2348096078586e-05
"116","FW_1","pLARmEB","PstI.TP604956",10,5628757,6.12914647087552e-06
"116","FW_1","pLARmEB","PstI.TP809778",10,8543510,1.15984512119017e-06
"116","FW_1","pLARmEB","PstI.TP831823",10,52577215,4.57404044030042e-14
"116","FW_1","pLARmEB","PstI.TP248498",10,57422064,0
"116","FW_1","pLARmEB","PstI.TP27966",11,215,0
"116","FW_1","pLARmEB","PstI.TP65497",11,546,1.28884294916022e-08
"116","FW_1","pLARmEB","PstI.TP96953",11,798,0
"116","FW_1","pLARmEB","PstI.TP444076",11,3404,0
"116","FW_1","pLARmEB","PstI.TP490779",11,3725,8.65964323360065e-15
"116","FW_1","pLARmEB","PstI.TP527171",11,3934,0
"116","FW_1","pLARmEB","PstI.TP610743",11,4310,2.65521687787266e-12
"116","FW_1","pLARmEB","PstI.TP690712",11,4775,1.67417171390712e-10
"116","FW_1","pLARmEB","PstI.TP865711",11,6040,4.19758983991007e-13
