"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"116","GFW_50","mrMLM","PstI.TP532426",7,64966356,2.86003929446235e-07
"116","GFW_50","mrMLM","PstI.TP1159423",11,8140,1.08842372555556e-06
"116","GFW_50","FASTmrEMMA","PstI.TP1159423",11,8140,1.0782016695999e-05
"116","GFW_50","pLARmEB","NsiI.TP440927",1,20252244,0.000104159767064526
"116","GFW_50","pLARmEB","NsiI.TP499934",1,76362422,7.65949258372888e-05
"116","GFW_50","pLARmEB","PstI.TP172804",1,79485436,8.20918418869903e-08
"116","GFW_50","pLARmEB","PstI.TP360841",2,2832783,4.27956867530053e-05
"116","GFW_50","pLARmEB","PstI.TP1122752",2,56295956,1.3471005082758e-06
"116","GFW_50","pLARmEB","PstI.TP133700",2,57163911,0.000123111890396378
"116","GFW_50","pLARmEB","PstI.TP1231486",2,73904492,5.68067574106773e-05
"116","GFW_50","pLARmEB","PstI.TP1226186",3,7342289,0.00014753667784066
"116","GFW_50","pLARmEB","PstI.TP731882",3,19716780,6.45505578769006e-06
"116","GFW_50","pLARmEB","PstI.TP325958",3,54129415,0.000141416472507015
"116","GFW_50","pLARmEB","PstI.TP41440",3,59899767,6.22013771274486e-05
"116","GFW_50","pLARmEB","PstI.TP770204",3,67523376,4.78299580535816e-05
"116","GFW_50","pLARmEB","PstI.TP568461",3,74315454,1.18440436699717e-06
"116","GFW_50","pLARmEB","PstI.TP707030",4,55665489,4.98884487460013e-06
"116","GFW_50","pLARmEB","PstI.TP935651",4,66370793,9.99309463002592e-16
"116","GFW_50","pLARmEB","NsiI.TP652621",6,56522972,1.65424564505773e-06
"116","GFW_50","pLARmEB","PstI.TP532426",7,64966356,7.7642587471211e-09
"116","GFW_50","pLARmEB","NsiI.TP179941",8,55948810,2.25995608443437e-07
"116","GFW_50","pLARmEB","PstI.TP654004",9,2357362,2.66011247574194e-07
"116","GFW_50","pLARmEB","PstI.TP831544",10,5137704,1.0634081880997e-06
"116","GFW_50","pLARmEB","PstI.TP719659",10,54993631,5.58084550405414e-05
"116","GFW_50","pLARmEB","PstI.TP444076",11,3404,7.1088606313049e-08
"116","GFW_50","pLARmEB","PstI.TP897375",11,6255,1.46116748702099e-05
"116","GFW_50","pLARmEB","PstI.TP1159423",11,8140,2.60075834096443e-09
"116","GFW_50","pLARmEB","PstI.TP1175461",11,8280,7.43361389655178e-08
"116","GFW_50","ISIS EM-BLASSO","PstI.TP772632",2,65920887,3.8886602433123e-05
"116","GFW_50","ISIS EM-BLASSO","PstI.TP935651",4,66370793,1.80135786466914e-05
"116","GFW_50","ISIS EM-BLASSO","PstI.TP532426",7,64966356,0.000195794279987706
"116","GFW_50","FarmCPU","PstI.TP762318",2,61355207,1.07556102728362e-06
"116","GFW_50","FarmCPU","PstI.TP457393",1,60097068,1.12102120625517e-06
"116","GFW_50","FarmCPU","NsiI.TP551839",11,15945,1.40029837702384e-06
