"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","NsiI.TP403662","1"," 3957731"," 0.2266","6.5303","7.380602","12.7276","0.0175","A","0.0457","0.093"
"1","Trait1","mrMLM","PstI.TP994295","1","15000089","-0.2224","4.8194","5.608134","22.3591","0.2412","C","",""
"1","Trait1","mrMLM","NsiI.TP624872","4","60455775","-0.3491","3.9834","4.734141","12.5080","0.4693","G","",""
"1","Trait1","mrMLM","PstI.TP727705","4"," 2828636"," 0.1693","4.0376","4.791019","11.5805","0.3114","C","",""
"1","Trait1","mrMLM","NsiI.TP440500","9","59299455","-0.2985","4.0764","4.831715","20.1715","0.4254","C","",""
"1","Trait1","FASTmrMLM","PstI.TP994295","1","15000089","-0.1725","4.03","4.783","20.5044","0.2414","C","0.0622","0.093"
"1","Trait1","FASTmrMLM","NsiI.TP267317","1","63808055","-0.0874","3.6165","4.3482","5.17","0.0862","C","",""
"1","Trait1","FASTmrMLM","PstI.TP727705","4","2828636","0.1092","3.2176","3.9264","7.342","0.306","C","",""
"1","Trait1","FASTmrMLM","NsiI.TP624872","4","60455775","-0.2502","3.0551","3.7539","9.8042","0.4698","G","",""
"1","Trait1","pLARmEB","PstI.TP994295","1","15000089","-0.0275","3.0227","3.7194","0.3808","0.2414","C","0.0528","0.093"
"1","Trait1","pLARmEB","PstI.TP732464","3","74132330","-0.1103","3.4137","4.1341","4.7192","0.2888","A","",""
"1","Trait1","pLARmEB","NsiI.TP624872","4","60455775","-0.1757","3.4373","4.159","3.5401","0.4698","G","",""
"1","Trait1","pLARmEB","NsiI.TP83928","6","48792860","-0.1245","4.5271","5.3033","7.2446","0.2716","G","",""
"1","Trait1","pLARmEB","NsiI.TP440500","9","59299455","-0.2105","4.7767","5.5636","11.2071","0.4267","C","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP267317","1","63808055","-0.1318","3.6842","4.4195","13.6894","0.0862","C","0.0504","0.093"
"1","Trait1","ISIS EM-BLASSO","PstI.TP732464","3","74132330","-0.1033","3.048","3.7463","6.5717","0.2888","A","",""
"1","Trait1","ISIS EM-BLASSO","NsiI.TP83928","6","48792860","-0.1041","4.1067","4.8635","8.0359","0.2716","G","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP699168","8","2542291","-0.2397","3.5889","4.3191","11.8531","0.4655","C","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP798504","8","58863921","0.0688","3.0291","3.7262","3.476","0.1034","C","",""
