"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","SNP effect","-log10(P)","Genotype for code 1"
"1","Trait1","mrMLM","PstI.TP506588","1","80675","-6.4426e-06","0.0014","C"
"1","Trait1","mrMLM","PstI.TP863331","1","161269","-3.7869e-06","8e-04","A"
"1","Trait1","mrMLM","PstI.TP424788","1","263370","1.2454e-05","0.0028","A"
"1","Trait1","mrMLM","PstI.TP931820","1","284314","-9.9172e-06","0.0022","A"
"1","Trait1","mrMLM","NsiI.TP148773","1","285352","-1.5921e-05","0.0036","A"
"1","Trait1","mrMLM","PstI.TP1106845","1","416796","-1.0324e-05","0.0023","A"
"1","Trait1","mrMLM","PstI.TP999740","1","569491","-3.2103e-06","7e-04","A"
"1","Trait1","mrMLM","NsiI.TP585976","1","829048","-1.5236e-05","0.0034","C"
"1","Trait1","mrMLM","PstI.TP1152021","1","865447","1.0775e-05","0.0024","A"
"1","Trait1","mrMLM","PstI.TP716618","1","918921","1.7512e-05","0.0039","G"
"1","Trait1","mrMLM","PstI.TP1246584","1","1015480","-0.0738","1.277","C"
"1","Trait1","mrMLM","PstI.TP354591","1","1050082","3.4992e-05","0.0079","C"
"1","Trait1","mrMLM","PstI.TP856852","1","1153760","2.9946e-05","0.0067","G"
"1","Trait1","mrMLM","PstI.TP775725","1","1175417","-0.0599","0.5535","A"
"1","Trait1","mrMLM","NsiI.TP72077","1","1422420","-2.1693e-05","0.0049","A"
"1","Trait1","mrMLM","NsiI.TP796534","1","1682668","-1.3639e-05","0.003","A"
"1","Trait1","mrMLM","PstI.TP929619","1","1952038","-1.4456e-06","3e-04","A"
"1","Trait1","mrMLM","PstI.TP417865","1","2030761","4.705e-06","0.001","C"
"1","Trait1","mrMLM","NsiI.TP666080","1","2031570","-2.0521e-05","0.0046","C"
"1","Trait1","mrMLM","PstI.TP885267","1","2084430","-2.3121e-05","0.0052","A"
"1","Trait1","mrMLM","PstI.TP56795","1","2315051","-0.0434","0.2289","G"
"1","Trait1","mrMLM","PstI.TP966432","1","2596832","-5.7648e-06","0.0013","A"
"1","Trait1","mrMLM","PstI.TP441536","1","2816855","-0.0597","1.1117","C"
"1","Trait1","mrMLM","PstI.TP1085601","1","2820903","0.0548","0.4715","A"
"1","Trait1","mrMLM","PstI.TP525202","1","2884119","-2.7529e-05","0.0062","A"
"1","Trait1","mrMLM","PstI.TP1268585","1","2988383","0.0062","0.1185","C"
"1","Trait1","mrMLM","PstI.TP59735","1","3027630","1.1508e-06","3e-04","A"
"1","Trait1","mrMLM","PstI.TP849876","1","3050119","1.7521e-05","0.0039","C"
"1","Trait1","mrMLM","PstI.TP209693","1","3305106","6.9172e-06","0.0015","A"
"1","Trait1","mrMLM","PstI.TP626124","1","3342723","0.1834","1.1802","A"
"1","Trait1","mrMLM","PstI.TP1059573","1","3357749","-2.7298e-05","0.0061","A"
"1","Trait1","mrMLM","NsiI.TP504485","1","3381640","-8.9705e-06","0.002","A"
"1","Trait1","mrMLM","PstI.TP1244443","1","3397749","0.0424","0.4881","C"
"1","Trait1","mrMLM","PstI.TP1199997","1","3471828","0.2104","0.9956","C"
"1","Trait1","mrMLM","PstI.TP757375","1","3471897","2.3749e-06","5e-04","A"
"1","Trait1","mrMLM","PstI.TP726521","1","3535515","-0.1773","1.414","C"
"1","Trait1","mrMLM","PstI.TP374511","1","3576636","1.603e-06","4e-04","A"
"1","Trait1","mrMLM","PstI.TP1267977","1","3576713","-2.2528e-05","0.005","A"
"1","Trait1","mrMLM","PstI.TP1155202","1","3620639","0.1512","1.1741","A"
"1","Trait1","mrMLM","PstI.TP961085","1","3705536","3.0025e-05","0.0067","A"
"1","Trait1","mrMLM","PstI.TP21889","1","3705780","-1.4583e-05","0.0033","A"
"1","Trait1","mrMLM","PstI.TP1053336","1","3955998","2.9408e-05","0.0066","A"
"1","Trait1","mrMLM","NsiI.TP403662","1","3957731","0.1714","2.3673","A"
"1","Trait1","mrMLM","PstI.TP891020","1","4033768","2.4069e-05","0.0054","G"
"1","Trait1","mrMLM","PstI.TP629259","1","4276027","0.0727","1.0989","C"
"1","Trait1","mrMLM","PstI.TP629254","1","4276045","-1.2541e-05","0.0028","A"
"1","Trait1","mrMLM","PstI.TP140451","1","4460094","1.3577e-05","0.003","G"
"1","Trait1","mrMLM","PstI.TP403850","1","4535788","-1.3592e-05","0.003","A"
"1","Trait1","mrMLM","NsiI.TP468762","1","4620729","-0.1166","1.0841","A"
"1","Trait1","mrMLM","PstI.TP307588","1","4762662","-2.7287e-08","6.0689e-06","A"
"1","Trait1","mrMLM","PstI.TP920636","1","4777048","1.3636e-05","0.003","A"
"1","Trait1","mrMLM","PstI.TP947391","1","4891496","0.1496","1.0059","C"
"1","Trait1","mrMLM","PstI.TP683907","1","4900973","0.0143","0.2259","A"
"1","Trait1","mrMLM","PstI.TP402429","1","4990016","0.1612","1.9765","C"
"1","Trait1","mrMLM","PstI.TP1126882","1","5115206","-0.0349","0.2823","A"
"1","Trait1","mrMLM","PstI.TP684655","1","5379329","-1.951e-05","0.0044","A"
"1","Trait1","mrMLM","NsiI.TP556033","1","5459542","2.6777e-05","0.006","C"
