"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"HD_1","mrMLM","NsiI.TP30868",1,51136397,0.00000170021561313474
"2",2,"HD_1","mrMLM","PstI.TP622176",3,65129470,0.000000000172180910477933
"3",3,"HD_1","mrMLM","NsiI.TP825923",6,52448208,0.0000897864912135709
"4",4,"HD_1","mrMLM","NsiI.TP810192",8,2563502,0.0000190467551989449
"5",5,"HD_1","FASTmrMLM","PstI.TP210905",2,72650615,0.00018454402985937
"6",6,"HD_1","FASTmrMLM","PstI.TP661215",3,54129611,0.0000000134431176667131
"7",7,"HD_1","FASTmrMLM","PstI.TP622176",3,65129470,0.0000239607274974557
"8",8,"HD_1","FASTmrMLM","PstI.TP133136",5,65324990,0.000000508627690306437
"9",9,"HD_1","FASTmrMLM","PstI.TP1192081",9,48933732,0.0000110968572677413
"10",10,"HD_1","FASTmrMLM","PstI.TP125419",10,50424324,0.000122715663536708
"11",11,"HD_1","FASTmrMLM","PstI.TP187918",11,1532,0.000000000192752491319094
"12",12,"HD_1","FASTmrMLM","PstI.TP1020545",11,7078,0.000000148013047302082
"13",13,"HD_1","FASTmrMLM","NsiI.TP59527",11,9833,0.000129957096566171
"14",14,"HD_1","FASTmrMLM","NsiI.TP491839",11,15088,0.00000607155592988648
"15",15,"HD_1","FASTmrMLM","NsiI.TP495572",11,15165,0.0000388597497954394
"16",16,"HD_1","pLARmEB","PstI.TP131472",1,7412958,0.0000112356965136437
"17",17,"HD_1","pLARmEB","PstI.TP1052140",6,19137861,0.00000406349752903903
"18",18,"HD_1","pLARmEB","PstI.TP846605",10,61222842,0.000157253384007691
"19",19,"HD_1","pLARmEB","PstI.TP874146",11,6098,0.00000333349647332757
"20",20,"HD_1","pLARmEB","PstI.TP1020545",11,7078,0.0000413713792727351
"21",21,"HD_1","pLARmEB","NsiI.TP767179",11,18585,0.0000000164021205693185
"22",22,"HD_1","ISIS EM-BLASSO","PstI.TP1020545",11,7078,0.0000000318273148217078
"23",23,"HD_1","ISIS EM-BLASSO","NsiI.TP767179",11,18585,0.0000222638362955291
"24",24,"HD_1","FarmCPU","NsiI.TP789014",1,28276920,0.00000000837085479899855
"25",25,"HD_1","FarmCPU","PstI.TP477722",1,65237049,0.000000000202154912640674
"26",26,"HD_1","FarmCPU","PstI.TP114049",3,56021694,0.000000725588733713076
"27",27,"HD_1","FarmCPU","NsiI.TP321836",10,43096218,0.00000000351647828416236
"28",28,"HD_1","FarmCPU","PstI.TP189070",11,1540,0.000000710649868006204
