"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","QTN effect","LOD score","-log10(P)","r2 (%)","MAF","Genotype  for code 1","Var_Error","Var_phen (total)"
"1","Trait1","mrMLM","PstI.TP133988"," 1","74849338","-0.1461"," 4.588"," 5.367"," 9.235","0.1143","A","0.0455","0.098"
"1","Trait1","mrMLM","PstI.TP213479"," 2","63992469"," 0.1839"," 3.062"," 3.761","16.445","0.0571","C","",""
"1","Trait1","mrMLM","NsiI.TP217705"," 3","52086855","-0.1857"," 3.054"," 3.752"," 5.603","0.1607","C","",""
"1","Trait1","mrMLM","PstI.TP998558"," 4","57766875"," 0.2160"," 9.264","10.187","20.392","0.0893","A","",""
"1","Trait1","mrMLM","PstI.TP847211"," 7","64315939","-0.1156"," 3.701"," 4.437"," 5.901","0.4179","A","",""
"1","Trait1","mrMLM","NsiI.TP438615","11","   14236"," 0.5517","10.127","11.067","20.205","0.0179","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP474215","1","77512901","-0.1294","6.0839","6.9198","9.9533","0.3169","A","0.0548","0.098"
"1","Trait1","FASTmrMLM","PstI.TP998558","4","57766875","0.1123","4.4491","5.2218","8.8559","0.088","A","",""
"1","Trait1","FASTmrMLM","PstI.TP754277","5","1988689","-0.125","4.5856","5.3644","1.6668","0.412","A","",""
"1","Trait1","FASTmrMLM","NsiI.TP48279","11","9712","0.2011","5.8124","6.639","25.2841","0.0634","A","",""
