"","Name","Chromosome","Position","OWA"
"11810","NsiI.TP620354",1,2563,0
"27344","PstI.TP453248",1,3988,0
"166","GFSSContig17137_1860",1,35412,0
"167","GFSSContig17137_940",1,36536,0.182873017474317
"18351","PstI.TP1112203",1,63590,0.257827809286792
"28200","PstI.TP506588",1,80675,0
"35866","PstI.TP989644",1,80828,0.0384996800892066
"24978","PstI.TP312105",1,81356,0.101125625101513
"8645","NsiI.TP481742",1,154583,0.304291352968117
"33760","PstI.TP863331",1,161269,0.0443655223997884
"13870","NsiI.TP71772",1,180079,0.897002456350952
"11578","NsiI.TP611047",1,185165,0.990575233551829
"11577","NsiI.TP611046",1,185173,0.251786083749344
"19380","PstI.TP1169914",1,194807,0
"16350","NsiI.TP96063",1,195779,0.896636161236683
"9725","NsiI.TP521153",1,258294,0.166563997365827
"24327","PstI.TP271714",1,262844,0.289621186185031
"26936","PstI.TP424788",1,263370,0
"32801","PstI.TP811380",1,281841,0.354785497260006
"34963","PstI.TP931820",1,284314,0
"7015","NsiI.TP426085",1,284999,0
"1335","NsiI.TP148773",1,285352,0.104757362907044
"1336","NsiI.TP148774",1,285397,0
"24766","PstI.TP301730",1,298129,0.611398486206601
"30972","PstI.TP710662",1,335281,0
"10994","NsiI.TP579900",1,335878,0
"7769","NsiI.TP443857",1,339059,1.72319087391011
"17150","PstI.TP1043924",1,365760,0.384856570958073
"17151","PstI.TP1043926",1,365816,0.168929160645196
"6600","NsiI.TP414280",1,378096,0.398693565489481
"15598","NsiI.TP807695",1,389941,0.0602586441975963
"13287","NsiI.TP687955",1,398596,0
"35262","PstI.TP948856",1,403321,0.318984656945636
"17023","PstI.TP1037554",1,403777,0.377505390333309
"18274","PstI.TP1106845",1,416796,0
"820","NsiI.TP122940",1,430012,0.285785131967455
"13586","NsiI.TP703893",1,450123,0.238312703171472
"16854","PstI.TP1026667",1,480929,0
"6585","NsiI.TP413787",1,481003,0.0649250320238033
"11196","NsiI.TP591161",1,512907,0.254487745439582
"3549","NsiI.TP260303",1,526218,0.156900131562635
"1561","NsiI.TP160827",1,542721,0.347441104603283
"26941","PstI.TP425356",1,569039,0.0386289666722157
"36035","PstI.TP999740",1,569491,0.410046248249104
"22641","PstI.TP184304",1,572620,0.0868833339197124
"18695","PstI.TP1132231",1,588023,0.319458949348407
"28619","PstI.TP536170",1,662254,0.339621524034193
"33602","PstI.TP854736",1,683267,0
"5256","NsiI.TP35313",1,692280,0
"33171","PstI.TP83381",1,713539,0.0316472936000618
"35250","PstI.TP94792",1,731905,0.514647974215178
"35499","PstI.TP968891",1,748410,0
"15535","NsiI.TP802651",1,754114,0.370146338111211
"17048","PstI.TP1039014",1,759496,0.0435192245439074
"20766","PstI.TP1248576",1,760805,0.619876569834845
"3186","NsiI.TP241552",1,773227,0.175465380430286
"3183","NsiI.TP241535",1,773253,0.0624669024223708
"3935","NsiI.TP282375",1,773642,0.0588115337527027
"10549","NsiI.TP559422",1,781613,0.214348366015488
"29090","PstI.TP579974",1,783866,0.0384933312318704
"17975","PstI.TP1090052",1,815564,0.0000144803731369863
"20217","PstI.TP1216290",1,817784,0.435142540689753
"2315","NsiI.TP199750",1,819727,1.22411050684692
"11779","NsiI.TP619705",1,820317,0.302725066099945
"28643","PstI.TP537601",1,822113,0
"11074","NsiI.TP585976",1,829048,0.0934427771172864
"5383","NsiI.TP358960",1,864806,0.044032978116899
"19044","PstI.TP1152021",1,865447,0
"21808","PstI.TP139718",1,866121,0
"11446","NsiI.TP603024",1,882892,0.655663654970906
"23409","PstI.TP2218",1,905152,0.0341421765741179
"6469","NsiI.TP410050",1,907438,0.012155054995195
"6470","NsiI.TP410051",1,907440,0
"31067","PstI.TP716618",1,918921,0
"25596","PstI.TP34534",1,923689,0.651212475082764
"31201","PstI.TP724910",1,925871,0.550817350250618
"26271","PstI.TP383349",1,950724,0.154959108177298
"15637","NsiI.TP809841",1,955990,0
"26478","PstI.TP39577",1,959521,0
"20733","PstI.TP1246584",1,1015480,0.939298267798758
"7735","NsiI.TP443042",1,1033284,0.106213055115532
"25773","PstI.TP354591",1,1050082,0.257171960721348
"17479","PstI.TP1060928",1,1054924,0.180195193947252
"35493","PstI.TP968458",1,1145895,0.281201584955591
"33639","PstI.TP856852",1,1153760,0.239041391984848
"16568","PstI.TP1010387",1,1174408,0
"5847","NsiI.TP379925",1,1174994,0.654762100560787
"32121","PstI.TP775725",1,1175417,0.659184627293268
"34173","PstI.TP885953",1,1195721,0.189553502073943
"28519","PstI.TP530416",1,1196937,0.522563134973616
"15640","NsiI.TP809990",1,1199529,0.306035102209137
"11846","NsiI.TP621329",1,1209175,0
"21751","PstI.TP136460",1,1229717,0.0155151340154311
"2872","NsiI.TP226174",1,1247110,0
"11868","NsiI.TP622",1,1250740,2.13238289003916
"35320","PstI.TP952646",1,1257515,0.606631941903751
"7152","NsiI.TP429501",1,1266624,0.0525092127098977
"18601","PstI.TP112674",1,1270544,0
"4583","NsiI.TP321202",1,1270981,0.591707790271934
"4584","NsiI.TP321203",1,1270985,0.316670870421497
"31853","PstI.TP761288",1,1274696,0
"16149","NsiI.TP83302",1,1275020,0.422986883865268
"23916","PstI.TP250182",1,1293920,0.686673270197171
"1191","NsiI.TP139486",1,1336169,0.128892181218708
"23368","PstI.TP219964",1,1343660,0.0405430873031991
"3894","NsiI.TP280619",1,1353156,0
"8561","NsiI.TP476134",1,1354429,0.0968879307826975
"34759","PstI.TP919568",1,1369588,0
"35277","PstI.TP949573",1,1384375,0
"30003","PstI.TP646654",1,1399111,0.766174056110251
"3863","NsiI.TP279368",1,1408065,0
"6414","NsiI.TP408020",1,1421422,0.109403258397512
"13924","NsiI.TP72077",1,1422420,0
"40","GFSSContig11377_769",1,1481480,0.363999744501069
"13672","NsiI.TP707218",1,1504041,0
"2931","NsiI.TP229070",1,1511230,0
"21753","PstI.TP13650",1,1521127,0
"25317","PstI.TP329515",1,1537490,1.39542946239335
"18516","PstI.TP1121399",1,1542224,0.294346183152418
"14152","NsiI.TP735901",1,1547162,0.671283425473359
"24994","PstI.TP312988",1,1615878,0.0849249583464465
"19134","PstI.TP115729",1,1627848,0
"4028","NsiI.TP287495",1,1629591,0.123796674897796
"16092","NsiI.TP830386",1,1644699,1.25897618042235
"16939","PstI.TP1031399",1,1661159,0.268240281486137
"21585","PstI.TP1294494",1,1663938,0
"26459","PstI.TP394777",1,1676644,0.171815752710132
"27379","PstI.TP455158",1,1676669,0.363421217620284
"15405","NsiI.TP796534",1,1682668,0
"13716","NsiI.TP709976",1,1682685,0.158673453737248
"11302","NsiI.TP595268",1,1683111,0
"25514","PstI.TP340129",1,1696284,0.280040732664873
"34056","PstI.TP879262",1,1711195,0.675318355686369
