"","Name","Chromosome","Position","SRD"
"11513","NsiI.TP620354",1,2563,0
"26733","PstI.TP453248",1,3988,0
"166","GFSSContig17137_1860",1,35412,0
"167","GFSSContig17137_940",1,36536,0.230280847087226
"17884","PstI.TP1112203",1,63590,0.147768186482164
"27575","PstI.TP506588",1,80675,0
"35082","PstI.TP989644",1,80828,0.592726841147364
"24404","PstI.TP312105",1,81356,0.0865507723081948
"8429","NsiI.TP481742",1,154583,0.113203936234209
"33021","PstI.TP863331",1,161269,0.318481525200968
"13510","NsiI.TP71772",1,180079,0.209115597375936
"11286","NsiI.TP611047",1,185165,0
"11285","NsiI.TP611046",1,185173,0.226440766515914
"18897","PstI.TP1169914",1,194807,0
"15925","NsiI.TP96063",1,195779,1.20071305066617
"9477","NsiI.TP521153",1,258294,0.0320062956047407
"23766","PstI.TP271714",1,262844,0.0574286578336719
"26335","PstI.TP424788",1,263370,0
"32080","PstI.TP811380",1,281841,0.360326665139645
"34198","PstI.TP931820",1,284314,0
"6848","NsiI.TP426085",1,284999,0
"1313","NsiI.TP148773",1,285352,0.363668336110504
"1314","NsiI.TP148774",1,285397,0
"24197","PstI.TP301730",1,298129,1.14082330286041
"30292","PstI.TP710662",1,335281,0
"10713","NsiI.TP579900",1,335878,0
"16709","PstI.TP1043924",1,365760,0.291908883515657
"16710","PstI.TP1043926",1,365816,0.0798098670630743
"6445","NsiI.TP414280",1,378096,1.11888678172906
"15194","NsiI.TP807695",1,389941,0.242190280334716
"12942","NsiI.TP687955",1,398596,0
"34491","PstI.TP948856",1,403321,2.79509710155008
"16587","PstI.TP1037554",1,403777,0.148296541539193
"17810","PstI.TP1106845",1,416796,0
"812","NsiI.TP122940",1,430012,0.271660109750812
"13231","NsiI.TP703893",1,450123,0.0409597402282997
"16420","PstI.TP1026667",1,480929,0
"6430","NsiI.TP413787",1,481003,0.0690027434810911
"10912","NsiI.TP591161",1,512907,0.0368677225046212
"3473","NsiI.TP260303",1,526218,0.131649271688798
"1533","NsiI.TP160827",1,542721,0.0243898053096069
"26340","PstI.TP425356",1,569039,0.399159342911353
"35248","PstI.TP999740",1,569491,1.08036702911721
"22107","PstI.TP184304",1,572620,0.469718563028577
