"","Name","Chromosome","Position","Surv","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","TFN.","FNMain","FNsmall","FD","SRD","ADD","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"2208","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3047","PstI.TP863331",1,161269,0.0547746902588849,0.591691870371819,0.445093438958977,0.957870682786524,0.335912226772419,0.275442967693657,0.774003141617889,0.722211434575993,0.637283257919673,0.100954439928188,0.125915598055859,0.465226656488553,0.483650869125176,0.228301219984598,0.152915618475159,0.048232631075233,0.107069399533881,0.395276438416419,0.965860616966367,0.953860986562767,0.875834017594964,0.887607499903583,0.953677002120402,0.923877642605174,0.855856760278038,0.870148124172159,0.845792617484779,0.9183647727087,0.853627057321652,0.791958804880453,0.946036521487653,0.911689523110538,0.771638592960514,0.855520490537069,0.891181368462976,0.869074810442132,0.844797575514245,0.931406645814054
"2038","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3224","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","NsiI.TP148773",1,285352,0.311757046257972,0.195227635809002,0.206969909891033,0.124615645894461,0.00122851776149528,0.00771336555769591,0.128956175171841,0.354164994147511,0.29536306277775,0.190662383104132,0.157079496727762,0.0536889315676309,0.426109718199727,0.283599221007537,0.0565714204965524,0.549896701748284,0.00379757667520411,0.0499450180002484,0.671720410980114,0.648415349962822,0.618777042668315,0.621803142966996,0.675936048751786,0.565818172925783,0.550957066881615,0.614945097771979,0.718419687315042,0.585312538910334,0.619853292096231,0.559882559930769,0.63405412258846,0.733213638086251,0.603900647000871,0.795411590361756,0.62480405369881,0.594417041422388,0.610416972626442,0.660796720500171
"512","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3385","PstI.TP999740",1,569491,0.227664578789616,0.0339398454645565,0.0548625826268552,0.186730162589355,0.0695818944725607,0.0532259483488774,0.137052774368329,0.206347400997407,0.256318968900274,0.202688826643102,0.11450719219948,0.416028419661259,0.114762735600784,0.292590642540221,0.442817301383805,0.370635106544122,0.763192893450627,0.130739039150969,0.92584653703462,0.953686367580889,0.80774999697308,0.744195820561353,0.939307500922918,0.913195543042223,0.834138774249675,0.728561464931863,0.969547622227474,0.930798647415662,0.793250945848476,0.712627643775836,0.959631538321156,1.02233747855363,0.696581119430964,0.701614043357568,0.784160213765028,0.769364141677791,0.798581724349927,0.942403936771739
"516","NsiI.TP585976",1,829048,0.348668493603632,0.529562065154033,0.41727365859342,0.568154335107796,0.510556472591549,0.222684994578294,0.381435232877082,0.822277474875151,0.846715152504861,0.934409290284121,1.30356901874516,0.0335268952503183,0.377314569921122,0.753375528319445,0.115374988217321,0.172299356927004,0.778224934187357,0.0896105873613199,0.114504756561214,0.067475793842576,0.127267635678326,0.104530253102259,0.0766606506544206,0.0792100713587062,0.11892113766034,0.0958043610352394,0.0801917190062355,0.170322251668043,0.102935245636861,0.0500849617602493,0.107856422760702,0.107606981805862,0.0608968461118651,0.0241759402759916,0.111516893618723,0.103042979761673,0.0911062557212359,0.104166013890246
"1041","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
