"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"1952","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2806","PstI.TP863331",1,161269,0.476145187624614,0.18244685416939,0.0709151931883994,0.541648937184747,0.509797772589082,0.400649003004524,0.394074563500003,0.540600450988307,0.485159121952489,0.382372536909407,0.392380522303487,0.466482921939559,0.491890446711356,0.383000311820818,0.346629213928324,0.52833991747275,0.438065637652017,0.312207869655962,0.323934063098057,0.407815461731434,0.393229696194505,0.389559023363059,0.487865826575895
"308","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1390","PstI.TP271714",1,262844,1.02341927062521,0.907133371236716,1.29506590899638,0.297466964170512,0.296056341080688,0.242290687198584,0.275137046576578,0.277765250112533,0.287656374475467,0.210941840298156,0.281138086381803,0.195824795029154,0.304049698003853,0.235755990040353,0.304467269196549,0.194801199982854,0.426420694764341,0.247039050903648,0.341008546250116,0.265859522851916,0.258203230083544,0.259226408982932,0.244788776951151
"1776","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2985","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","NsiI.TP148773",1,285352,0.390535789130638,0.304788570373891,0.049873784451995,0.693841283089066,0.677293834200357,0.666366949260035,0.675706994405649,0.698892770096126,0.593383169915163,0.592855962526173,0.664697949448124,0.741433021254574,0.609544951094402,0.668925923994016,0.602825607988576,0.632269954497265,0.704470430699387,0.593602130252231,0.821337677269829,0.674175190821543,0.640874241419139,0.65387554302225,0.655525615280602
"651","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1778","PstI.TP425356",1,569039,0.0620257044595588,0.353093820786696,0.131114457610169,0.441141889789921,0.381846256865351,0.463890670460038,0.474436060931147,0.443518762702319,0.382506270955929,0.455395012190142,0.501873505215126,0.511442320271163,0.374365777029014,0.517272764872869,0.537192967569097,0.417022239009961,0.218585422180003,0.412447914769561,0.634630825573734,0.466117263568577,0.484345440987428,0.514399066571976,0.392205824253064
"3154","PstI.TP999740",1,569491,0.204357633539334,0.316591017793817,0.373954519068451,0.647991780989566,0.721351384798944,0.613761093919052,0.554323307989553,0.644394707200803,0.689679096972288,0.640398481116917,0.551594181799994,0.659941731570977,0.753534143282816,0.595411625571616,0.555758297739679,0.637960419125743,0.903407463724776,0.570885601582641,0.550981244743052,0.587349253795999,0.58447273903314,0.604780309112116,0.676750381138044
"751","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2415","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"966","PstI.TP1246584",1,1015480,0.842216303402233,0.688231791956429,0.697173846509607,0.145426730571361,0.154241349023236,0.0802383126922603,0.0974483640031557,0.154365330606816,0.167803394673159,0.0528707324549962,0.10817159069724,0.123597939289557,0.121609115058574,0.0761193159605371,0.177528775720915,0.170495670638801,0.147813941796508,0.17870104415443,0.254600392077675,0.0958235602752891,0.0913945179374166,0.113049789526796,0.172446167865143
"1613","PstI.TP354591",1,1050082,0.936458074593312,0.658670201677502,0.575751069132249,0.361878554715046,0.38842074867372,0.35663317414682,0.39042803523121,0.376588238678026,0.420528178136623,0.400040257047605,0.422068044458155,0.379081530015273,0.432238973002254,0.332210667892836,0.427444156310933,0.350807453352661,0.420081630059818,0.504990970946069,0.461049993063974,0.377859605128275,0.415051674571433,0.374164495453828,0.384780182949276
"2787","PstI.TP856852",1,1153760,0.811294948682125,0.37030032237413,0.223977814965011,1.23219824812972,1.37368395899593,1.06089407622974,1.14029455745649,1.17047906568476,1.36471825162997,1.07034597865021,1.11467163091253,1.1181186183503,1.38989053717042,1.0539969834071,1.08859007060071,1.21027245068377,1.33879053221824,1.04240258560725,1.08606678986854,1.12830085888661,1.10762719048556,1.1038018997716,1.22607532619669
"2556","PstI.TP775725",1,1175417,0.0838626486784461,0.679537770706662,0.178251320716179,0.232140778209092,0.266513705237509,0.146727634995166,0.164513366301028,0.217582137297282,0.299555831393948,0.142249383001509,0.194409384737819,0.183908281190902,0.289209602399602,0.120461061169206,0.230022625059587,0.296913751348038,0.489548923670157,0.132183965600645,0.137213004303949,0.165114327789051,0.179187486631948,0.169995621050403,0.304051109624987
"1543","PstI.TP329515",1,1537490,0.335976373151605,0.184445461404112,0.157603786142622,0.894152034610488,0.878303972875486,0.860388530556901,0.815742806222628,0.888149751464631,0.916455249359403,0.86765466875031,0.851628188492582,0.860109610361361,0.869628717835022,0.726377584834525,0.811057704010016,1.09962252793622,1.02308996944148,1.08147983409907,0.602326909242201,0.83861764319554,0.859681074893635,0.77823419070583,1.06964015380341
"2977","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1761","PstI.TP417865",1,2030761,0.478797347963167,0.514386548004597,0.404711768746719,0.150663096852386,0.10897471495211,0.181494442719759,0.135431400601545,0.162557695151778,0.106068096684475,0.196658260033388,0.131518450473323,0.157913911189664,0.147126436081136,0.176419959034664,0.0590007365023106,0.220023833651062,0.102701574425023,0.27557513972855,0.0772315434637113,0.150804531185794,0.151964923806766,0.13597772037611,0.196781831522759
