"","Name","Chromosome","Position","Surv","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","TFN.","FNMain","FNsmall","FD","SRD","ADD","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"2682","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3640","PstI.TP863331",1,161269,0.0695000735499143,0.120665342846742,0.0934235707614373,0.338565323016193,0.0586483180103192,0.0589083674201894,0.225444772032256,0.369577308012107,0.342976358540731,0.0196612559564359,0.216964307930888,0.23312752635164,0.306445992383284,0.218718156857111,0.223887619522432,0.145409107401565,0.00138072389328882,0.12286560813086,0.744780926114111,0.666527999579827,0.652870068204251,0.651267825050907,0.744646199634953,0.639687897892398,0.642494415714923,0.65250293707781,0.678680271840105,0.599271780569372,0.662394502947241,0.607707463242162,0.582861246086946,0.621588248485299,0.658460534725016,0.817791579330289,0.657110612952742,0.651053749351022,0.6455795761068,0.610767317302529
"680","NsiI.TP611047",1,185165,0.59593653983525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2060","PstI.TP271714",1,262844,0.0984863391057692,0.126645392257378,0.11474760746938,0.118280297383029,0.016329763207656,0.606457625371933,0.415985827299499,0.294108241594335,0.385230052040378,0.462439815467576,0.0403334643706933,0.304821298539362,0.876714246860171,0.862525169877764,1.11988783759326,0.198722814703755,0.0960974951706824,0.180974506039698,0.210066575245696,0.199195008816324,0.204216075465341,0.234311509356286,0.204670087714759,0.190912953334069,0.178369536744176,0.242861360445236,0.139365227504144,0.194999793066195,0.202336413979197,0.238265378081339,0.084913975257194,0.246744864782961,0.156979129955955,0.239713038934093,0.221446301224179,0.220171115222695,0.207971075527976,0.124265888600912
"2486","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3844","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","NsiI.TP148773",1,285352,0.206046260456099,0.129914836088561,0.175048686907272,0.0546104330167385,0.0269912851360255,0.151487228098211,0.154060779646986,0.335838899049189,0.289784001070019,0.144368513044464,0.209366733576952,0.298673734613739,0.571392836013921,0.340891925826341,0.123383638905379,0.291153906273936,0.0566600869263828,0.177079159885981,0.837805625652561,0.823210600662472,0.768883725311898,0.778830067442043,0.83851455575476,0.728718969058115,0.688905744717609,0.764870290454785,0.872923408843058,0.729676275973923,0.749538255596379,0.689062477675498,0.783752402590763,0.920298095742284,0.77318655023174,1.01075144844486,0.780752725003555,0.741069123845666,0.744320787971325,0.822344128967464
"654","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2488","PstI.TP425356",1,569039,0.0237110217279764,0.794957586802711,0.770351305490125,0.865436840842861,0.729658843931936,0.754891240572987,0.35562684836167,0.496482750030282,0.248192380998409,0.241384827949531,1.02834806875613,0.231816417388266,0.00100889995136989,0.296659563385978,0.134392796292892,1.29697119117489,0.408639235523469,0.0157886009393461,0.756977699891266,0.728746623923313,0.794986288043268,0.820002395548628,0.747575144664193,0.724348194181496,0.775667609102674,0.847579062734779,0.794028645741935,0.72331242362381,0.822312352265124,0.886333619719094,0.788318836997477,0.57240937326561,0.723824847360403,1.01235495491013,0.806215050925783,0.821813176121737,0.83683233095842,0.759523636443673
"4031","PstI.TP999740",1,569491,0.257787345072585,0.197168614179873,0.0382998178035235,0.0108868393503586,0.180418937006266,0.0884776530323906,0.0416531470024501,0.411649035722399,0.444178306860525,0.31294759446394,0.144437256205166,0.075845135225518,0.255399055675604,0.354143179863919,0.533380778987559,0.254637740917465,0.67021960375839,0.347866215879405,0.694763923714312,0.703072560495147,0.616274826055594,0.554195424178891,0.713618750033779,0.662035304154243,0.646569787664295,0.54393055670124,0.776685791071109,0.672433252344076,0.606360374488588,0.548363584176348,0.677584010109173,0.75692601711163,0.523790300123234,0.521687338701058,0.588790570616967,0.581541156281542,0.611042828071617,0.676372138120346
"879","NsiI.TP802651",1,754114,0.351660239190152,0.169893824454278,0.0526659186325553,0.0650180788977726,0.222634593397277,1.22583971078164,0.741602085898273,0.206511886914875,0.149619470312667,0.687526039862804,1.09165711601159,0.455210993348963,0.130425114991131,0.145395630622705,0.302547813879679,0.49246730846335,0.745719187007683,0.0329196843414241,0.294784495689283,0.338919307693621,0.345193153210657,0.363051454632475,0.292761141227588,0.328788014097764,0.396332580690319,0.345938401039439,0.285436833611994,0.279441674475207,0.385023404430674,0.264402932250726,0.237685942280387,0.464632439757245,0.576236901117167,0.471171343017131,0.353155232323396,0.361460957762618,0.33187279761001,0.311053210653762
"658","NsiI.TP585976",1,829048,0.440681653774831,1.19905911742224,0.972861899741823,1.35222354478234,1.00408127045614,0.723671337801647,0.43624795145366,1.2316088412531,1.19293623342626,1.19395456322326,1.38463555240264,0.252072689340895,0.46642847958978,0.73521865819578,0.0755379743259404,0.409288399414746,0.604981434451966,0.392210411349464,0.129569529035645,0.0976727170095685,0.143581792932213,0.126433394762106,0.0886689810262264,0.112067631704096,0.131368779727529,0.114298841077514,0.0823591094847238,0.223071748954529,0.115174177708038,0.05016203467646,0.177297395794384,0.135162489948591,0.0411358573295107,0.00195707898278822,0.13158983752347,0.119900940032262,0.10127259180064,0.152180741146963
"1313","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3197","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1554","PstI.TP1246584",1,1015480,0.694490354640565,1.33144794869616,1.3945717055433,1.35164328061889,0.971803959993876,0.822485352525905,0.321416393609883,0.696117215973849,0.789238938524097,0.816136437109578,0.106300458361897,0.297947827469721,0.971573135812079,0.696432025432138,0.886593685379034,0.486598572772133,0.744962530686978,0.837390401114014,0.0128786183141977,0.0219831287412639,0.00362749496163215,0.00743384006896259,0.0206248266530409,0.0331951131609753,0.030887552352025,0.0168003463176996,0.010609912826556,0.000623499012914296,0.0165300740958083,0.0706378440021218,0.0650776482316424,0.00861781909212828,0.0391971042750463,0.0879968966311143,0.00436265207742724,0.00182928277472864,0.0119899120500101,0.0540438346273832
"2302","PstI.TP354591",1,1050082,0.0182741467384166,0.00954106850191729,0.235211607833141,0.034807925140532,0.0123925698253544,0.0330439455637708,1.03195242775008,0.143344991034963,0.179375483783792,0.0176629862461409,0.0139656018519189,0.176621572612487,0.70206566827054,0.451991893931782,0.411387929073892,0.693022693594994,0.0969443916695957,0.165800168923685,0.0113637605947298,0.0314131474732541,0.0034998143908799,0.0140540242605619,0.0288665005124773,0.0430949087022415,0.0191421547042396,0.0386698782733576,0.0477637656250348,0.0517481132418992,0.0171515867454831,0.0611723993867898,0.0299251937627316,0.0144667273920178,0.0789510851770006,0.0806606149565506,0.00851617248258978,0.0323477116368544,0.0162517391705463,0.00781965576042252
"3624","PstI.TP856852",1,1153760,0.168045800944021,0.00707518747356563,0.0902679108134435,0.19357231749833,0.182683857683885,0.0334646026614115,0.340858508337203,0.395094581391656,0.477000703288738,0.688268515126277,0.3257450607069,0.0164532044974355,0.992329842971826,0.501839848191711,0.218564727182423,0.602700093939429,0.125833119951395,0.249891682906299,0.904057815171506,0.969967658425103,0.718510225340743,0.764294317167642,0.876044407292256,0.958059002522859,0.709011933054393,0.752425266252145,0.860271505927296,0.941468272958146,0.702551707552692,0.771473782027924,0.828266443705157,0.808501414114045,0.644496917803879,0.694404437162163,0.763817005248744,0.744812308891159,0.759482431592891,0.810392453018481
"3364","PstI.TP775725",1,1175417,1.92287904779392,0.910160230633205,0.514376445652718,0.987310670434999,0.849357760246476,0.330505594257667,0.177487389243218,0.444011232119612,0.274757941399782,1.27559837037896,0.251932150355928,0.285844438616366,0.0791660348605219,0.698444039873232,0.112349489725726,1.78083462438031,0.71546187422078,1.01206702735697,0.335675200240703,0.358490623401592,0.217123079167087,0.249282084846504,0.323918928105145,0.40255121291114,0.214999990738496,0.281144686707106,0.29552484624464,0.372793637140306,0.208939492487483,0.308713976971867,0.39750268807131,0.550631241115767,0.194149604707969,0.251320148858125,0.245857434178194,0.261883546209489,0.258481179149991,0.396970751376744
"789","NsiI.TP72077",1,1422420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1692","PstI.TP13650",1,1521127,0,0.0144570679248393,0.223057949068204,0.0491032783223583,0.0766290185541784,0.0186749559421428,0.193935579755161,0.15335445053566,0.257369862635009,0,0.210953786417729,5.83624458668704,0,0,0,0.475574017161912,0.125823944480824,0.210385625978832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2222","PstI.TP329515",1,1537490,1.6550870438909,0.317601568766073,0.302522612225554,0.477734084740288,0.406176882726176,0.171643357233405,0.258544331552121,0.121364707429023,0.0279593040416472,0.0988765492422958,0.0765600073369284,0.926106695522896,0.218868647437243,0.067198480803103,0.131327643456058,0.639111331526557,0.0238678957949621,0.601868986942498,0.71786936310097,0.714900492955109,0.660961540607324,0.623522538462169,0.718602484031237,0.750916114211382,0.679564517041052,0.655903265368901,0.703617565616258,0.717111692560401,0.567030523598,0.620139507665105,0.815641841086532,0.788825592453416,0.831391098916314,0.448200909478639,0.645342580044638,0.6669922500421,0.609078163712995,0.80049654595528
