"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"2769","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3769","PstI.TP863331",1,161269,0.313382046833161,0.208134103757084,0.233408300023494,0.697348129003992,0.618774350083255,0.585689101599899,0.586866065498006,0.695975146775549,0.59358224564111,0.577247746991086,0.583968937773823,0.625348777721851,0.554423782929312,0.601147559455568,0.541473227761883,0.538261385684261,0.576919595609164,0.600863805492565,0.755725604278612,0.59307135171649,0.584168532137334,0.584477891290076,0.564090907889092
"666","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2108","PstI.TP271714",1,262844,0.847939282557935,0.793509369078022,1.27791252296638,0.195894820698323,0.187345165940689,0.146995519512587,0.180753768224225,0.189059346664326,0.177606011874583,0.124523439106856,0.190174058595929,0.116085126804892,0.185158052990468,0.160236833341893,0.195192692666194,0.0780742770575337,0.245510298399727,0.139120002180668,0.231382795097476,0.16990009696972,0.168142039952468,0.169565314781538,0.117098874601436
"2567","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3980","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","NsiI.TP148773",1,285352,0.532111590057888,0.329605678104517,0.11725411586711,0.822271649277443,0.818102216333378,0.781584463549741,0.790149769264506,0.825240659047701,0.726591862935588,0.700933776473998,0.778708224547368,0.862904315491552,0.745901162036513,0.776348569243357,0.701388950277972,0.771300958544636,0.869914812123293,0.723889445948255,0.969769807562529,0.790963701788618,0.753766834679647,0.763142550219828,0.799558252762352
"640","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2569","PstI.TP425356",1,569039,0.00430698923212478,0.312159708593052,0.126820868324947,0.678674203998766,0.642727524284289,0.706309264147147,0.727666686974687,0.671430066174004,0.640215717650094,0.687837738140612,0.75764993863391,0.717579865811778,0.647620372020117,0.737989865187726,0.794173124278334,0.710925273002987,0.500137718232669,0.627492536252638,0.915680298987544,0.715907023222828,0.732671132736881,0.75101492586164,0.679913899721333
"4177","PstI.TP999740",1,569491,0.260869117396182,0.336697227576634,0.485944267010564,0.644733321588526,0.655680541488336,0.545734451808723,0.490066355972711,0.663764267674082,0.616444319035089,0.579103219441588,0.481432671777402,0.713099498116086,0.630248198685694,0.548030784315378,0.49135847808239,0.627666175847837,0.70863366010346,0.486107882520475,0.488663310426556,0.523635371212344,0.517832049077285,0.553566981164286,0.627810109859228
