"","Name","Chromosome","Position","Surv","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","TFN.","FNMain","FNsmall","FD","SRD","ADD","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"1683","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2421","PstI.TP863331",1,161269,0.0729630511010274,0.529104686785895,0.393452394465235,0.733097489474292,0.323435764924207,0.0669170300546984,0.457750933615435,0.571934782169308,0.504838490194549,0.0732209858408088,0.0710297684409355,0.588541963186268,0.437243642786537,0.19415351074308,0.0898023733929176,0.324041032843322,0.01910359275556,0.436210731962341,0.615327330994119,0.587778646680336,0.475592846280752,0.466040487500144,0.614096021316416,0.555214704933064,0.454838863574877,0.463322866509258,0.540035391636363,0.561294336992931,0.461920730192659,0.417447948313323,0.562295734068564,0.510667096613974,0.381481546058849,0.415182281107408,0.481385776069836,0.464820949471596,0.465433891807855,0.535047042638482
"1531","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2575","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","NsiI.TP148773",1,285352,0.447824038536879,0.155804256721824,0.1624887647398,0.0924699682440258,0.0298713724991704,0.00929159878286933,0.129042541474279,0.307556133904648,0.280442821623358,0.18569258380598,0.127731268554176,0.011925876160269,0.352350483188126,0.262455987805972,0.0485381362219187,0.531671808055665,0.100172831406766,0.0242080927404417,0.666277900681862,0.64557858289445,0.641728138800399,0.646778407905841,0.668550946198215,0.559834380198496,0.569186619808812,0.633188178051549,0.714556142493191,0.588756994581284,0.644812914293212,0.566888320625655,0.591194399290371,0.693583099089904,0.585806143742842,0.798696519075843,0.64671489220154,0.611933992386565,0.625987451404692,0.621966898765216
"577","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2726","PstI.TP999740",1,569491,0.339165448058077,0.00773563403684319,0.0601397696796902,0.270855111308134,0.0153842260002668,0.0928134996557586,0.222807501244338,0.14807290623305,0.229693679774343,0.139441976011845,0.0659927990334988,0.529523634572014,0.129557231340136,0.296352036940587,0.443314353206125,0.360044445721525,0.780528524175384,0.100757683098106,0.91561283839811,0.942981597227533,0.808933091175662,0.747761833862152,0.926585563102348,0.90694299370696,0.83945021172283,0.733372992908448,0.958652581962992,0.922798181092527,0.804459817654843,0.719266516205868,0.943257046912144,1.01228307128196,0.708858690996441,0.73293135657923,0.785790934384185,0.773919547788667,0.805264489350763,0.93226488459079
"661","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2083","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"837","PstI.TP1246584",1,1015480,1.1090191246904,1.70343993831298,1.74294881808328,1.66545002151391,1.27170782679622,0.888348057076796,0.696452718009614,0.820680410671334,0.871286693528349,0.908629966142675,0.10281896059125,0.510774594516144,0.88958608071996,0.638934432991796,0.684055718062016,0.501276225594563,0.988892564298264,0.623521316344078,0.0616675606509458,0.068143950659942,0.0158342265944435,0.0271192028581479,0.068212078514641,0.0782835597131091,0.0114559207220563,0.0347024161829949,0.0480674290444974,0.0375375873489457,0.00846002316055118,0.0950770307234157,0.0983026524741292,0.0466515497262397,0.075455088859836,0.144287558226509,0.0263077629481722,0.0205511621546998,0.0388123852819161,0.0898286328316631
