"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD"
"2830","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3816","PstI.TP863331",1,161269,0.144866027005956,0.102050590504991,0.363099259832809,0.083024166395979,0.0615040344734046,0.187177711320028,0.389425947760617,0.369685020225976,0.0328547356292634,0.255596285962295,0.227022795413996,0.149902998334164,0.00862212614725263,0.102463857054121
"741","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2182","PstI.TP271714",1,262844,0.0861031431365291,0.0742356932448824,0.160944127668844,0.050762064522226,0.517904688688836,0.324401080545399,0.269786032064742,0.355435625900604,0.441818250413359,0.0867592348967502,0.292214206014716,0.199661041052005,0.0855735941704103,0.185228213387912
"2631","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4025","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","NsiI.TP148773",1,285352,0.162601060063363,0.168480326205853,0.0630396263872314,0.00216679773596549,0.0878840149961076,0.139362713770535,0.372037288752345,0.334899096713017,0.177152411956411,0.181271301722757,0.301471518330958,0.338650772695541,0.0504450572282061,0.0482495040496043
"712","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2633","PstI.TP425356",1,569039,0.809588739940622,0.80079947906508,0.899515085360781,0.760733512071277,0.752393498226803,0.416123001852039,0.500508194510804,0.246272044374638,0.233806222781375,0.92449183719948,0.212060235690248,1.2523098810327,0.421196895522697,0.0263950471565614
"4219","PstI.TP999740",1,569491,0.23655313057321,0.0753346997583538,0.0504726199189998,0.205611748355967,0.103483709732202,0.0497005657094076,0.44606966620729,0.486080262070813,0.32735843268266,0.142555609229326,0.0794587492895348,0.195847499821599,0.693519247963686,0.346492403804903
"954","NsiI.TP802651",1,754114,0.133259010451859,0.0700757283075039,0.041353939452823,0.184887062886199,1.10958002559881,0.744951827906787,0.190195953096146,0.135356902491376,0.648846105563426,1.1140868349787,0.474971119841701,0.515141295880129,0.72065955097437,0.0597690634128903
"716","NsiI.TP585976",1,829048,0.985074576193914,0.863596795564254,1.1662903232481,0.83345947833871,0.559717832998442,0.444290785796326,1.06516608439637,1.0251597531238,1.02174768932688,1.44305647293438,0.230457081692347,0.405193649846624,0.573852482820149,0.279732570104994
"1411","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3360","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1660","PstI.TP1246584",1,1015480,1.10255137242502,1.21366291072695,1.12536072606055,0.763621570972934,0.711814749735171,0.295151140393328,0.624679811370196,0.708368573617999,0.771518644317863,0.0961209731620031,0.276293197559746,0.40762632593603,0.736538637833765,0.652423026083258
"2437","PstI.TP354591",1,1050082,0.107114889104698,0.308019906113571,0.040664177364826,0.0854230428043543,0.0457250932729027,1.04829975967832,0.0633646655370725,0.0784132835717612,0.0904632962329351,0.012182972970805,0.181099534711835,0.784573515853186,0.0908765560935891,0.0636906571350188
"3798","PstI.TP856852",1,1153760,0.0894772369787996,0.158405822330918,0.293778407542395,0.0779540384757462,0.0674209007395089,0.342224956226856,0.291635667598422,0.359231146071308,0.524425768654798,0.317162249506191,0.00293787323171322,0.612538802696484,0.0973262351717701,0.126127367174612
"1029","PstI.TP1010387",1,1174408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3530","PstI.TP775725",1,1175417,0.993497805947155,0.573495329868469,1.07352385083203,0.942650609123784,0.422981534480618,0.172631274157066,0.48608327297666,0.306824586552159,1.3675992827591,0.198844683700206,0.310152002911784,1.83877184363662,0.71919508655437,1.19726396960983
"857","NsiI.TP72077",1,1422420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1804","PstI.TP13650",1,1521127,0.0375514782089343,0.1902678246326,0.0323231966577246,0.0519379393749869,0.0561771049029331,0.163720598990679,0.192545374683564,0.30789051439472,0,0.235620724715134,5.65131902905596,0.442619895856299,0.134683720771934,0.182538312417274
"2353","PstI.TP329515",1,1537490,0.173380982034942,0.219712825917784,0.318328033403907,0.261391976544056,0.298814392876659,0.266824164759361,0.217110826160036,0.120927840378811,0.181755192959158,0.0970837706277697,0.934418678679958,0.805432021024919,0.008483953540192,0.91861264992493
"1099","PstI.TP1031399",1,1661159,0.386551096675149,0.763977185918044,0.330296041821716,0.0797213258617616,0.288640943782897,0.685049404931973,0.0123193322295621,0.0963930076282595,0.0758188780674211,0.131308223003251,0.36379635915424,0.274598017713236,0.328072793769777,0.874796047162501
"947","NsiI.TP796534",1,1682668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4017","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2612","PstI.TP417865",1,2030761,0.10823627213021,0.0554746659313176,0.187281895465002,0.314810245645401,0.193473604101265,0.147576342060131,0.00890205801312629,0.0697519435275723,0.375029615861023,0.18389449188118,0.520618835587732,2.46876436490542,0.183851819024969,0.594525937248574
"805","NsiI.TP666080",1,2031570,0.583885084642716,0.141678628146811,0.227366415274141,0.620683284029655,0.566821219283606,0.358745377071194,0.933337270248514,0.972718768247982,0.876790123508314,0.646992897464894,0.140990100769475,0.429683771589583,0.26393914711347,0.320026784851812
"3883","PstI.TP885267",1,2084430,0.10208917450873,0.226742202008754,0.0490483737880671,0.105335990388687,0.431287020771381,0.356048402478112,0.0348834668318866,0.0793122007625916,0.0298560954001138,0.334915362346991,0.0090461985822377,0.028019094968878,0.228119923790234,1.01824455178203
"1771","PstI.TP1294018",1,2280325,0.182099279316592,0.010601302024317,0.0358041322079606,0.266251491044987,0.987730400912999,0.0550558554293064,0.0479328369540927,0.0137222944063422,0.522300386699601,0.282946591915189,0.122944590716376,0.260693372737208,0.248998360770183,0.771102154522145
"2986","PstI.TP56795",1,2315051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1247","PstI.TP108989",1,2588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
