SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,effect
PstI.TP965825,3,63530528,7.57637395101128e-05,0.08,115,NA,NA,NA
PstI.TP834454,11,    5776,0.000219849461125028,0.076,115,NA,NA,NA
PstI.TP411848,11,    3188,0.000380556755326348,0.436,115,NA,NA,NA
PstI.TP454285,2,63153549,0.000425743209514253,0.0679999999999999,115,NA,NA,NA
PstI.TP547023,2,75564773,0.000627351553323494,0.0679999999999999,115,NA,NA,NA
PstI.TP710636,6,45894338,0.000933294168918604,0.188,115,NA,NA,NA
PstI.TP7632,10,57163611,0.00150651017222182,0.032,115,NA,NA,NA
PstI.TP1286414,10,12122103,0.00162972451539423,0.036,115,NA,NA,NA
NsiI.TP3581,5,68467677,0.00218632018897296,0.02,115,NA,NA,NA
NsiI.TP827851,4,12330408,0.00224806566219566,0.056,115,NA,NA,NA
PstI.TP867146,11,    6048,0.00233779858951621,0.108,115,NA,NA,NA
PstI.TP117081,2,45986549,0.00271787899175843,0.092,115,NA,NA,NA
NsiI.TP181198,8,55572072,0.00304947444897854,0.128,115,NA,NA,NA
NsiI.TP364137,6,56610072,0.00307804145935768,0.032,115,NA,NA,NA
PstI.TP81008,11,     677,0.0032513788959372,0.396,115,NA,NA,NA
PstI.TP781181,4,64170054,0.00333399356921418,0.236,115,NA,NA,NA
PstI.TP622318,7,63611772,0.00339654898936966,0.132,115,NA,NA,NA
PstI.TP681191,6,51040947,0.00347923611278223,0.264,115,NA,NA,NA
PstI.TP384804,2,65029446,0.00362326049682003,0.42,115,NA,NA,NA
PstI.TP1019197,11,    7072,0.00367572572111479,0.032,115,NA,NA,NA
PstI.TP979536,5, 2060722,0.00370317159273561,0.044,115,NA,NA,NA
PstI.TP702574,6,57893505,0.00372956220527121,0.024,115,NA,NA,NA
PstI.TP1294195,11,    9130,0.0038593933406796,0.02,115,NA,NA,NA
PstI.TP789647,3,69354547,0.00434081080591715,0.36,115,NA,NA,NA
PstI.TP626124,1, 3342723,0.004370670074282,0.056,115,NA,NA,NA
PstI.TP845869,2, 9862801,0.00443583503909623,0.0600000000000001,115,NA,NA,NA
PstI.TP282598,10,55748349,0.00448068163654113,0.024,115,NA,NA,NA
PstI.TP735032,3, 9654444,0.00451661034668792,0.052,115,NA,NA,NA
PstI.TP544549,6, 2226986,0.00452700515028295,0.016,115,NA,NA,NA
PstI.TP685814,8,51520152,0.00457347563703258,0.036,115,NA,NA,NA
PstI.TP195819,7,56569496,0.00459095764308159,0.2,115,NA,NA,NA
PstI.TP402677,1,19244412,0.00461430995797122,0.02,115,NA,NA,NA
PstI.TP32081,10,  516124,0.00466123768206551,0.088,115,NA,NA,NA
PstI.TP470333,6,58970821,0.00518568885863984,0.02,115,NA,NA,NA
PstI.TP975023,2,61638010,0.00553861653377726,0.088,115,NA,NA,NA
PstI.TP1040444,1,61649660,0.00576269187570995,0.048,115,NA,NA,NA
PstI.TP1069784,2,63643324,0.00587116588785691,0.048,115,NA,NA,NA
PstI.TP179103,7,57227560,0.00588157006667297,0.056,115,NA,NA,NA
PstI.TP762318,2,61355207,0.00588371828781294,0.076,115,NA,NA,NA
