SNP,Chromosome,Position,DF,t Value,std Error,effect
PstI.TP863331,1,  161269,94,0.296847938702751,0.00927916483813292,0.124998835991706
PstI.TP271714,1,  262844,94,-1.17593316682266,0.00927916483813292,-0.459894024909244
NsiI.TP148773,1,  285352,94,0.959916096289033,0.00927916483813292,0.295640317481917
PstI.TP425356,1,  569039,94,0.388359775070844,0.00927916483813292,0.191312105978982
PstI.TP999740,1,  569491,94,0.668713946266834,0.00927916483813292,0.254543693819949
NsiI.TP802651,1,  754114,94,-0.548892701760197,0.00927916483813292,-0.193721982632532
NsiI.TP585976,1,  829048,94,-0.378815913365811,0.00927916483813292,-0.152209362968035
PstI.TP1246584,1, 1015480,94,-1.21517305797462,0.00927916483813292,-0.224645155226262
PstI.TP354591,1, 1050082,94,0.45280299268641,0.00927916483813292,0.123049307083683
PstI.TP856852,1, 1153760,94,0.848747429051492,0.00927916483813292,0.340863898587115
PstI.TP775725,1, 1175417,94,0.977891793245572,0.00927916483813292,0.435616425580714
PstI.TP329515,1, 1537490,94,0.196538350277838,0.00927916483813292,0.0489451139674793
PstI.TP1031399,1, 1661159,94,-0.034169236162795,0.00927916483813292,-0.00862392955805724
PstI.TP417865,1, 2030761,94,0.257145803663718,0.00927916483813292,0.0878097427232882
NsiI.TP666080,1, 2031570,94,-2.02793353698532,0.00927916483813292,-0.781990498788435
PstI.TP885267,1, 2084430,94,-0.628543781716636,0.00927916483813292,-0.384418012954371
PstI.TP1294018,1, 2280325,94,-0.6028835218835,0.00927916483813292,-0.222124051577738
PstI.TP441536,1, 2816855,94,0.650197004780771,0.00927916483813292,0.125814449337883
PstI.TP1085601,1, 2820903,94,1.04271501094939,0.00927916483813292,0.487473154891345
PstI.TP525202,1, 2884119,94,0.0896705016708949,0.00927916483813292,0.0361094675251897
PstI.TP1268585,1, 2988383,94,-1.80954446115622,0.00927916483813292,-0.749284725653541
PstI.TP849876,1, 3050119,94,0.138084176561014,0.00927916483813292,0.041841408899506
PstI.TP626124,1, 3342723,94,0.569955575537217,0.00927916483813292,0.392888855707046
PstI.TP1059573,1, 3357749,94,-0.91961429423019,0.00927916483813292,-0.371023901835761
PstI.TP1244443,1, 3397749,94,-1.12885595656062,0.00927916483813292,-0.368422698971119
PstI.TP726521,1, 3535515,94,0.165401040180072,0.00927916483813292,0.081416835010504
PstI.TP374511,1, 3576636,94,1.84621173701755,0.00927916483813292,0.644294481022875
PstI.TP1267977,1, 3576713,94,-1.16958702117689,0.00927916483813292,-0.407301179141441
PstI.TP961085,1, 3705536,94,0.260282694875665,0.00927916483813292,0.0559146932666389
PstI.TP21889,1, 3705780,94,0.776083953245841,0.00927916483813292,0.186197918281202
PstI.TP1053336,1, 3955998,94,-0.278912674304347,0.00927916483813292,-0.123930689747042
NsiI.TP403662,1, 3957731,94,-0.793853023609119,0.00927916483813292,-0.263647228233911
PstI.TP891020,1, 4033768,94,0.491292655293924,0.00927916483813292,0.178085612301892
PstI.TP629259,1, 4276027,94,1.12982106871471,0.00927916483813292,0.278795653591325
PstI.TP140451,1, 4460094,94,0.621328361090771,0.00927916483813292,0.173991901312206
NsiI.TP39399,1, 4465777,94,1.09667230510184,0.00927916483813292,0.36167740331917
PstI.TP1250346,1, 4555696,94,0.398379840966354,0.00927916483813292,0.194761679923067
NsiI.TP468762,1, 4620729,94,-0.916106291411913,0.00927916483813292,-0.459381647617452
PstI.TP1009631,1, 4625223,94,-1.50071809168713,0.00927916483813292,-0.964824716818964
PstI.TP982823,1, 4677828,94,-0.268783323933042,0.00927916483813292,-0.0550152270066268
PstI.TP307588,1, 4762662,94,1.60580705457164,0.00927916483813292,0.756522526822411
PstI.TP920636,1, 4777048,94,-1.11689423864438,0.00927916483813292,-0.400144522700023
PstI.TP1168479,1, 4789991,94,-0.488722677878104,0.00927916483813292,-0.213809298201905
PstI.TP683907,1, 4900973,94,-0.756879973315617,0.00927916483813292,-0.211531645267262
PstI.TP402429,1, 4990016,94,-0.821468928642251,0.00927916483813292,-0.343756410327635
PstI.TP748688,1, 5063937,94,-0.556161862596482,0.00927916483813292,-0.193109946613454
