"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"fprinGW","mrMLM","PstI.TP622176",3,65129470,0.000180132468273663
"2",2,"fprinGW","mrMLM","NsiI.TP821811",4,48427329,0.000000000425664076628304
"3",3,"fprinGW","mrMLM","NsiI.TP825923",6,52448208,0.0000438866064355704
"4",4,"fprinGW","FASTmrMLM","PstI.TP1248141",1,57379416,0.000178813374869022
"5",5,"fprinGW","FASTmrMLM","PstI.TP134743",1,73610397,0.000026797852971525
"6",6,"fprinGW","FASTmrMLM","PstI.TP640960",1,80209769,0.0000032426494398997
"7",7,"fprinGW","FASTmrMLM","NsiI.TP324593",4,54954569,0.0000198518049741651
"8",8,"fprinGW","FASTmrMLM","PstI.TP1052140",6,19137861,0.00000186680949012064
"9",9,"fprinGW","FASTmrMLM","NsiI.TP825923",6,52448208,0.000172147214573708
"10",10,"fprinGW","FASTmrMLM","NsiI.TP383484",9,6111601,0.00000230091195185176
"11",11,"fprinGW","FASTmrMLM","PstI.TP1282314",9,15059279,0.00005043128102664
"12",12,"fprinGW","FASTmrMLM","PstI.TP1264238",10,5451657,0.000000477749234659094
"13",13,"fprinGW","FASTmrMLM","PstI.TP1020545",11,7078,0.000000880440476164676
"14",14,"fprinGW","pLARmEB","PstI.TP1004938",1,72895372,0.000047522578856219
"15",15,"fprinGW","pLARmEB","PstI.TP661215",3,54129611,0.0000000000337675848642032
"16",16,"fprinGW","pLARmEB","PstI.TP332845",3,68039381,0.0000564936974812302
"17",17,"fprinGW","pLARmEB","NsiI.TP676052",4,1055463,0.0000803896244857126
"18",18,"fprinGW","pLARmEB","PstI.TP133136",5,65324990,0.0000457088189614875
"19",19,"fprinGW","pLARmEB","NsiI.TP211131",6,32284894,0.000000000417349598465317
"20",20,"fprinGW","pLARmEB","NsiI.TP493682",7,59972191,0.00000214091783457046
"21",21,"fprinGW","pLARmEB","NsiI.TP383484",9,6111601,0.00000663437475793171
"22",22,"fprinGW","pLARmEB","PstI.TP1282314",9,15059279,0.000000420242527677312
"23",23,"fprinGW","pLARmEB","PstI.TP1192081",9,48933732,0.0000503848534842304
"24",24,"fprinGW","pLARmEB","NsiI.TP616446",9,56031936,0.000000746620654377942
"25",25,"fprinGW","pLARmEB","PstI.TP125419",10,50424324,0.00000000298675775503348
"26",26,"fprinGW","pLARmEB","PstI.TP187918",11,1532,0.000000616879019745937
"27",27,"fprinGW","pLARmEB","PstI.TP497572",11,3771,0.00000670501880162841
"28",28,"fprinGW","pLARmEB","PstI.TP1020545",11,7078,0.0000408413416171077
"29",29,"fprinGW","pLARmEB","NsiI.TP767179",11,18585,0.000000482614093268521
"30",30,"fprinGW","FarmCPU","NsiI.TP632002",1,70863814,0.00000000000586594751167545
"31",31,"fprinGW","FarmCPU","NsiI.TP42348",4,49820590,0.000000829409552874429
"32",32,"fprinGW","FarmCPU","NsiI.TP222743",10,6819373,0.000000121144674546485
"33",33,"fprinGW","FarmCPU","PstI.TP202284",10,56175041,0.000000220502378269537
"34",34,"fprinGW","FarmCPU","NsiI.TP728788",11,18071,0.0000000000594892394664439
