"","ID","Trait.name","Method","SNP","Chromosome","Position","P.value"
"1",1,"FW_1","mrMLM","PstI.TP622176",3,65129470,0.0000146901422079779
"2",2,"FW_1","mrMLM","NsiI.TP825923",6,52448208,0.0000470994678162516
"3",3,"FW_1","mrMLM","PstI.TP198419",7,2405340,0.0000439399946797334
"4",4,"FW_1","FASTmrMLM","NsiI.TP414683",1,4485212,0
"5",5,"FW_1","FASTmrMLM","PstI.TP662300",1,9383388,0
"6",6,"FW_1","FASTmrMLM","NsiI.TP736839",1,11973561,0.0000037523211390275
"7",7,"FW_1","FASTmrMLM","PstI.TP1126710",1,18437271,0
"8",8,"FW_1","FASTmrMLM","NsiI.TP425431",1,29611471,0.000000271019163189084
"9",9,"FW_1","FASTmrMLM","NsiI.TP30868",1,51136397,0.000000000000309314301094896
"10",10,"FW_1","FASTmrMLM","PstI.TP1248141",1,57379416,0
"11",11,"FW_1","FASTmrMLM","NsiI.TP413314",1,58050134,0.00000426776011170354
"12",12,"FW_1","FASTmrMLM","PstI.TP457393",1,60097068,0
"13",13,"FW_1","FASTmrMLM","PstI.TP929267",1,63290479,0.0000000000680299262264862
"14",14,"FW_1","FASTmrMLM","NsiI.TP222587",1,73275339,0
"15",15,"FW_1","FASTmrMLM","PstI.TP134743",1,73610397,0
"16",16,"FW_1","FASTmrMLM","PstI.TP537292",1,78162057,0
"17",17,"FW_1","FASTmrMLM","PstI.TP640960",1,80209769,0.0000000000875790036306367
"18",18,"FW_1","FASTmrMLM","PstI.TP360841",2,2832783,0
"19",19,"FW_1","FASTmrMLM","NsiI.TP765685",2,16612091,0.000000000000016099040762157
"20",20,"FW_1","FASTmrMLM","PstI.TP729769",2,72439495,0
"21",21,"FW_1","FASTmrMLM","NsiI.TP777037",2,73985749,0.0000000173340482058893
"22",22,"FW_1","FASTmrMLM","NsiI.TP133835",2,74932493,0
"23",23,"FW_1","FASTmrMLM","NsiI.TP775735",3,13550015,0
"24",24,"FW_1","FASTmrMLM","GFSSContig10620_634",3,52781343,0
"25",25,"FW_1","FASTmrMLM","PstI.TP661215",3,54129611,0
"26",26,"FW_1","FASTmrMLM","NsiI.TP299172",3,55365719,0
"27",27,"FW_1","FASTmrMLM","NsiI.TP123780",3,55955099,0
"28",28,"FW_1","FASTmrMLM","NsiI.TP215974",3,56338222,0
"29",29,"FW_1","FASTmrMLM","NsiI.TP496851",3,61267172,0
"30",30,"FW_1","FASTmrMLM","PstI.TP513949",3,61369495,0.000000000096582846316206
"31",31,"FW_1","FASTmrMLM","PstI.TP622176",3,65129470,0
"32",32,"FW_1","FASTmrMLM","PstI.TP918301",3,66190813,0
"33",33,"FW_1","FASTmrMLM","PstI.TP346735",3,71414448,0
"34",34,"FW_1","FASTmrMLM","PstI.TP621994",3,74383503,0.00000000309385531545166
"35",35,"FW_1","FASTmrMLM","PstI.TP532669",4,3498516,0
"36",36,"FW_1","FASTmrMLM","NsiI.TP56457",4,4041209,0
"37",37,"FW_1","FASTmrMLM","PstI.TP876839",4,6887064,0
"38",38,"FW_1","FASTmrMLM","NsiI.TP821811",4,48427329,0
"39",39,"FW_1","FASTmrMLM","NsiI.TP324593",4,54954569,0
"40",40,"FW_1","FASTmrMLM","NsiI.TP205267",4,64749548,0.000000705504844050652
"41",41,"FW_1","FASTmrMLM","PstI.TP325669",4,67124681,0.00000000221003931734919
"42",42,"FW_1","FASTmrMLM","PstI.TP1014148",5,51656308,0
"43",43,"FW_1","FASTmrMLM","NsiI.TP245163",5,55180573,0
"44",44,"FW_1","FASTmrMLM","NsiI.TP604676",5,62326679,0
"45",45,"FW_1","FASTmrMLM","PstI.TP133136",5,65324990,0
"46",46,"FW_1","FASTmrMLM","PstI.TP1052140",6,19137861,0
"47",47,"FW_1","FASTmrMLM","NsiI.TP211131",6,32284894,0
"48",48,"FW_1","FASTmrMLM","NsiI.TP614958",6,45639721,0.000103157307943951
"49",49,"FW_1","FASTmrMLM","PstI.TP1045605",6,49825862,0.000000857827569882808
"50",50,"FW_1","FASTmrMLM","NsiI.TP825923",6,52448208,0
"51",51,"FW_1","FASTmrMLM","PstI.TP705829",6,58061911,0
"52",52,"FW_1","FASTmrMLM","PstI.TP852912",6,60106545,0
"53",53,"FW_1","FASTmrMLM","PstI.TP198419",7,2405340,0.000000000375404954472084
"54",54,"FW_1","FASTmrMLM","NsiI.TP607068",8,1666575,0.0000000000000101041550052821
"55",55,"FW_1","FASTmrMLM","NsiI.TP810192",8,2563502,0
"56",56,"FW_1","FASTmrMLM","PstI.TP1282314",9,15059279,0
"57",57,"FW_1","FASTmrMLM","PstI.TP1192081",9,48933732,0
"58",58,"FW_1","FASTmrMLM","NsiI.TP151058",9,52613984,0.0000000000000061066074047883
"59",59,"FW_1","FASTmrMLM","NsiI.TP738747",9,55526594,0.0000000000005043128102664
"60",60,"FW_1","FASTmrMLM","NsiI.TP616446",9,56031936,0
"61",61,"FW_1","FASTmrMLM","PstI.TP1264238",10,5451657,0.00000697910930199934
"62",62,"FW_1","FASTmrMLM","PstI.TP1256552",10,47768031,0.0000761903555049371
"63",63,"FW_1","FASTmrMLM","PstI.TP125419",10,50424324,0.000000000000000222024039534507
"64",64,"FW_1","FASTmrMLM","PstI.TP1086849",10,52687006,0
"65",65,"FW_1","FASTmrMLM","PstI.TP101438",10,56101348,0
"66",66,"FW_1","FASTmrMLM","PstI.TP271541",10,56172761,0
"67",67,"FW_1","FASTmrMLM","PstI.TP248498",10,57422064,0
"68",68,"FW_1","FASTmrMLM","PstI.TP846605",10,61222842,0
"69",69,"FW_1","FASTmrMLM","PstI.TP68941",11,572,0.0000000605340874753914
"70",70,"FW_1","FASTmrMLM","PstI.TP108730",11,899,0
"71",71,"FW_1","FASTmrMLM","PstI.TP113541",11,940,0
"72",72,"FW_1","FASTmrMLM","PstI.TP118441",11,979,0
"73",73,"FW_1","FASTmrMLM","PstI.TP187918",11,1532,0
"74",74,"FW_1","FASTmrMLM","PstI.TP290680",11,2307,0.0000182767932897041
"75",75,"FW_1","FASTmrMLM","PstI.TP393010",11,3057,0
"76",76,"FW_1","FASTmrMLM","PstI.TP434247",11,3327,0
"77",77,"FW_1","FASTmrMLM","PstI.TP478815",11,3634,0.0000000403088121287061
"78",78,"FW_1","FASTmrMLM","PstI.TP511612",11,3858,0
"79",79,"FW_1","FASTmrMLM","PstI.TP607810",11,4293,0.00000674838730870757
"80",80,"FW_1","FASTmrMLM","PstI.TP693499",11,4804,0
"81",81,"FW_1","FASTmrMLM","PstI.TP720017",11,4972,0
"82",82,"FW_1","FASTmrMLM","PstI.TP793039",11,5486,0.0000000166341265037017
"83",83,"FW_1","FASTmrMLM","PstI.TP874146",11,6098,0
"84",84,"FW_1","FASTmrMLM","PstI.TP897332",11,6254,0
"85",85,"FW_1","FASTmrMLM","PstI.TP955372",11,6663,0.0000000564806908241676
"86",86,"FW_1","FASTmrMLM","PstI.TP1009395",11,6997,0
"87",87,"FW_1","FASTmrMLM","PstI.TP1018027",11,7068,0
"88",88,"FW_1","FASTmrMLM","PstI.TP1020545",11,7078,0
"89",89,"FW_1","FASTmrMLM","PstI.TP1046468",11,7261,0
"90",90,"FW_1","FASTmrMLM","PstI.TP1075605",11,7505,0
"91",91,"FW_1","FASTmrMLM","PstI.TP1159423",11,8140,0.000000000000000333042762308747
"92",92,"FW_1","FASTmrMLM","PstI.TP1177996",11,8302,0
"93",93,"FW_1","FASTmrMLM","NsiI.TP46117",11,9698,0.000000000447404141575597
"94",94,"FW_1","FASTmrMLM","NsiI.TP59527",11,9833,0
"95",95,"FW_1","FASTmrMLM","NsiI.TP130730",11,10568,0.000000208641165456301
"96",96,"FW_1","FASTmrMLM","NsiI.TP169341",11,11008,0
"97",97,"FW_1","FASTmrMLM","NsiI.TP245890",11,11906,0
"98",98,"FW_1","FASTmrMLM","NsiI.TP416911",11,13756,0
"99",99,"FW_1","FASTmrMLM","NsiI.TP420914",11,13804,0.0000000000000132129563418658
"100",100,"FW_1","FASTmrMLM","NsiI.TP491839",11,15088,0
"101",101,"FW_1","FASTmrMLM","NsiI.TP495572",11,15165,0
"102",102,"FW_1","FASTmrMLM","NsiI.TP557880",11,16037,0
"103",103,"FW_1","FASTmrMLM","NsiI.TP646295",11,17132,0
"104",104,"FW_1","FASTmrMLM","NsiI.TP654668",11,17191,0
"105",105,"FW_1","FASTmrMLM","NsiI.TP685658",11,17582,0
