"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"116","Cml_cm","mrMLM","PstI.TP745785",6,45615805,0.000104314336491128
"116","Cml_cm","mrMLM","NsiI.TP648509",10,41353679,7.32615326541839e-05
"116","Cml_cm","FASTmrMLM","PstI.TP745785",6,45615805,5.29663443891658e-05
"116","Cml_cm","FASTmrMLM","NsiI.TP648509",10,41353679,8.82266928217717e-05
"116","Cml_cm","FASTmrEMMA","NsiI.TP648509",10,41353679,2.1325538179462e-05
"116","Cml_cm","ISIS EM-BLASSO","PstI.TP1066422",3,60988993,4.76211632739821e-06
"116","Cml_cm","ISIS EM-BLASSO","PstI.TP57846",4,4201581,4.51543921127832e-08
"116","Cml_cm","ISIS EM-BLASSO","PstI.TP290738",7,59825579,3.81944270840046e-06
"116","Cml_cm","ISIS EM-BLASSO","PstI.TP15780",9,56211895,5.00956481513398e-05
"116","Cml_cm","ISIS EM-BLASSO","NsiI.TP648509",10,41353679,3.50751873952568e-05
"116","Cml_cm","ISIS EM-BLASSO","PstI.TP433679",11,3324,3.76010523668496e-05
"116","Cml_cm","FarmCPU","PstI.TP1155086",9,50004653,1.33880754351566e-11
"116","Cml_cm","FarmCPU","PstI.TP10996",6,57974096,5.92272836350081e-09
"116","Cml_cm","FarmCPU","NsiI.TP218789",3,51796050,2.45419614396217e-07
"116","Cml_cm","FarmCPU","PstI.TP105605",3,54845915,7.45851713841219e-07
"116","Cml_cm","FarmCPU","PstI.TP751721",9,50513395,1.942469301962e-06
"116","Cml_cm","FarmCPU","PstI.TP703969",1,80877289,9.55187467546919e-06
