"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"106","CmD_BI_mm","mrMLM","PstI.TP1012416",2,59610846,1.17850112109487e-05
"106","CmD_BI_mm","mrMLM","PstI.TP704244",3,50687892,0.000105466127524245
"106","CmD_BI_mm","mrMLM","PstI.TP1132955",4,63683010,8.634734729379e-07
"106","CmD_BI_mm","mrMLM","NsiI.TP765320",7,5038310,5.5038678782126e-06
"106","CmD_BI_mm","FASTmrMLM","PstI.TP57846",4,4201581,4.48022680412866e-06
"106","CmD_BI_mm","FASTmrMLM","PstI.TP737962",11,5096,2.58285484647637e-07
"106","CmD_BI_mm","FASTmrEMMA","PstI.TP57846",4,4201581,2.69215462407529e-06
"106","CmD_BI_mm","FASTmrEMMA","PstI.TP737962",11,5096,2.87872381083525e-06
"106","CmD_BI_mm","pLARmEB","PstI.TP704244",3,50687892,0.000153709248761617
"106","CmD_BI_mm","pLARmEB","PstI.TP57846",4,4201581,1.67070587577331e-08
"106","CmD_BI_mm","pLARmEB","PstI.TP737962",11,5096,3.50428968264438e-06
"106","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP998491",2,14521096,6.5328095883039e-05
"106","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP57846",4,4201581,1.38324783771467e-06
"106","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP411848",11,3188,0.000115691113213155
"106","CmD_BI_mm","ISIS EM-BLASSO","PstI.TP737962",11,5096,1.20670190959328e-07
"106","CmD_BI_mm","FarmCPU","PstI.TP10996",6,57974096,9.53216066325612e-08
"106","CmD_BI_mm","FarmCPU","PstI.TP57846",4,4201581,2.64356995407546e-07
"106","CmD_BI_mm","FarmCPU","PstI.TP418657",9,3167458,1.33961273161598e-06
"106","CmD_BI_mm","FarmCPU","PstI.TP433234",11,3320,3.48505181488577e-06
