"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"106","Yld_kg","mrMLM","PstI.TP704244",3,50687892,5.51294931909578e-05
"106","Yld_kg","mrMLM","PstI.TP1040729",4,54844080,4.41860317210468e-08
"106","Yld_kg","FASTmrMLM","PstI.TP745785",6,45615805,0.000193553041397974
"106","Yld_kg","FASTmrMLM","PstI.TP63668",11,530,0.000162929603263972
"106","Yld_kg","FASTmrMLM","PstI.TP1071296",11,7466,2.559764430599e-05
"106","Yld_kg","FASTmrEMMA","PstI.TP1071296",11,7466,7.41651705902193e-07
"106","Yld_kg","FASTmrEMMA","NsiI.TP482576",11,14924,6.87068440014232e-05
"106","Yld_kg","pLARmEB","PstI.TP745785",6,45615805,1.72424906834164e-06
"106","Yld_kg","pLARmEB","PstI.TP55941",6,51146867,5.8708366939627e-07
"106","Yld_kg","pLARmEB","PstI.TP315072",8,3139123,1.9306342214162e-07
"106","Yld_kg","pLARmEB","PstI.TP63668",11,530,3.49784048425141e-08
"106","Yld_kg","ISIS EM-BLASSO","NsiI.TP447144",3,63530717,4.7951257408135e-05
"106","Yld_kg","ISIS EM-BLASSO","PstI.TP745785",6,45615805,1.06635055667011e-05
"106","Yld_kg","ISIS EM-BLASSO","PstI.TP1071296",11,7466,5.68198391559906e-07
"106","Yld_kg","FarmCPU","PstI.TP315072",8,3139123,9.59004754384931e-08
"106","Yld_kg","FarmCPU","PstI.TP392482",1,17611146,1.97964544178056e-06
"106","Yld_kg","FarmCPU","PstI.TP1071296",11,7466,3.59842997992875e-06
"106","Yld_kg","FarmCPU","PstI.TP419952",1,13194145,3.66060107350208e-06
"106","Yld_kg","FarmCPU","PstI.TP523465",2,75496167,4.23752290360297e-06
"106","Yld_kg","FarmCPU","PstI.TP411848",11,3188,5.70995560006459e-06
