"Trait ID","Trait name","Method","RS#","Chromosome","Marker Position (bp)","SNP effect","-log10(P)","Genotype for code 1"
"1","Trait1","mrMLM","PstI.TP506588","1","80675","8.7078e-06","0.0018","C"
"1","Trait1","mrMLM","PstI.TP863331","1","161269","-7.9671e-07","2e-04","A"
"1","Trait1","mrMLM","NsiI.TP611047","1","185165","0.0077","0.1102","A"
"1","Trait1","mrMLM","PstI.TP271714","1","262844","5.4362e-06","0.0011","A"
"1","Trait1","mrMLM","PstI.TP424788","1","263370","0.1202","0.595","A"
"1","Trait1","mrMLM","PstI.TP931820","1","284314","-1.2061e-05","0.0025","A"
"1","Trait1","mrMLM","NsiI.TP148773","1","285352","-1.8891e-05","0.004","A"
"1","Trait1","mrMLM","NsiI.TP579900","1","335878","-9.9353e-06","0.0021","G"
"1","Trait1","mrMLM","PstI.TP425356","1","569039","-4.8822e-06","0.001","C"
"1","Trait1","mrMLM","PstI.TP999740","1","569491","1.1491e-05","0.0024","A"
"1","Trait1","mrMLM","NsiI.TP802651","1","754114","2.6863e-05","0.0057","C"
"1","Trait1","mrMLM","NsiI.TP585976","1","829048","8.6283e-06","0.0018","C"
"1","Trait1","mrMLM","PstI.TP1152021","1","865447","1.3786e-05","0.0029","A"
"1","Trait1","mrMLM","PstI.TP716618","1","918921","0.1478","0.762","G"
"1","Trait1","mrMLM","PstI.TP1246584","1","1015480","-0.0385","0.549","C"
"1","Trait1","mrMLM","PstI.TP354591","1","1050082","-9.3471e-06","0.002","C"
"1","Trait1","mrMLM","PstI.TP856852","1","1153760","0.0095","0.1302","G"
"1","Trait1","mrMLM","PstI.TP775725","1","1175417","-0.1603","1.318","A"
"1","Trait1","mrMLM","PstI.TP136460","1","1229717","-8.603e-06","0.0018","A"
"1","Trait1","mrMLM","NsiI.TP72077","1","1422420","-7.0732e-06","0.0015","A"
"1","Trait1","mrMLM","PstI.TP13650","1","1521127","0.0142","0.1442","A"
"1","Trait1","mrMLM","PstI.TP329515","1","1537490","-0.1125","1.587","C"
"1","Trait1","mrMLM","PstI.TP1031399","1","1661159","-4.1163e-05","0.0088","C"
"1","Trait1","mrMLM","NsiI.TP796534","1","1682668","-2.2097e-06","5e-04","A"
"1","Trait1","mrMLM","NsiI.TP709976","1","1682685","0.0495","0.539","A"
"1","Trait1","mrMLM","PstI.TP929619","1","1952038","1.3878e-05","0.0029","A"
"1","Trait1","mrMLM","PstI.TP417865","1","2030761","-5.6156e-06","0.0012","C"
"1","Trait1","mrMLM","PstI.TP885267","1","2084430","-0.0489","0.3432","A"
"1","Trait1","mrMLM","PstI.TP1294018","1","2280325","0.104","0.8455","C"
"1","Trait1","mrMLM","PstI.TP56795","1","2315051","-0.1029","0.4093","G"
"1","Trait1","mrMLM","PstI.TP108989","1","2588793","-0.038","0.3196","C"
"1","Trait1","mrMLM","PstI.TP966432","1","2596832","-6.2167e-06","0.0013","A"
"1","Trait1","mrMLM","NsiI.TP486649","1","2601704","-1.7568e-05","0.0037","A"
"1","Trait1","mrMLM","PstI.TP441536","1","2816855","-0.0696","1.1625","C"
"1","Trait1","mrMLM","PstI.TP1085601","1","2820903","5.1707e-06","0.0011","A"
"1","Trait1","mrMLM","PstI.TP525202","1","2884119","-1.8549e-05","0.0039","A"
"1","Trait1","mrMLM","PstI.TP1268585","1","2988383","0.0247","0.26","C"
"1","Trait1","mrMLM","PstI.TP849876","1","3050119","1.8094e-05","0.0038","C"
"1","Trait1","mrMLM","PstI.TP66009","1","3078783","-1.3598e-05","0.0029","A"
"1","Trait1","mrMLM","PstI.TP209693","1","3305106","-0.0251","0.1942","A"
"1","Trait1","mrMLM","PstI.TP626124","1","3342723","0.1937","1.0812","A"
"1","Trait1","mrMLM","PstI.TP1059573","1","3357749","9.9699e-06","0.0021","A"
"1","Trait1","mrMLM","NsiI.TP504485","1","3381640","9.4456e-06","0.002","A"
"1","Trait1","mrMLM","PstI.TP1243055","1","3389055","-1.7417e-05","0.0037","A"
"1","Trait1","mrMLM","NsiI.TP260939","1","3396877","-0.0432","0.5984","C"
"1","Trait1","mrMLM","PstI.TP1244443","1","3397749","0.0342","0.3655","C"
"1","Trait1","mrMLM","PstI.TP1199997","1","3471828","4.063e-06","9e-04","C"
"1","Trait1","mrMLM","PstI.TP757375","1","3471897","1.7788e-05","0.0038","A"
"1","Trait1","mrMLM","PstI.TP726521","1","3535515","-0.1611","1.1435","C"
"1","Trait1","mrMLM","PstI.TP374511","1","3576636","-1.6047e-05","0.0034","A"
"1","Trait1","mrMLM","PstI.TP1267977","1","3576713","2.441e-05","0.0052","A"
"1","Trait1","mrMLM","PstI.TP1155202","1","3620639","0.0073","0.1031","A"
"1","Trait1","mrMLM","PstI.TP12228","1","3683456","-5.3526e-06","0.0011","C"
"1","Trait1","mrMLM","PstI.TP961085","1","3705536","-1.1059e-05","0.0023","A"
"1","Trait1","mrMLM","PstI.TP21889","1","3705780","2.7424e-06","6e-04","A"
"1","Trait1","mrMLM","PstI.TP1053336","1","3955998","0.0233","0.219","A"
"1","Trait1","mrMLM","NsiI.TP403662","1","3957731","0.0966","1.0162","A"
"1","Trait1","mrMLM","PstI.TP891020","1","4033768","2.8632e-06","6e-04","G"
"1","Trait1","mrMLM","PstI.TP629259","1","4276027","0.0023","0.0808","C"
