"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"125","Bcirc_cm","mrMLM","PstI.TP790069",2,699673,2.1824535036712e-08
"125","Bcirc_cm","mrMLM","PstI.TP1032333",3,3528771,2.4635591832588e-07
"125","Bcirc_cm","FASTmrMLM","PstI.TP790069",2,699673,5.8425172053603e-08
"125","Bcirc_cm","FASTmrMLM","PstI.TP1032333",3,3528771,3.81153577144849e-06
"125","Bcirc_cm","FASTmrEMMA","PstI.TP1032333",3,3528771,1.13631829766731e-06
"125","Bcirc_cm","pLARmEB","PstI.TP790069",2,699673,2.55152601090967e-05
"125","Bcirc_cm","pLARmEB","PstI.TP476886",2,55394288,7.81088061671056e-05
"125","Bcirc_cm","pLARmEB","PstI.TP1032333",3,3528771,5.7003300221896e-07
"125","Bcirc_cm","pKWmEB","PstI.TP790069",2,699673,6.79829490454955e-06
"125","Bcirc_cm","pKWmEB","PstI.TP1032333",3,3528771,1.40669518206104e-07
"125","Bcirc_cm","ISIS EM-BLASSO","PstI.TP790069",2,699673,0.000101718512368322
"125","Bcirc_cm","ISIS EM-BLASSO","PstI.TP476886",2,55394288,0.000109849984505838
"125","Bcirc_cm","ISIS EM-BLASSO","PstI.TP1032333",3,3528771,1.35113890706621e-09
"125","Bcirc_cm","ISIS EM-BLASSO","PstI.TP663882",7,57555118,0.000195343965639826
"125","Bcirc_cm","FarmCPU","PstI.TP1155086",9,50004653,4.05740713063273e-07
"125","Bcirc_cm","FarmCPU","PstI.TP1032333",3,3528771,5.13114358090384e-07
"125","Bcirc_cm","FarmCPU","PstI.TP790069",2,699673,6.13628604012017e-07
"125","Bcirc_cm","FarmCPU","PstI.TP197187",3,17294454,1.78927725404114e-05
