"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"125","CmD_LI_mm","mrMLM","PstI.TP457393",1,60097068,1.01434338193048e-05
"125","CmD_LI_mm","mrMLM","PstI.TP710636",6,45894338,3.0518416798033e-05
"125","CmD_LI_mm","FASTmrEMMA","PstI.TP457393",1,60097068,7.04368620528747e-06
"125","CmD_LI_mm","pKWmEB","PstI.TP790069",2,699673,0.00012251802857418
"125","CmD_LI_mm","ISIS EM-BLASSO","PstI.TP1181476",5,2299991,9.70733461153507e-06
"125","CmD_LI_mm","ISIS EM-BLASSO","PstI.TP710636",6,45894338,2.11933690126401e-06
"125","CmD_LI_mm","ISIS EM-BLASSO","PstI.TP81008",11,677,0.000126008545908824
"125","CmD_LI_mm","FarmCPU","PstI.TP961110",1,65184135,5.19299019013967e-07
"125","CmD_LI_mm","FarmCPU","PstI.TP1294195",11,9130,3.91529767945809e-06
"125","CmD_LI_mm","FarmCPU","PstI.TP457393",1,60097068,9.00098330237803e-06
"125","CmD_LI_mm","FarmCPU","NsiI.TP648509",10,41353679,1.49309354285663e-05
