"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"125","CCirc_cm","mrMLM","PstI.TP308053",1,8330660,1.65084766579517e-06
"125","CCirc_cm","mrMLM","PstI.TP457393",1,60097068,2.99253335648756e-05
"125","CCirc_cm","FASTmrMLM","PstI.TP308053",1,8330660,7.425060556922e-07
"125","CCirc_cm","FASTmrMLM","PstI.TP457393",1,60097068,4.56562250202236e-07
"125","CCirc_cm","FASTmrEMMA","PstI.TP457393",1,60097068,1.10866413897996e-08
"125","CCirc_cm","pLARmEB","PstI.TP308053",1,8330660,1.80218761166405e-07
"125","CCirc_cm","pLARmEB","PstI.TP993272",2,58286678,1.80925591025382e-06
"125","CCirc_cm","pLARmEB","PstI.TP55941",6,51146867,5.48024532176851e-08
"125","CCirc_cm","pLARmEB","PstI.TP315072",8,3139123,1.2348096078586e-06
"125","CCirc_cm","pLARmEB","PstI.TP387329",9,55961556,5.25654032006987e-05
"125","CCirc_cm","pKWmEB","PstI.TP308053",1,8330660,3.0824781017155e-09
"125","CCirc_cm","pKWmEB","PstI.TP70600",9,46098921,4.89778819368447e-05
"125","CCirc_cm","pKWmEB","PstI.TP15780",9,56211895,8.66961875758216e-05
"125","CCirc_cm","ISIS EM-BLASSO","PstI.TP308053",1,8330660,1.44577263387363e-05
"125","CCirc_cm","ISIS EM-BLASSO","PstI.TP387329",9,55961556,9.74540741766307e-05
"125","CCirc_cm","FarmCPU","PstI.TP401147",11,3119,3.16116863740088e-06
