"SNP.N","Trait.name","Method","SNP","Chromosome","Position","P.value"
"125","GS","FASTmrMLM","PstI.TP84880",1,63680478,5.55264617119564e-10
"125","GS","FASTmrMLM","NsiI.TP583360",2,66047191,1.28144508594579e-10
"125","GS","FASTmrMLM","PstI.TP404112",4,61296221,2.56862082938287e-05
"125","GS","FASTmrMLM","PstI.TP292777",7,64227793,1.126678482071e-06
"125","GS","FASTmrMLM","PstI.TP624488",11,4383,2.42828691703896e-05
"125","GS","FASTmrMLM","PstI.TP1014210",11,7040,3.7792010796188e-09
"125","GS","FASTmrEMMA","PstI.TP483846",1,61901448,6.29216351287986e-05
"125","GS","FASTmrEMMA","PstI.TP691334",3,4847914,0.000157543322407111
"125","GS","FASTmrEMMA","PstI.TP738082",10,6556740,3.22032719816754e-08
"125","GS","FASTmrEMMA","PstI.TP1014210",11,7040,0
"125","GS","pLARmEB","PstI.TP84880",1,63680478,6.68805752684925e-06
"125","GS","pLARmEB","NsiI.TP583360",2,66047191,9.05315591648484e-11
"125","GS","pLARmEB","PstI.TP404112",4,61296221,3.59997927043357e-06
"125","GS","pLARmEB","PstI.TP624488",11,4383,1.78237876744809e-05
"125","GS","pLARmEB","PstI.TP1014210",11,7040,5.49414351962141e-06
"125","GS","ISIS EM-BLASSO","NsiI.TP583360",2,66047191,5.75042574770638e-06
"125","GS","ISIS EM-BLASSO","PstI.TP404112",4,61296221,5.68460116849008e-05
"125","GS","ISIS EM-BLASSO","PstI.TP624488",11,4383,6.27769193838217e-07
"125","GS","FarmCPU","PstI.TP62485",4,61781548,1.3861593702789e-15
"125","GS","FarmCPU","PstI.TP1014210",11,7040,1.70598299065903e-11
"125","GS","FarmCPU","PstI.TP807213",1,57183105,4.4744481248524e-09
"125","GS","FarmCPU","PstI.TP738082",10,6556740,7.8170297513092e-09
"125","GS","FarmCPU","PstI.TP746826",5,1609271,1.58289218420358e-08
"125","GS","FarmCPU","NsiI.TP328854",3,71291896,9.19085124771898e-08
"125","GS","FarmCPU","PstI.TP373489",4,12025790,1.45939475154513e-06
"125","GS","MLMM","PstI.TP746826",5,1609271,5.15237276993654e-48
"125","GS","MLMM","PstI.TP1226733",11,8645,4.0469758444217e-36
"125","GS","MLMM","PstI.TP44157",4,67560728,6.0157658080776e-17
"125","GS","MLMM","PstI.TP483846",1,61901448,1.17167151905083e-24
"125","GS","MLMM","PstI.TP37494",1,15597809,1.48307567766964e-17
"125","GS","MLMM","PstI.TP400705",7,1246953,1.88448087806166e-11
"125","GS","MLMM","PstI.TP907404",1,18035898,5.78007738168781e-06
"125","GS","MLMM","PstI.TP1208950",3,8740326,2.41567766903087e-06
"125","GS","MLMM","PstI.TP1104697",1,34536264,1.15263349142148e-07
"125","GS","MLMM","PstI.TP410616",11,3179,1.56622185152545e-05
"125","GS","MLMM","PstI.TP875497",1,17132096,1.53812467745166e-07
"125","GS","MLMM","PstI.TP288834",11,2294,2.55350694927219e-09
"125","GS","MLMM","PstI.TP84106",9,11066353,3.94888698488221e-13
