"","SNP","Chromosome","Position","GLM.GHW_1","MLM.GHW_1","CMLM.GHW_1","SUPER.GHW_1","rrBLUP.GHW_1","Adj.P.GLM.GHW_1","Adj.P.MLM.GHW_1","Adj.P.CMLM.GHW_1","Adj.P.SUPER.GHW_1","Adj.P.rrBLUP.GHW_1"
"167","NsiI.TP412045",1,2102732,0.000895896550095684,0.0152662256042754,0.0152662256042754,4.93213143111541e-05,0.913454949329376,0.269151213341188,0.998859000583534,0.998859000583534,0.0338906369288992,1
"517","PstI.TP677745",1,5751851,0.000225072162433339,0.00444030957009639,0.00444030957009639,4.96634030885129e-05,0.319268280867493,0.269151213341188,0.998859000583534,0.998859000583534,0.0338906369288992,1
"586","NsiI.TP476261",1,6164220,0.00199998781333456,0.0159481489493581,0.0159481489493581,2.54903350593182e-05,1,0.27779242704136,0.998859000583534,0.998859000583534,0.0323285235157236,1
"630","NsiI.TP174370",1,6704694,0.00833983116190451,0.0775092917428128,0.0775092917428128,3.93275232188007e-06,1,0.327964763294354,0.998859000583534,0.998859000583534,0.0323285235157236,1
"646","NsiI.TP750756",1,6898016,0.00431477883297338,0.0161004558045957,0.0161004558045957,3.11610601937244e-05,0.101785586700762,0.300846553370326,0.998859000583534,0.998859000583534,0.0323285235157236,1
"942","PstI.TP91211",1,10530796,0.00489250645741651,0.0154992188553194,0.0154992188553194,7.69471728783497e-05,0.507229130080231,0.303040779832531,0.998859000583534,0.998859000583534,0.0378182888427303,1
"1111","NsiI.TP750615",1,12653027,0.000251791973972762,0.00067695408307224,0.00067695408307224,0.000106142368549326,0.157308948109014,0.269151213341188,0.998859000583534,0.998859000583534,0.0392836703931519,1
"1127","NsiI.TP195180",1,12857502,0.000434977411306057,0.00631984132526187,0.00631984132526187,0.000107766663958159,0.310624423642286,0.269151213341188,0.998859000583534,0.998859000583534,0.0392836703931519,1
"1169","PstI.TP211414",1,13593203,0.0105779958170034,0.141926456885899,0.141926456885899,9.98171625860096e-05,0.769674806461457,0.341294212419325,0.998859000583534,0.998859000583534,0.0392836703931519,1
"1842","PstI.TP1021663",1,55052456,0.0865217386601893,0.128505015194342,0.128505015194342,5.37394225291152e-05,1,0.567708455412529,0.998859000583534,0.998859000583534,0.0340236540391353,1
"2009","PstI.TP178720",1,58289912,0.00015156830394779,0.0107464514729541,0.0107464514729541,2.38197465494897e-05,0.947908461594578,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"2119","NsiI.TP123778",1,60586278,0.00175076121431733,0.0298679991375174,0.0298679991375174,5.88860522474934e-05,0.975193697762643,0.277565879856885,0.998859000583534,0.998859000583534,0.0343402768091448,1
"2369","PstI.TP477722",1,65237049,0.000174495589755692,0.00731975162825066,0.00731975162825066,6.70234206854249e-05,0.28780647476439,0.269151213341188,0.998859000583534,0.998859000583534,0.0353814676721947,1
"2862","NsiI.TP632002",1,70863814,8.87066368414587e-05,1.49114813992851e-05,1.49114813992851e-05,2.7355434779311e-05,0.100868844482283,0.269151213341188,0.538125540737401,0.538125540737401,0.0323285235157236,1
"2894","PstI.TP1052870",1,71227822,0.000419959509355079,0.000818102853058661,0.000818102853058661,6.86295371606526e-05,0.185813131588799,0.269151213341188,0.998859000583534,0.998859000583534,0.0353814676721947,1
"3027","NsiI.TP607427",1,72380263,0.0168429737056419,0.632318967804876,0.632318967804876,8.75680080394748e-05,0.775668671248144,0.377198674149612,0.998859000583534,0.998859000583534,0.0392836703931519,1
"3051","NsiI.TP469911",1,72682614,0.0117917521618389,0.0175010048032579,0.0175010048032579,3.79926817399739e-06,0.864543458133701,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"3765","PstI.TP6990",1,79172378,0.00639502304164386,0.0507818143072439,0.0507818143072439,0.000124420846097283,0.46539649102639,0.314446116151052,0.998859000583534,0.998859000583534,0.0393368760082111,1
"4565","PstI.TP1104477",10,9762760,0.0211880176540665,0.194266373522112,0.194266373522112,8.27877637601334e-05,0.51207437300431,0.390838595844175,0.998859000583534,0.998859000583534,0.0378182888427303,1
"4843","NsiI.TP790895",10,43096227,0.0139047971091869,0.167452632491576,0.167452632491576,0.000144663658623839,0.397241074991912,0.363547726265988,0.998859000583534,0.998859000583534,0.0393368760082111,1
"4861","NsiI.TP791431",10,43096232,0.033732150358667,0.372510294485621,0.372510294485621,7.94956612863532e-05,0.455066333227475,0.433052981519221,0.998859000583534,0.998859000583534,0.0378182888427303,1
"4912","NsiI.TP523957",10,43623816,0.0115528088534964,0.00549659812018369,0.00549659812018369,1.40967930882138e-05,1,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"5383","PstI.TP202284",10,56175041,4.29842927525092e-05,0.0049032768797791,0.0049032768797791,0.000106626118142223,0.666897158514344,0.269151213341188,0.998859000583534,0.998859000583534,0.0392836703931519,1
"6705","PstI.TP136362",11,1134,0.000882868577112067,0.0297235708082289,0.0297235708082289,7.12720005283962e-05,1,0.269151213341188,0.998859000583534,0.998859000583534,0.0359379161297832,1
