"","SNP","Chromosome","Position","GLM.GHW_1","MLM.GHW_1","CMLM.GHW_1","SUPER.GHW_1","rrBLUP.GHW_1","Adj.P.GLM.GHW_1","Adj.P.MLM.GHW_1","Adj.P.CMLM.GHW_1","Adj.P.SUPER.GHW_1","Adj.P.rrBLUP.GHW_1"
"586","NsiI.TP476261",1,6164220,0.00199998781333456,0.0159481489493581,0.0159481489493581,2.54903350593182e-05,1,0.27779242704136,0.998859000583534,0.998859000583534,0.0323285235157236,1
"630","NsiI.TP174370",1,6704694,0.00833983116190451,0.0775092917428128,0.0775092917428128,3.93275232188007e-06,1,0.327964763294354,0.998859000583534,0.998859000583534,0.0323285235157236,1
"646","NsiI.TP750756",1,6898016,0.00431477883297338,0.0161004558045957,0.0161004558045957,3.11610601937244e-05,0.101785586700762,0.300846553370326,0.998859000583534,0.998859000583534,0.0323285235157236,1
"2009","PstI.TP178720",1,58289912,0.00015156830394779,0.0107464514729541,0.0107464514729541,2.38197465494897e-05,0.947908461594578,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"2862","NsiI.TP632002",1,70863814,8.87066368414587e-05,1.49114813992851e-05,1.49114813992851e-05,2.7355434779311e-05,0.100868844482283,0.269151213341188,0.538125540737401,0.538125540737401,0.0323285235157236,1
"3051","NsiI.TP469911",1,72682614,0.0117917521618389,0.0175010048032579,0.0175010048032579,3.79926817399739e-06,0.864543458133701,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"4912","NsiI.TP523957",10,43623816,0.0115528088534964,0.00549659812018369,0.00549659812018369,1.40967930882138e-05,1,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"7021","PstI.TP189070",11,1540,0.018072081658047,0.067998356792743,0.067998356792743,4.56107388183214e-06,1,0.380900082908141,0.998859000583534,0.998859000583534,0.0323285235157236,1
"7949","PstI.TP344604",11,2716,0.0050470807425044,0.0107365402754631,0.0107365402754631,1.13015311179404e-05,1,0.303040779832531,0.998859000583534,0.998859000583534,0.0323285235157236,1
"9583","PstI.TP687504",11,4751,0.0254272679771528,0.257430621501244,0.257430621501244,2.60488943847851e-05,0.335988135975942,0.412935552866009,0.998859000583534,0.998859000583534,0.0323285235157236,1
"10434","PstI.TP836762",11,5799,0.000166018912248639,0.0181994802515703,0.0181994802515703,2.86705800713527e-05,1,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"11287","PstI.TP989816",11,6875,0.00907756124713957,0.0220117204187206,0.0220117204187206,2.67282175776963e-05,1,0.331109542714652,0.998859000583534,0.998859000583534,0.0323285235157236,1
"11418","PstI.TP1016686",11,7060,0.000613663044594927,0.00568537907690982,0.00568537907690982,1.69956918426423e-05,0.273557042683669,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"13912","NsiI.TP115990",11,10376,0.00104717774669282,0.037245027071896,0.037245027071896,2.77007956663805e-05,0.566185781841274,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"14485","NsiI.TP185826",11,11195,0.0107981864945317,0.0322612901240252,0.0322612901240252,1.66412442541885e-05,0.256031734536139,0.343810053873035,0.998859000583534,0.998859000583534,0.0323285235157236,1
"15508","NsiI.TP318460",11,12617,0.000597638498701635,0.00660833555320265,0.00660833555320265,1.8132384207594e-05,0.933645173347598,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"16493","NsiI.TP426523",11,13953,0.000108742499239682,0.00384264709823212,0.00384264709823212,3.25224694117084e-05,0.27807507619689,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"16617","NsiI.TP433644",11,14118,0.000607183853447655,0.0108085851360845,0.0108085851360845,2.48023720053251e-05,1,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"19002","NsiI.TP675510",11,17441,0.00101937177854815,0.00762924353591687,0.00762924353591687,2.32025340789465e-05,0.311685839592295,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"19142","NsiI.TP689875",11,17622,4.68629771597894e-05,0.0006467065814292,0.0006467065814292,3.15477802247927e-06,1,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"19240","NsiI.TP701971",11,17760,0.000305873162796408,0.00131958816014522,0.00131958816014522,2.14171752450056e-05,0.491996888992191,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"22721","PstI.TP875140",2,72930521,0.012916036237191,0.157454053142508,0.157454053142508,1.03720735979298e-05,0.217273069642628,0.359435656052336,0.998859000583534,0.998859000583534,0.0323285235157236,1
"23754","PstI.TP166748",3,7900736,0.00269856676008692,0.0434305194476105,0.0434305194476105,3.28015448155872e-05,0.78556956475328,0.286970762993404,0.998859000583534,0.998859000583534,0.0323285235157236,1
"24685","PstI.TP892247",3,57467578,0.00815913606784344,0.0347410973551901,0.0347410973551901,1.43174039073274e-05,0.896077088638727,0.326957871114421,0.998859000583534,0.998859000583534,0.0323285235157236,1
"25603","PstI.TP318338",3,67023794,0.00728212518018824,0.115531895255802,0.115531895255802,2.40006841133379e-05,1,0.321888467071538,0.998859000583534,0.998859000583534,0.0323285235157236,1
"25905","PstI.TP410209",3,69602329,0.0010052590086163,0.0201520919087134,0.0201520919087134,1.5035118873448e-05,0.85117518869283,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"26248","NsiI.TP376338",3,73019311,0.0047552665911135,0.0860440902227661,0.0860440902227661,1.09129932674522e-05,0.963285376413403,0.301692614154355,0.998859000583534,0.998859000583534,0.0323285235157236,1
"26445","NsiI.TP340042",4,1007876,0.0060765504039339,0.0661759843937258,0.0661759843937258,2.52002712504802e-05,0.881415815204704,0.312253383050567,0.998859000583534,0.998859000583534,0.0323285235157236,1
"26693","PstI.TP297382",4,4364885,0.0128860296781001,0.191548309260711,0.191548309260711,3.00721867853044e-05,1,0.35937483695771,0.998859000583534,0.998859000583534,0.0323285235157236,1
"27516","NsiI.TP773756",4,53789013,0.00206843712242309,0.0419144496481245,0.0419144496481245,2.87357179440101e-05,1,0.27779242704136,0.998859000583534,0.998859000583534,0.0323285235157236,1
"29970","NsiI.TP352026",6,555824,0.0040910717382163,0.105878456513583,0.105878456513583,1.67175748720939e-05,0.736344534477069,0.300846553370326,0.998859000583534,0.998859000583534,0.0323285235157236,1
"31487","NsiI.TP364137",6,56610072,0.00306262582785825,0.0967436440033039,0.0967436440033039,1.24323329393569e-05,1,0.286970762993404,0.998859000583534,0.998859000583534,0.0323285235157236,1
