"","SNP","Chromosome","Position","GLM.GHW_1","MLM.GHW_1","CMLM.GHW_1","SUPER.GHW_1","rrBLUP.GHW_1","Adj.P.GLM.GHW_1","Adj.P.MLM.GHW_1","Adj.P.CMLM.GHW_1","Adj.P.SUPER.GHW_1","Adj.P.rrBLUP.GHW_1"
"630","NsiI.TP174370",1,6704694,0.00833983116190451,0.0775092917428128,0.0775092917428128,3.93275232188007e-06,1,0.327964763294354,0.998859000583534,0.998859000583534,0.0323285235157236,1
"3051","NsiI.TP469911",1,72682614,0.0117917521618389,0.0175010048032579,0.0175010048032579,3.79926817399739e-06,0.864543458133701,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"4912","NsiI.TP523957",10,43623816,0.0115528088534964,0.00549659812018369,0.00549659812018369,1.40967930882138e-05,1,0.347269675039683,0.998859000583534,0.998859000583534,0.0323285235157236,1
"7021","PstI.TP189070",11,1540,0.018072081658047,0.067998356792743,0.067998356792743,4.56107388183214e-06,1,0.380900082908141,0.998859000583534,0.998859000583534,0.0323285235157236,1
"7949","PstI.TP344604",11,2716,0.0050470807425044,0.0107365402754631,0.0107365402754631,1.13015311179404e-05,1,0.303040779832531,0.998859000583534,0.998859000583534,0.0323285235157236,1
"19142","NsiI.TP689875",11,17622,4.68629771597894e-05,0.0006467065814292,0.0006467065814292,3.15477802247927e-06,1,0.269151213341188,0.998859000583534,0.998859000583534,0.0323285235157236,1
"22721","PstI.TP875140",2,72930521,0.012916036237191,0.157454053142508,0.157454053142508,1.03720735979298e-05,0.217273069642628,0.359435656052336,0.998859000583534,0.998859000583534,0.0323285235157236,1
"26248","NsiI.TP376338",3,73019311,0.0047552665911135,0.0860440902227661,0.0860440902227661,1.09129932674522e-05,0.963285376413403,0.301692614154355,0.998859000583534,0.998859000583534,0.0323285235157236,1
"31487","NsiI.TP364137",6,56610072,0.00306262582785825,0.0967436440033039,0.0967436440033039,1.24323329393569e-05,1,0.286970762993404,0.998859000583534,0.998859000583534,0.0323285235157236,1
"32306","NsiI.TP31742",7,6509038,0.00146851731441074,0.0607861780465767,0.0607861780465767,4.26119575044585e-06,1,0.274004182588398,0.998859000583534,0.998859000583534,0.0323285235157236,1
"35146","NsiI.TP509742",9,47862370,0.00552021528578021,0.0893396666174804,0.0893396666174804,1.23798105819102e-05,0.555631788531141,0.308322510542919,0.998859000583534,0.998859000583534,0.0323285235157236,1
